00800A,ZS-ZEN,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
00960A,ZS-IIJ,C337,CESSNA 337 Super Skymaster,L2P,L
00AE0A,ZS-RKR,R22,ROBINSON R-22 Mariner,H1P,L
00BD0A,ZS-XCJ,AT72,ATR-72-202,L2T,M
01010A,SU-GDB,B738,BOEING 737-800,L2J,M
01020A,SU-GFP,A20N,AIRBUS A-320neo,L2J,M
02010A,CN-ATQ,CL2T,CANADAIR CL-415 SuperScooper,A2T,M
03610A,TN-AKF,B735,BOEING 737-500,L2J,M
04200A,3C-EGE,B737,BOEING 737-700,L2J,M
04C30A,5Y-XPA,C208,CESSNA 208 Caravan,L1T,L
05A00A,8Q-MAD,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
06000A,3B-NAU,A343,AIRBUS A-340-300,L4J,H
06A10A,A7-ALV,A359,AIRBUS A-350-900,L2J,H
06A20A,QA401,EUFI,EUROFIGHTER 2000,L2J,M
06A30A,A7-BFW,B77L,BOEING 777-200LR,L2J,H
08000A,5H-AAL,C208,CESSNA 208 Caravan,L1T,L
08800A,5V-TTS,F900,DASSAULT Falcon 900,L3J,M
09010A,D2-FDF,E145,EMBRAER ERJ-145,L2J,M
0A400A,7T-VPM,GLF4,GULFSTREAM 4,L2J,M
0AC40A,EJC1118,BE20,BEECH 200 Super King Air,L2T,M
0ACA0A,FAC2472,C172,CESSNA 172 Skyhawk,L1P,L
0BA00A,HR-CLQ,BE20,BEECH 200 Super King Air,L2T,M
0C200A,HP-1376CMP,B737,BOEING 737-700,L2J,M
0D080A,XA-CLB,BE20,BEECH 200 Super King Air,L2T,M
0D0C0A,XA-VDO,T206,CESSNA T206 Turbo Stationair,L1P,L
0D0E0A,XA-TUT,C402,CESSNA 402 Businessliner,L2P,L
0D830A,YV3380,BE40,BEECH 400 Beechjet,L2J,M
14F10A,RA-61706,A148,ANTONOV An-148,L2J,M
14FA0A,RA-64010,T204,TUPOLEV Tu-204/214/224/234,L2J,M
14FC0A,RA-64522,T204,TUPOLEV Tu-204/214/224/234,L2J,M
151E0A,RA-73226,B738,BOEING 737-800,L2J,M
15200A,RA-73738,A320,AIRBUS A-320,L2J,M
152B0A,RF-76554,,,,
15520A,RA-86538,,,,
18030A,RA-0778G,LA8,AEROVOLGA LA-8 Flagman,A2P,L
19C80A,RA-2058G,FA20,DASSAULT Falcon 200,L2J,M
1E3D0A,358,C130,LOCKHEED C-130 Hercules,L4T,M
20100A,V5-TGI,PC12,PILATUS PC-12,L1T,L
30040A,I-PTFQ,A169,AGUSTA AW-169,H2T,L
30070A,I-LDAP,P28A,PIPER PA-28-140/150/160/180,L1P,L
30090A,I-AAGZ,BE33,BEECH 33 Bonanza,L1P,L
31D90A,I-A844,EV97,EVEKTRO EV-97 EuroStar,L1P,L
31FF0A,I-RAIX,A139,AGUSTA AW-139,H2T,L
32000A,MM81748,A139,AGUSTA AW-139,H2T,L
33FD0A,MM62329,GLF5,GULFSTREAM 5,L2J,M
34230A,EC-JNQ,A346,AIRBUS A-340-600,L4J,H
34250A,EC-JZM,A321,AIRBUS A-321,L2J,M
34330A,EC-KVX,C172,CESSNA 172 Skyhawk,L1P,L
34340A,EC-LDK,C510,CESSNA 510 Citation Mustang,L2J,L
34360A,EC-LIS,A139,AGUSTA AW-139,H2T,L
34440A,EC-LVT,A320,AIRBUS A-320,L2J,M
34510A,EC-MKJ,A332,AIRBUS A-330-200,L2J,H
34520A,EC-MLA,F2TH,DASSAULT Falcon 2000,L2J,M
34530A,EC-ESX,BK17,EUROCOPTER BK117 C-1/2,H2T,L
34550A,EC-IMQ,P28A,PIPER PA-28-140/150/160/180,L1P,L
34620A,EC-NDM,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
34630A,EC-FED,C152,CESSNA 152,L1P,L
34640A,EC-LUP,SU26,SUKHOI Su-26,L1P,L
34660A,EC-NNR,P28A,PIPER PA-28-140/150/160/180,L1P,L
34720A,EC-NIE,A320,AIRBUS A-320,L2J,M
383B0A,F-BOYK,WA41,WASSMER WA-41 Baladou,L1P,L
383D0A,F-BPIK,PA30,PIPER PA-30 Twin Comanche,L2P,L
38440A,F-BRAK,BE55,BEECH 55 Baron,L2P,L
39000A,F-GAAK,C172,CESSNA 172 Skyhawk,L1P,L
390D0A,F-GDIK,C152,CESSNA 152,L1P,L
390F0A,F-GDYK,DR40,ROBIN DR-400,L1P,L
39260A,F-GJQK,DR40,ROBIN DR-400,L1P,L
39320A,F-GMQK,TB20,SOCATA TB-20 Trinidad,L1P,L
393F0A,F-GPYK,AT45,ATR-42-500,L2T,M
39450A,F-GRIK,DR30,CENTRE EST Prince,L1P,L
394A0A,F-GSQK,B77W,BOEING 777-300ER,L2J,H
394B0A,F-GSYK,BALL,,B0-,-
394C0A,F-GTAK,A321,AIRBUS A-321,L2J,M
39540A,F-GVAK,DR40,ROBIN DR-400,L1P,L
39600A,F-GYAK,R200,ROBIN Alpha,L1P,L
