00801B,ZS-AAK,J328,Dornier 328 JET,L2J,M
00811B,ZS-AKG,C680,CESSNA 680 Citation Sovereign,L2J,M
00A61B,ZS-OKO,R44,ROBINSON R-44 Raven,H1P,L
01001B,SU-GBK,B735,BOEING 737-500,L2J,M
02001B,CN-RNL,B737,BOEING 737-700,L2J,M
04C11B,5Y-KZE,B788,BOEING 787-8 Dreamliner,L2J,H
05A01B,8Q-OEQ,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
09601B,D4-CCB,AT75,ATR-72-500,L2T,M
0A001B,7T-VJM,B738,BOEING 737-800,L2J,M
0A401B,7T-WHD,C130,LOCKHEED C-130 Hercules,L4T,M
0AC41B,HK-5267G,P28A,PIPER PA-28-140/150/160/180,L1P,L
0AC91B,PNC-0607,H60,SIKORSKY UH-60 Black Hawk,H2T,M
0B401B,TG-KBG,BE9L,BEECH 90 King Air,L2T,L
0B601B,8R-GBW,SC7,SHORT Skyvan,L2T,L
0C801B,PZ-TBY,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
0D031B,XA-MYN,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D071B,XA-AMK,B738,BOEING 737-800,L2J,M
0D0B1B,XB-OUZ,C560,CESSNA 560 Citation Ultra,L2J,M
0D0E1B,XA-CCH,B350,BEECHCRAFT Super King Air 350,L2T,M
0D841B,YV1257,BE10,BEECH 100 King Air,L2T,L
11411B,RATO,GLID,,L0-,-
141E1B,RA-07707,A139,AGUSTA AW-139,H2T,L
14F11B,RA-61723,A148,ANTONOV An-148,L2J,M
15081B,RA-67611,AT75,ATR-72-500,L2T,M
151E1B,RA-73243,B738,BOEING 737-800,L2J,M
15201B,RA-73755,A320,AIRBUS A-320,L2J,M
154C1B,RA-85019,T154,TUPOLEV Tu-154,L3J,M
15521B,RA-86555,IL62,ILYUSHIN Il-62,L4J,H
155C1B,RA-89115,SU95,SUKHOI Superjet 100-95,L2J,M
30041B,I-DROP,P28A,PIPER PA-28-140/150/160/180,L1P,L
30071B,I-TFSA,P28T,PIPER PA-28RT-201,L1P,L
30091B,I-PAOZ,OSCR,PARTENAVIA Oscar Charlie,L1P,L
31D91B,I-6333,ECHO,TECNAM P-92 Echo,L1P,L
31DC1B,I-7922,PIVI,PIPSTREL Virus,L1P,L
31DF1B,I-C542,TL20,TL ULTRALIGHT TL-2000 Sting,L1P,L
31FF1B,I-PDVY,SU95,SUKHOI Superjet 100-95,L2J,M
32001B,MM81886,A139,AGUSTA AW-139,H2T,L
33FD1B,MM82038,A139,AGUSTA AW-139,H2T,L
33FE1B,MM81803,A139,AGUSTA AW-139,H2T,L
33FF1B,MM55065,M339,AERMACCHI MB-339,L1J,L
38001B,YV2308,AT43,ATR-42-300,L2T,M
38281B,F-PMOE,MCR1,COLOMBAN Ban-Bi,L1P,L
382A1B,F-PUYJ,MCR4,DYNAERO MCR-2/4,L1P,L
382C1B,F-PSRJ,MCR4,DYNAERO MCR-2/4,L1P,L
382D1B,F-PILS,MCR1,COLOMBAN Ban-Bi,L1P,L
382F1B,F-PDAV,MCR4,DYNAERO MCR-2/4,L1P,L
38311B,F-CHFS,GLID,,L0-,-
38331B,F-PIRE,MCR1,COLOMBAN Ban-Bi,L1P,L
38351B,F-CFXF,GLID,,L0-,-
38361B,F-PBCF,MCR1,COLOMBAN Ban-Bi,L1P,L
38391B,F-CITZ,GLID,,L0-,-
383B1B,F-CIDK,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
383E1B,F-CHSO,GLID,,L0-,-
38431B,F-PCRM,ZZZZ,,-0-,-
38441B,F-PNCG,MCR4,DYNAERO MCR-2/4,L1P,L
38481B,F-PBML,RV4,VANS RV-4,L1P,L
384B1B,F-CFJA,SF28,SCHEIBE SF-28 Tandem Falke,L1P,L
384F1B,F-CHVV,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
38501B,F-PGKL,EUPA,Europa,L1P,L
38561B,F-WMXP,ZZZZ,,-0-,-
385C1B,F-WKVH,AT76,ATR-72-600,L2T,M
385F1B,F-PLAN,MCR4,DYNAERO MCR-2/4,L1P,L
