00601F,C9-AUZ,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
008C1F,ZS-EOS,A139,AGUSTA AW-139,H2T,L
00991F,ZS-JMS,C208,CESSNA 208 Caravan,L1T,L
009D1F,ZS-LAC,FA50,DASSAULT Falcon 50,L3J,M
00A71F,ZS-OUO,P46T,PIPER PA-46-500TP,L1T,L
00AE1F,ZS-RLM,B407,BELL 407,H1T,L
00AF1F,ZS-RVI,R44,ROBINSON R-44 Raven,H1P,L
00B61F,ZS-UMG,C208,CESSNA 208 Caravan,L1T,L
01021F,SU-CCK,A139,AGUSTA AW-139,H2T,L
01801F,5A-DMG,B738,BOEING 737-800,L2J,M
04C01F,5Y-KQD,B733,BOEING 737-300,L2J,M
04C11F,5Y-KZY,B773,BOEING 777-300,L2J,H
05401F,5R-EAA,A343,AIRBUS A-340-300,L4J,H
05A01F,8Q-MAW,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
06421F,5N-BWD,S76,SIKORSKY S-76 Spirit,H2T,L
06A11F,A7-ANC,A35K,AIRBUS A-350-1000,L2J,H
08001F,5H-TGF,F50,FOKKER 50,L2T,M
08401F,TT-DCE,C208,CESSNA 208 Caravan,L1T,L
09011F,D2-TFF,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
09601F,D4-CCF,B752,BOEING 757-200,L2J,M
0A401F,7T-WIA,IL76,ILYUSHIN Il-76/82,L4J,H
0AC11F,HK-4367,L410,LET L-410 Turbolet,L2T,L
0AC41F,HK-3916,C208,CESSNA 208 Caravan,L1T,L
0B401F,TG-TOT,P210,CESSNA P210 Centurion,L1P,L
0B601F,8R-GRF,TRIS,BRITTEN-NORMAN Trislander,L3P,L
0BC21F,J8-CRU,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
0C211F,HP-1697RR,PA34,PIPER PA-34 Seneca,L2P,L
0C411F,HI309,P28A,PIPER PA-28-140/150/160/180,L1P,L
0D0B1F,XA-ZRA,EC75,AIRBUS HELICOPTERS EC-175,H2T,M
0D0C1F,XB-PPC,C340,CESSNA 340 Super,L2P,L
0D0D1F,XA-JMB,LJ75,LEARJET 75,L2J,M
0D0E1F,XA-MFO,B39M,BOEING 737 MAX 9,L2J,M
0D831F,YV3394,C25A,CESSNA 525A Citation CJ2,L2J,L
0D841F,YV1851,AC90,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,L2T,L
14F11F,RA-61727,A148,ANTONOV An-148,L2J,M
14F91F,RF-90789,,,,
151E1F,RA-73247,B738,BOEING 737-800,L2J,M
15201F,RA-73759,A320,AIRBUS A-320,L2J,M
15211F,RA-74015,AN72,ANTONOV An-74-200,L2J,M
15521F,RA-86559,IL62,ILYUSHIN Il-62,L4J,H
155C1F,RA-89119,SU95,SUKHOI Superjet 100-95,L2J,M
30031F,I-TELT,P06T,TECNAM P-2006T,L2P,L
30071F,I-EMAS,B06,BELL 206 JetRanger,H1T,L
30081F,I-IDIO,A169,AGUSTA AW-169,H2T,L
32001F,MM81910,A139,AGUSTA AW-139,H2T,L
33FE1F,MM81801,A139,AGUSTA AW-139,H2T,L
