008332,ZS-BEV,FA24,FAIRCHILD F-24 Argus,L1P,L
008A32,ZS-DVT,BE55,BEECH 55 Baron,L2P,L
009132,ZS-YAY,E190,EMBRAER ERJ-190-100,L2J,M
00A032,ZS-MEJ,T210,CESSNA T210 Turbo Centurion,L1P,L
00A832,ZS-PFD,S22T,CIRRUS SR-22T Turbo,L1P,L
00AE32,ZS-RMF,B733,BOEING 737-300,L2J,M
00B432,ZS-TTH,C25M,CESSNA 525 Citation M2,L2J,L
00D932,ZU-PJL,RV10,VANS RV-10,L1P,L
018032,5A-DRK,C56X,CESSNA 560XL Citation XLS,L2J,M
020132,CN-LMH,GLF4,GULFSTREAM 4,L2J,M
030032,A2-OKG,C208,CESSNA 208 Caravan,L1T,L
038432,TU-TSB,A319,AIRBUS A-319,L2J,M
040032,ET-ANQ,B77L,BOEING 777-200LR,L2J,H
040132,ET-AUA,A359,AIRBUS A-350-900,L2J,H
04C132,5Y-SLA,C208,CESSNA 208 Caravan,L1T,L
06A032,A7-AEB,A333,AIRBUS A-330-300,L2J,H
080032,5H-AAA,C208,CESSNA 208 Caravan,L1T,L
0AB032,V3-BZE,B190,BEECH 1900,L2T,M
0AC132,HK-4433G,BE9T,BEECH F90 King Air,L2T,L
0AC332,HK-5129,AT46,ATR-42-600,L2T,M
0AC932,PNC-0720,UH1,BELL UH-1 Huey,H1T,L
0ACA32,HK-4894,PA34,PIPER PA-34 Seneca,L2P,L
0AE032,TI-BJM,L410,LET L-410 Turbolet,L2T,L
0C2132,HP-1878SK,P28A,PIPER PA-28-140/150/160/180,L1P,L
0C6032,9Y-JMF,B738,BOEING 737-800,L2J,M
0D0332,XA-SNI,LJ40,LEARJET 40,L2J,M
0D0932,XA-VLL,A320,AIRBUS A-320,L2J,M
0D0B32,XA-MMX,C680,CESSNA 680 Citation Sovereign,L2J,M
0D0E32,XA-VEG,C550,CESSNA 550 Citation S2,L2J,L
0D8032,0207,B732,BOEING 737-200,L2J,M
140B32,RA-02866,E170,EMBRAER ERJ-170-100,L2J,M
142332,RA-09010,FA7X,DASSAULT Falcon 7X,L3J,M
14FA32,RA-64050,T204,TUPOLEV Tu-204/214/224/234,L2J,M
151632,RA-71218,AN2,ANTONOV An-2,L1P,L
