008058,ZS-ACT,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
008758,ZS-CTR,PC12,PILATUS PC-12,L1T,L
009058,ZS-GEH,GLID,,L0-,-
009258,ZS-GXZ,UF13,URBAN UFM-13 Lambada,L1P,L
00A758,ZS-OWT,R44,ROBINSON R-44 Raven,H1P,L
00AA58,ZS-SFU,C172,CESSNA 172 Skyhawk,L1P,L
00B258,ZS-TBB,C208,CESSNA 208 Caravan,L1T,L
00BF58,ZS-XZB,AT75,ATR-72-500,L2T,M
00C458,ZS-ZWH,B738,BOEING 737-800,L2J,M
010058,SU-BNP,GLF4,GULFSTREAM 4,L2J,M
010258,SU-BVH,E190,EMBRAER ERJ-190-100,L2J,M
020058,CN-ROA,B738,BOEING 737-800,L2J,M
038258,TU-TSY,A319,AIRBUS A-319,L2J,M
040158,ET-AVP,B737,BOEING 737-700,L2J,M
058058,7Q-STA,DHC5,DE HAVILLAND DHC-5 Buffalo,L2T,M
064258,5N-EZU,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
06A158,A7-AJE,A320,AIRBUS A-320,L2J,M
06A258,QA68,A139,AGUSTA AW-139,H2T,L
07C058,ST-MKW,A320,AIRBUS A-320,L2J,M
090058,D2-TED,B772,BOEING 777-200,L2J,H
0A0058,7T-VCS,DH8B,DE HAVILLAND DHC-8-200 Dash 8,L2T,M
0A4058,7T-WRF,B190,BEECH 1900,L2T,M
0A8058,C6-BFV,AT46,ATR-42-600,L2T,M
0AC358,HK-4109,L410,LET L-410 Turbolet,L2T,L
0B4158,TG-FSD,T210,CESSNA T210 Turbo Centurion,L1P,L
0C2058,HP-2010DAE,B752,BOEING 757-200,L2J,M
0C6058,9Y-TTF,AT76,ATR-72-600,L2T,M
0D0058,XA-VOJ,A319,AIRBUS A-319,L2J,M
0D0858,XB-TDR,PA46,PIPER PA-46-310/350,L1P,L
0D0958,FAM-5210,B350,BEECHCRAFT Super King Air 350,L2T,M
0D0A58,XB-VFJ,C650,CESSNA 650 Citation,L2J,M
0D0B58,XA-VIN,A20N,AIRBUS A-320neo,L2J,M
0D0C58,XA-ARH,R66,ROBINSON R-66,H1T,L
0D0D58,XB-OEQ,C152,CESSNA 152,L1P,L
0D8258,YV3193,LJ45,LEARJET 45,L2J,M
140758,RA-01880,BK17,EUROCOPTER BK117 C-1/2,H2T,L
14A558,RA-42328,YK42,YAKOVLEV Yak-142,L3J,M
14DC58,RA-56408,AN2,ANTONOV An-2,L1P,L
150058,RA-65624,T134,TUPOLEV Tu-134,L2J,M
150658,RA-67160,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
151D58,RA-73048,B735,BOEING 737-500,L2J,M
151E58,RA-73304,B738,BOEING 737-800,L2J,M
152058,RA-73816,A319,AIRBUS A-319,L2J,M
152658,RA-75352,IL76,ILYUSHIN Il-76/82,L4J,H
152B58,RA-76632,,,,
155C58,RA-89176,SU95,SUKHOI Superjet 100-95,L2J,M
180158,RA-0344G,LA8,AEROVOLGA LA-8 Flagman,A2P,L
300358,I-ELLY,C182,CESSNA 182 Skylane,L1P,L
300558,I-ADJR,E195,EMBRAER ERJ-190-200,L2J,M
300658,I-CNTZ,CP10,CAP AVIATION CAP-10,L1P,L
300758,I-PGAB,C172,CESSNA 172 Skyhawk,L1P,L
300858,I-BIAT,P28A,PIPER PA-28-140/150/160/180,L1P,L
320058,VF-153,A139,AGUSTA AW-139,H2T,L
