0080A3,ZS-TAG,B733,BOEING 737-300,L2J,M
0085A3,ZS-CCW,C56X,CESSNA 560XL Citation XLS,L2J,M
0097A3,ZS-IYC,C182,CESSNA 182 Skylane,L1P,L
009BA3,ZS-KLM,E120,EMBRAER EMB-120 Brasilia,L2T,M
00ADA3,ZS-RGS,C441,CESSNA 441 Conquest,L2T,L
00BFA3,ZS-YBY,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
00F1A3,ZU-MAR,RV10,VANS RV-10,L1P,L
0100A3,SU-GCF,A332,AIRBUS A-330-200,L2J,H
0101A3,SU-BTA,C295,CASA C-295 Persuader,L2T,M
0180A3,5A-BRD,A320,AIRBUS A-320,L2J,M
0200A3,CN-AMO,C27J,ALENIA C-27J Spartan,L2T,M
02A1A3,TS-IND,A320,AIRBUS A-320,L2J,M
05A0A3,8Q-TAL,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
06A0A3,A7-MED,A319,AIRBUS A-319,L2J,M
0800A3,5H-MWA,C206,CESSNA  206 Stationair,L1P,L
0900A3,D2-EWY,B190,BEECH 1900,L2T,M
0A80A3,C6-BFY,B737,BOEING 737-700,L2J,M
0AC1A3,FAC5759,BE9L,BEECH 90 King Air,L2T,L
0AC7A3,EJC2156,H60,SIKORSKY UH-60 Black Hawk,H2T,M
0AC9A3,HK-5023G,C172,CESSNA 172 Skyhawk,L1P,L
0D04A3,XA-GJC,C650,CESSNA 650 Citation,L2J,M
0D08A3,XA-FMX,G280,GULFSTREAM G280,L2J,M
0D09A3,XA-VLQ,A320,AIRBUS A-320,L2J,M
0D0BA3,XA-VIR,A20N,AIRBUS A-320neo,L2J,M
0D0CA3,XB-OXV,SBR1,NORTH AMERICAN Sabre 40/50/60/65,L2J,M
1406A3,RA-01699,A139,AGUSTA AW-139,H2T,L
142FA3,12195,AN12,ANTONOV An-12,L4T,M
151DA3,RA-73123,B738,BOEING 737-800,L2J,M
154CA3,RA-85155,T154,TUPOLEV Tu-154,L3J,M
1557A3,RA-87971,YK40,YAKOVLEV Yak-40,L3J,M
3005A3,I-STAF,C182,CESSNA 182 Skylane,L1P,L
3006A3,I-PITU,P28T,PIPER PA-28RT-201,L1P,L
3007A3,I-PROS,C150,CESSNA 150,L1P,L
31DEA3,I-3480,CRER,RANS Courier,L1P,L
33FDA3,MM55216,M346,AERMACCHI M-346 Master,L2J,M
33FEA3,MM81685,A109,AGUSTA AW-109 Grand,H2T,L
3826A3,F-BJVD,CP30,PIEL Emeraude,L1P,L
3829A3,F-BKND,WA40,WASSMER WA-40 Super 4,L1P,L
3846A3,F-BRVD,DR30,CENTRE EST Prince,L1P,L
3851A3,F-BUND,RALL,SOCATA Rallye,L1P,L
3904A3,F-GBFD,C150,CESSNA 150,L1P,L
392DA3,F-GLND,B190,BEECH 1900,L2T,M
392EA3,F-GLVD,DR40,ROBIN DR-400,L1P,L
393AA3,F-GOVD,DR40,ROBIN DR-400,L1P,L
3946A3,F-GRVD,BALL,,B0-,-
394AA3,F-GSVD,D140,JODEL D-140 Mousquetaire,L1P,L
3952A3,F-GUVD,DA40,DIAMOND DA-40 Club Star,L1P,L
3964A3,F-GZFD,BALL,,B0-,-
3965A3,F-GZND,B77W,BOEING 777-300ER,L2J,H
3982A3,F-HAVD,JS41,BRITISH AEROSPACE Jetstream 41,L2T,M
3985A3,F-HBND,A320,AIRBUS A-320,L2J,M
3986A3,F-HBVD,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
398DA3,F-HDND,FOUG,AEROSPATIALE CM-170 Magister,L2J,L
398EA3,F-HDVD,ST75,STEARMAN Kaydet,L1P,L
3991A3,F-HEND,C510,CESSNA 510 Citation Mustang,L2J,L
39A1A3,F-HIND,C182,CESSNA 182 Skylane,L1P,L
39B9A3,F-HOND,HDJT,HONDA HondaJet,L2J,L
39CEA3,F-HTVD,B738,BOEING 737-800,L2J,M
3AABA3,1451,PUMA,AEROSPATIALE SA-330 Puma,H2T,L
3B7BA3,F-ZBPH,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3C0CA3,D-ATUK,B738,BOEING 737-800,L2J,M
3C44A3,D-AAEC,A333,AIRBUS A-330-300,L2J,H
3C48A3,D-ABEC,B733,BOEING 737-300,L2J,M
3C4AA3,D-ABUC,B763,BOEING 767-300,L2J,H
3C55A3,D-AEMC,E190,EMBRAER ERJ-190-100,L2J,M
3C56A3,D-AEUC,A321,AIRBUS A-321,L2J,M
3C64A3,D-AIEC,A21N,AIRBUS A-321neo,L2J,M
3C65A3,D-AIMC,A388,AIRBUS A-380-800,L4J,H
3C66A3,D-AIUC,A320,AIRBUS A-320,L2J,M
3C70A3,D-ALEC,B752,BOEING 757-200,L2J,M
3D05A3,D-EAJR,DR40,ROBIN DR-400,L1P,L
3D0AA3,D-ECGX,C150,CESSNA 150,L1P,L
3D0CA3,D-EDAP,C150,CESSNA 150,L1P,L
3D0DA3,D-EDKL,RV6,VANS RV-6,L1P,L
3D0EA3,D-EDUH,ELST,PUTZER Elster,L1P,L
3D0FA3,D-EEED,Z26,ZLIN Z-26/126/226/326/526/626/726,L1P,L
3D10A3,D-EENZ,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D13A3,D-EFRN,RALL,SOCATA Rallye,L1P,L
3D15A3,D-EGLF,C82R,CESSNA R182 Skylane RG,L1P,L
3D1AA3,D-EIIL,HR20,ROBIN HR-200,L1P,L
3D22A3,D-ELJF,SIRA,TECNAM P-2002 Sierra,L1P,L
3D23A3,D-ELTB,C182,CESSNA 182 Skylane,L1P,L
3D25A3,D-EMMT,C172,CESSNA 172 Skyhawk,L1P,L
3D27A3,D-ENGL,RV7,VANS RV-7,L1P,L
3D29A3,D-EOAD,DO27,DORNIER Do-27,L1P,L
3D30A3,D-EQRB,C172,CESSNA 172 Skyhawk,L1P,L
3D32A3,D-ERKT,C172,CESSNA 172 Skyhawk,L1P,L
3D38A3,D-ETRV,RV7,VANS RV-7,L1P,L
3D3FA3,D-EWIT,C172,CESSNA 172 Skyhawk,L1P,L
3D41A3,D-EXCL,C182,CESSNA 182 Skylane,L1P,L
3D48A3,D-EZTJ,AUS6,AUSTER AOP6,L1P,L
3D9FA3,D-GGRZ,PA34,PIPER PA-34 Seneca,L2P,L
3DE5A3,D-HHFF,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3DF1A3,D-HLTJ,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
3E24A3,D-IFBN,BN2P,BRITTEN-NORMAN BN-2 Islander,L2P,L
3E44A3,D-IREP,BE20,BEECH 200 Super King Air,L2T,M
3E45A3,D-IROL,D228,DORNIER 228,L2T,L
3E5CA3,D-KAGX,SF25,SCHEIBE SF-25 Falke,L1P,L
3E60A3,D-KBUH,SF25,SCHEIBE SF-25 Falke,L1P,L
3E67A3,D-KELF,GLID,,L0-,-
3E69A3,D-KFEX,GLID,,L0-,-
3E6CA3,D-KGIL,GLID,,L0-,-
3E71A3,D-KIFR,TFUN,VALENTIN Taifun,L1P,L
3E77A3,D-KKMT,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3E7FA3,D-KNNN,GLID,,L0-,-
3ECEA3,D-KTFF,AS31,SCHLEICHER ASH-31,L1P,L
3EE2A3,D-0524,GLID,,L0-,-
3EF0A3,D-4108,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
3EFDA3,D-7436,GLID,,L0-,-
3F00A3,D-8204,GLID,,L0-,-
3F26A3,D-OANR,BALL,,B0-,-
3F2EA3,D-ODOL,BALL,,B0-,-
3F30A3,D-OEID,BALL,,B0-,-
3FBAA3,60+03,P3,LOCKHEED P-3 Orion,L4T,M
3FD3A3,D-OROT,BALL,,B0-,-
3FD6A3,D-OSSH,BALL,,B0-,-
3FEAA3,D-MVYY,EFOX,AEROPRO Eurofox,L1P,L
3FECA3,D-MMGW,FDCT,FLIGHT DESIGN CT,L1P,L
3FF0A3,D-MOAF,ECHO,TECNAM P-92 Echo,L1P,L
3FF1A3,D-MLJN,ECHO,TECNAM P-92 Echo,L1P,L
3FF3A3,D-MDTF,MT,ROTORSPORT MTOSport,G1P,L
3FF6A3,D-MRCB,FDCT,FLIGHT DESIGN CT,L1P,L
400BA3,G-BSGT,T210,CESSNA T210 Turbo Centurion,L1P,L
400DA3,G-ODHB,R44,ROBINSON R-44 Raven,H1P,L
400EA3,G-BYXF,G115,GROB G-115,L1P,L
4014A3,G-ANTE,DH82,DE HAVILLAND DH-82 Tiger Moth,L1P,L
4016A3,G-ATWJ,C172,CESSNA 172 Skyhawk,L1P,L
4019A3,G-AZXD,C172,CESSNA 172 Skyhawk,L1P,L
401AA3,G-BBBY,P28A,PIPER PA-28-140/150/160/180,L1P,L
401DA3,G-BGIY,C172,CESSNA 172 Skyhawk,L1P,L
401FA3,G-BJGY,C172,CESSNA 172 Skyhawk,L1P,L
4021A3,G-EDEN,TOBA,SOCATA Tobago,L1P,L
4026A3,G-IPSI,G109,GROB G-109,L1P,L
4028A3,G-MTGJ,ULAC,,L0-,-
402BA3,G-BOTH,C182,CESSNA 182 Skylane,L1P,L
