0087AA,ZS-CWV,R44,ROBINSON R-44 Raven,H1P,L
008CAA,ZS-EUB,M20P,MOONEY M-20,L1P,L
0092AA,ZS-HBD,BALL,,B0-,-
0096AA,ZS-ION,C188,CESSNA 188 AgTruck,L1P,L
009DAA,ZS-LFL,BE9L,BEECH 90 King Air,L2T,L
0101AA,SU-BTG,C295,CASA C-295 Persuader,L2T,M
0200AA,CN-MBP,E35L,EMBRAER EMB-135 Legacy,L2J,M
04C0AA,5Y-BYH,D228,DORNIER 228,L2T,L
04C1AA,5Y-JWZ,F50,FOKKER 50,L2T,M
0640AA,5N-BLE,B735,BOEING 737-500,L2J,M
06A0AA,A7-BCF,B788,BOEING 787-8 Dreamliner,L2J,H
0A80AA,C6-EAC,BE10,BEECH 100 King Air,L2T,L
0AC1AA,FAC5765,BE9L,BEECH 90 King Air,L2T,L
0AC9AA,HK-5342X,SF50,CIRRUS SF-50 Vision,L1J,L
0ACAAA,HK-5409,A20N,AIRBUS A-320neo,L2J,M
0D02AA,XB-EIH,AC90,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,L2T,L
0D07AA,XA-CAR,C680,CESSNA 680 Citation Sovereign,L2J,M
0D08AA,TP-08,B350,BEECHCRAFT Super King Air 350,L2T,M
0D09AA,2028,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0D0BAA,XA-VDD,B733,BOEING 737-300,L2J,M
0D0CAA,XA-ASG,C208,CESSNA 208 Caravan,L1T,L
0D0DAA,XA-PAA,C550,CESSNA 550 Citation S2,L2J,L
0D81AA,YV2868,LJ55,LEARJET 55,L2J,M
1406AA,RA-01706,A189,AGUSTA AW-189,H2T,M
140AAA,RA-02730,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
142BAA,RA-11178,,,,
1467AA,RA-26538,AN26,ANTONOV An-26,L2T,M
1506AA,RA-67242,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
151DAA,RA-73130,B77W,BOEING 777-300ER,L2J,H
1533AA,RA-78762,IL76,ILYUSHIN Il-76/82,L4J,H
155BAA,RA-89002,SU95,SUKHOI Superjet 100-95,L2J,M
3004AA,I-DIEM,F900,DASSAULT Falcon 900,L3J,M
3005AA,I-AIUT,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3008AA,I-PARJ,P68,PARTENAVIA P-68 Observer,L2P,L
31DCAA,I-B262,ECHO,TECNAM P-92 Echo,L1P,L
31DDAA,I-C431,SVNH,AEROTEC Savannah,L1P,L
31DEAA,I-7273,GOLF,TECNAM P-96 Golf,L1P,L
31DFAA,I-E100,ECHO,TECNAM P-92 Echo,L1P,L
31FFAA,I-6751,PNR2,ALPI Pioneer 200,L1P,L
3855AA,F-BVNK,RALL,SOCATA Rallye,L1P,L
3902AA,F-GAVK,DR40,ROBIN DR-400,L1P,L
3906AA,F-GBVK,DR40,ROBIN DR-400,L1P,L
3912AA,F-GEVK,TB20,SOCATA TB-20 Trinidad,L1P,L
392AAA,F-GKVK,TAMP,SOCATA TB-9 Tampico,L1P,L
392DAA,F-GLNK,B190,BEECH 1900,L2T,M
392EAA,F-GLVK,DR40,ROBIN DR-400,L1P,L
3965AA,F-GZNK,B77W,BOEING 777-300ER,L2J,H
3980AA,F-HAFK,DR40,ROBIN DR-400,L1P,L
