00A1AE,ZS-MSZ,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
00A8AE,ZS-PJX,B190,BEECH 1900,L2T,M
00AEAE,ZS-AHA,PC24,PILATUS PC-24,L2J,M
00AFAE,ZS-SAV,E120,EMBRAER EMB-120 Brasilia,L2T,M
00B2AE,ZS-TEJ,LJ60,LEARJET 60,L2J,M
0101AE,SU-BSJ,C295,CASA C-295 Persuader,L2T,M
0200AE,CN-ROY,B738,BOEING 737-800,L2J,M
0280AE,TS-AFO,SIRA,TECNAM P-2002 Sierra,L1P,L
02A1AE,TS-INO,A320,AIRBUS A-320,L2J,M
0384AE,TU-TJN,BE58,BEECH 58 Baron,L2P,L
04C0AE,5Y-VVY,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
06A0AE,A7-BCJ,B788,BOEING 787-8 Dreamliner,L2J,H
0900AE,D2-EEA,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
0AC0AE,HK-4551,JS41,BRITISH AEROSPACE Jetstream 41,L2T,M
0B05AE,CU-T1454,AT45,ATR-42-500,L2T,M
0B06AE,CU-T1710,A158,ANTONOV An-158,L2J,M
0BE2AE,JDFH-36,B429,BELL 429 GlobalRanger,H2T,L
0D04AE,XA-FAC,E190,EMBRAER ERJ-190-100,L2J,M
0D05AE,3201,C295,CASA C-295 Persuader,L2T,M
0D06AE,XA-UQA,B733,BOEING 737-300,L2J,M
0D0AAE,XA-OLE,GLF6,GULFSTREAM G650,L2J,M
0D0BAE,XB-YAZ,C182,CESSNA 182 Skylane,L1P,L
0D0CAE,XB-BLB,C206,CESSNA  206 Stationair,L1P,L
0D0EAE,XA-VFN,G150,GULFSTREAM G150,L2J,M
0D80AE,YV1004,A342,AIRBUS A-340-200,L4J,H
0D81AE,YV2912,E190,EMBRAER ERJ-190-100,L2J,M
0D82AE,YV3296,BE20,BEECH 200 Super King Air,L2T,M
140AAE,RA-02734,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
141EAE,RA-07854,P46T,PIPER PA-46-500TP,L1T,L
1465AE,RA-26030,AN26,ANTONOV An-26,L2T,M
14A5AE,RA-42414,YK42,YAKOVLEV Yak-142,L3J,M
14B5AE,RA-46510,AN24,ANTONOV An-24,L2T,M
1506AE,RA-67246,GL5T,BOMBARDIER BD-700 Global 5000/5500,L2J,M
151DAE,RA-73134,B77W,BOEING 777-300ER,L2J,H
152BAE,RA-76718,,,,
1533AE,RF-78766,IL76,ILYUSHIN Il-76/82,L4J,H
155BAE,RA-89006,SU95,SUKHOI Superjet 100-95,L2J,M
3002AE,I-REDY,A139,AGUSTA AW-139,H2T,L
3003AE,I-ADJN,E195,EMBRAER ERJ-190-200,L2J,M
3004AE,I-LARU,ECHO,TECNAM P-92 Echo,L1P,L
3006AE,I-HELT,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3008AE,I-PBNB,F2TH,DASSAULT Falcon 2000,L2J,M
31D8AE,I-9824,SIRA,TECNAM P-2002 Sierra,L1P,L
33FFAE,MM62244,F900,DASSAULT Falcon 900,L3J,M
3849AE,F-BSNO,WA42,WASSMER WA-421 Prestige,L1P,L
384AAE,F-BSVO,BE23,BEECH 23 Sundowner,L1P,L
385DAE,F-BXNO,C150,CESSNA 150,L1P,L
390DAE,F-GDNO,TB20,SOCATA TB-20 Trinidad,L1P,L
3919AE,F-GGNO,TB20,SOCATA TB-20 Trinidad,L1P,L
3935AE,F-GNNO,HR20,ROBIN HR-200,L1P,L
3952AE,F-GUVO,DA40,DIAMOND DA-40 Club Star,L1P,L
3965AE,F-GZNO,B77W,BOEING 777-300ER,L2J,H
3984AE,F-HBFO,DR40,ROBIN DR-400,L1P,L
3986AE,F-HBVO,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
398AAE,F-HCVO,G2CA,GUIMBAL G-2 Cabri,H1P,L
39A5AE,F-HJNO,DR40,ROBIN DR-400,L1P,L
39ADAE,F-HLNO,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
39C5AE,F-HRNO,DR40,ROBIN DR-400,L1P,L
39C9AE,F-HSNO,C172,CESSNA 172 Skyhawk,L1P,L
39CEAE,F-HTVO,B738,BOEING 737-800,L2J,M
3A28AE,2904,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
3A46AE,F-ORVO,AT76,ATR-72-600,L2T,M
3A65AE,F-OZNO,AT76,ATR-72-600,L2T,M
3AAAAE,F-MECA,NH90,NHI NH-90,H2T,M
3AABAE,F-MDAW,PUMA,AEROSPATIALE SA-330 Puma,H2T,L
3B75AE,677,MIR2,DASSAULT Mirage 2000,L1J,M
3B76AE,F-RARF,A332,AIRBUS A-330-200,L2J,H
3B9BAE,77,E121,EMBRAER EMB-121 Xingu,L2T,L
3C1CAE,D-AZWJ,A21N,AIRBUS A-321neo,L2J,M
3C5AAE,D-AFUN,E35L,EMBRAER EMB-135 Legacy,L2J,M
3C5CAE,D-AGEN,B737,BOEING 737-700,L2J,M
3C64AE,D-AIEN,A21N,AIRBUS A-321neo,L2J,M
3C65AE,D-AIMN,A388,AIRBUS A-380-800,L4J,H
3C66AE,D-AIUN,A320,AIRBUS A-320,L2J,M
3C70AE,D-ALEN,B752,BOEING 757-200,L2J,M
3CD5AE,D-CIFM,C680,CESSNA 680 Citation Sovereign,L2J,M
3D04AE,D-EAAG,B209,MBB BO-209 Monsun,L1P,L
3D05AE,D-EAKC,TOBA,SOCATA Tobago,L1P,L
3D07AE,D-EBDU,M20P,MOONEY M-20,L1P,L
3D08AE,D-EBNQ,BE35,BEECH 35 Starfire Bonanza,L1P,L
3D09AE,D-EBXM,C172,CESSNA 172 Skyhawk,L1P,L
3D0DAE,D-EDKW,C172,CESSNA 172 Skyhawk,L1P,L
3D0EAE,D-EDUS,C172,CESSNA 172 Skyhawk,L1P,L
3D0FAE,D-EEEO,P46T,PIPER PA-46-500TP,L1T,L
3D10AE,D-EEOK,C172,CESSNA 172 Skyhawk,L1P,L
3D12AE,D-EFIC,C182,CESSNA 182 Skylane,L1P,L
3D1BAE,D-EISS,P28R,PIPER PA-28R-180/200/201,L1P,L
3D1CAE,D-EJCO,C177,CESSNA  177 Cardinal,L1P,L
3D1EAE,D-EJWG,M20T,MOONEY M-20T,L1P,L
3D1FAE,D-EKGC,Z43,ZLIN Z-43/143,L1P,L
3D23AE,D-ELTM,M20P,MOONEY M-20,L1P,L
3D24AE,D-EMDI,C172,CESSNA 172 Skyhawk,L1P,L
3D27AE,D-ENGW,RALL,SOCATA Rallye,L1P,L
3D29AE,D-EOAO,P149,PIAGGIO P-149,L1P,L
3D2AAE,D-EOKK,C152,CESSNA 152,L1P,L
3D32AE,D-ERLE,DV20,DIAMOND DA-20,L1P,L
3D35AE,D-ESOS,PA46,PIPER PA-46-310/350,L1P,L
