0083B2,ZS-BJT,PA12,PIPER PA-12 Super Cruiser,L1P,L
008FB2,ZS-FXX,C172,CESSNA 172 Skyhawk,L1P,L
0092B2,ZS-HBL,R22,ROBINSON R-22 Mariner,H1P,L
00A8B2,ZS-PKB,B190,BEECH 1900,L2T,M
00A9B2,ZS-PTX,PC12,PILATUS PC-12,L1T,L
00ADB2,ZS-RHH,B06,BELL 206 JetRanger,H1T,L
00B1B2,ZS-SUR,PC12,PILATUS PC-12,L1T,L
0101B2,SU-BQL,A321,AIRBUS A-321,L2J,M
0200B2,CN-BTC,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0360B2,TN-AFS,IL76,ILYUSHIN Il-76/82,L4J,H
06A0B2,A7-BCN,B788,BOEING 787-8 Dreamliner,L2J,H
06A1B2,A7-GAA,A189,AGUSTA AW-189,H2T,M
06A2B2,A7-BEN,B77W,BOEING 777-300ER,L2J,H
0A80B2,C6-TEC,PA27,PIPER PA-23-250 Aztec,L2P,L
0B06B2,CU-T1714,A158,ANTONOV An-158,L2J,M
0D06B2,XC-TJN,LJ40,LEARJET 40,L2J,M
0D09B2,XA-EMB,E550,EMBRAER EMB-550 Praetor 600,L2J,M
0D0AB2,XB-ELJ,C650,CESSNA 650 Citation,L2J,M
0D0BB2,XA-LFR,A306,AIRBUS A-300-600,L2J,H
0D0CB2,XA-CAM,BE20,BEECH 200 Super King Air,L2T,M
1130B2,GND,GND,,V0-,-
14A5B2,RA-42418,YK42,YAKOVLEV Yak-142,L3J,M
1506B2,RA-67250,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
151DB2,RA-73138,B77W,BOEING 777-300ER,L2J,H
152BB2,RF-76722,,,,
154DB2,RA-85426,T154,TUPOLEV Tu-154,L3J,M
155BB2,RA-89010,SU95,SUKHOI Superjet 100-95,L2J,M
3003B2,I-GESP,C172,CESSNA 172 Skyhawk,L1P,L
3006B2,I-CLAW,RV7,VANS RV-7,L1P,L
3007B2,I-KRAM,ECHO,TECNAM P-92 Echo,L1P,L
31DCB2,I-8425,EV97,EVEKTRO EV-97 EuroStar,L1P,L
