0086BA,ZS-CNP,C180,CESSNA  180 Skywagon,L1P,L
008ABA,ZS-EAZ,M200,NORTH AMERICAN ROCKWELL Commander 200,L1P,L
008FBA,ZS-FYF,P28A,PIPER PA-28-140/150/160/180,L1P,L
0092BA,ZS-HBT,R44,ROBINSON R-44 Raven,H1P,L
009DBA,ZS-LGB,P32R,PIPER PA-32R-300/301/301T,L1P,L
00A0BA,ZS-MJP,C182,CESSNA 182 Skylane,L1P,L
00ADBA,ZS-RHP,B06,BELL 206 JetRanger,H1T,L
0101BA,SU-GEJ,B738,BOEING 737-800,L2J,M
0200BA,CN-BTK,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0642BA,5N-PDA,CL60,BOMBARDIER CL-600 Challenger,L2J,M
06A0BA,A7-BCV,B788,BOEING 787-8 Dreamliner,L2J,H
0AC7BA,EJC2100,H60,SIKORSKY UH-60 Black Hawk,H2T,M
0AC9BA,HK-1958G,C172,CESSNA 172 Skyhawk,L1P,L
0C20BA,HP-1848CMP,B738,BOEING 737-800,L2J,M
0D02BA,XA-RYM,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D07BA,XA-LHG,A320,AIRBUS A-320,L2J,M
0D09BA,XA-ETF,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
0D0ABA,XA-AEL,E190,EMBRAER ERJ-190-100,L2J,M
0D0BBA,XA-MFG,B789,BOEING 787-9 Dreamliner,L2J,H
0D0CBA,XA-JTI,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D0DBA,XA-SLG,B734,BOEING 737-400,L2J,M
0D82BA,YV2840,BE30,BEECH 300 Super King Air,L2T,L
1416BA,RA-05818,R66,ROBINSON R-66,H1T,L
14B9BA,47546,,,,
151DBA,RA-73146,B77W,BOEING 777-300ER,L2J,H
151EBA,RA-73402,A320,AIRBUS A-320,L2J,M
151FBA,RA-73658,B738,BOEING 737-800,L2J,M
1533BA,RF-78778,,,,
155BBA,RA-89018,SU95,SUKHOI Superjet 100-95,L2J,M
3004BA,I-CNTY,PA34,PIPER PA-34 Seneca,L2P,L
3005BA,I-ACTO,SIRA,TECNAM P-2002 Sierra,L1P,L
3006BA,I-MADE,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3007BA,I-TFAD,P06T,TECNAM P-2006T,L2P,L
3008BA,I-MMSM,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
31D9BA,I-A942,EV97,EVEKTRO EV-97 EuroStar,L1P,L
31DCBA,I-9504,ULAC,,L0-,-
33FDBA,MM81623,NH90,NHI NH-90,H2T,M
33FFBA,MM62211,P180,PIAGGIO P-180 Avanti,L2T,L
3801BA,F-WWIB,A20N,AIRBUS A-320neo,L2J,M
3802BA,F-WWKM,A332,AIRBUS A-330-200,L2J,H
3803BA,F-WWKU,A332,AIRBUS A-330-200,L2J,H
3806BA,F-WWJT,F2TH,DASSAULT Falcon 2000,L2J,M
3807BA,F-WWAB,A21N,AIRBUS A-321neo,L2J,M
