0087BB,ZS-CXM,GLID,,L0-,-
0092BB,ZS-HBU,UH1,BELL UH-1 Huey,H1T,L
0096BB,ZS-IPE,H25A,HAWKER SIDDELEY HS-125,L2J,M
00A3BB,ZS-YAN,E190,EMBRAER ERJ-190-100,L2J,M
00A4BB,ZS-NXA,G164,GRUMMAN G-164 Ag-Cat,L1P,L
0101BB,SU-GEK,B738,BOEING 737-800,L2J,M
0200BB,CN-BTJ,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
04C0BB,5Y-PKI,B407,BELL 407,H1T,L
06A0BB,A7-BCW,B788,BOEING 787-8 Dreamliner,L2J,H
06A1BB,A7-BEE,B77W,BOEING 777-300ER,L2J,H
0900BB,D2-TEG,B77W,BOEING 777-300ER,L2J,H
0AC7BB,FAC4137,H60,SIKORSKY UH-60 Black Hawk,H2T,M
0C20BB,HP-1849CMP,B738,BOEING 737-800,L2J,M
0D03BB,XA-UAT,BE20,BEECH 200 Super King Air,L2T,M
0D04BB,XA-DST,C56X,CESSNA 560XL Citation XLS,L2J,M
0D05BB,XA-UNY,B733,BOEING 737-300,L2J,M
0D06BB,XA-UTL,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D09BB,XA-ATJ,E50P,EMBRAER EMB-500 Phenom 100,L2J,L
0D0BBB,XA-VIT,A20N,AIRBUS A-320neo,L2J,M
0D0CBB,XA-FPS,GLF5,GULFSTREAM 5,L2J,M
140ABB,RA-02747,E35L,EMBRAER EMB-135 Legacy,L2J,M
141CBB,RA-07355,R66,ROBINSON R-66,H1T,L
14A5BB,RA-42427,YK42,YAKOVLEV Yak-142,L3J,M
1506BB,RA-67259,DH8B,DE HAVILLAND DHC-8-200 Dash 8,L2T,M
151DBB,RA-73147,B77W,BOEING 777-300ER,L2J,H
151EBB,RA-73403,A320,AIRBUS A-320,L2J,M
151FBB,RA-73659,B738,BOEING 737-800,L2J,M
1554BB,RA-87227,YK40,YAKOVLEV Yak-40,L3J,M
155BBB,RA-89019,SU95,SUKHOI Superjet 100-95,L2J,M
3002BB,I-ELFA,A109,AGUSTA AW-109 Grand,H2T,L
3004BB,I-DSKY,P32R,PIPER PA-32R-300/301/301T,L1P,L
3006BB,I-RASH,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3008BB,I-PWNE,PA25,PIPER PA-25 Pawnee,L1P,L
31D8BB,I-8936,EV97,EVEKTRO EV-97 EuroStar,L1P,L
31DDBB,I-D100,FDCT,FLIGHT DESIGN CT,L1P,L
33FFBB,MM62212,P180,PIAGGIO P-180 Avanti,L2T,L
3836BB,F-CJZV,GLID,,L0-,-
383CBB,F-CEIP,GLID,,L0-,-
383DBB,F-CIPV,GLID,,L0-,-
383EBB,F-CFXN,GLID,,L0-,-
383FBB,F-CGFC,GLID,,L0-,-
3840BB,F-CGLX,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3842BB,F-PDAP,MCR4,DYNAERO MCR-2/4,L1P,L
3843BB,F-PJAN,JAB4,JABIRU J200-450,L1P,L
3845BB,F-PVRJ,MCR4,DYNAERO MCR-2/4,L1P,L
3847BB,F-PROP,MCR1,COLOMBAN Ban-Bi,L1P,L
3849BB,F-PVGC,MCR1,COLOMBAN Ban-Bi,L1P,L
384ABB,F-PGAK,RV6,VANS RV-6,L1P,L
