0083BD,ZS-BKE,C172,CESSNA 172 Skyhawk,L1P,L
008ABD,ZS-EBC,P28A,PIPER PA-28-140/150/160/180,L1P,L
0101BD,SU-GEM,B738,BOEING 737-800,L2J,M
04C2BD,5Y-IFA,F70,FOKKER 70,L2J,M
06A0BD,A7-BCY,B788,BOEING 787-8 Dreamliner,L2J,H
06A1BD,A7-BEG,B77W,BOEING 777-300ER,L2J,H
0AC3BD,HK-4411,JS32,BRITISH AEROSPACE Jetstream Super 31,L2T,M
0AC8BD,FAC3104,E314,EMBRAER EMB-314 Super Tucano,L1T,L
0AC9BD,HK-5351,AT46,ATR-42-600,L2T,M
0C20BD,HP-1851CMP,B738,BOEING 737-800,L2J,M
0D01BD,XB-EGO,C55B,CESSNA 550B Citation Bravo,L2J,L
0D07BD,XA-ELA,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
0D09BD,XA-VLS,A320,AIRBUS A-320,L2J,M
0D0ABD,XA-MAG,B38M,BOEING 737 MAX 8,L2J,M
0D0BBD,XB-JBI,T210,CESSNA T210 Turbo Centurion,L1P,L
0D81BD,YV2944,E190,EMBRAER ERJ-190-100,L2J,M
14BABD,RA-47805,AN24,ANTONOV An-24,L2T,M
1506BD,RA-67261,DH8C,DE HAVILLAND DHC-8-300 Dash 8,L2T,M
151DBD,RA-73149,B77W,BOEING 777-300ER,L2J,H
151EBD,RA-73405,A320,AIRBUS A-320,L2J,M
151FBD,RA-73661,B738,BOEING 737-800,L2J,M
152BBD,RF-76733,IL76,ILYUSHIN Il-76/82,L4J,H
1554BD,RA-87229,YK40,YAKOVLEV Yak-40,L3J,M
155BBD,RA-89021,SU95,SUKHOI Superjet 100-95,L2J,M
3000BD,I-AMDK,C152,CESSNA 152,L1P,L
3002BD,I-ANCP,P68,PARTENAVIA P-68 Observer,L2P,L
3004BD,I-AVLM,P180,PIAGGIO P-180 Avanti,L2T,L
3005BD,I-PALS,PAY1,PIPER PA-31T1-500 Cheyenne 1,L2T,L
3006BD,I-GRAD,P68,PARTENAVIA P-68 Observer,L2P,L
3007BD,I-GEPS,DV20,DIAMOND DA-20,L1P,L
3008BD,I-TFAG,P208,TECNAM P-2008,L1P,L
31DEBD,I-D644,ECHO,TECNAM P-92 Echo,L1P,L
31FFBD,I-7786,MM22,MAGNI M-22 Voyager,G1P,L
33FFBD,MM62217,C27J,ALENIA C-27J Spartan,L2T,M
3803BD,F-JYCG,FDCT,FLIGHT DESIGN CT,L1P,L
3804BD,34ABQ,FDCT,FLIGHT DESIGN CT,L1P,L
3805BD,05JS,MCR4,DYNAERO MCR-2/4,L1P,L
3807BD,19HT,FDCT,FLIGHT DESIGN CT,L1P,L
380ABD,F-JXTW,ULAC,,L0-,-
380BBD,F-JGWT,ULAC,,L0-,-
3814BD,F-JRIJ,ULAC,,L0-,-
3815BD,F-JRXY,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3817BD,F-JGDW,PIVI,PIPSTREL Virus,L1P,L
381BBD,F-JSOR,SHRK,SHARK AERO Shark,L1P,L
3822BD,F-JGLN,ULAC,,L0-,-
3824BD,F-JGNB,SHRK,SHARK AERO Shark,L1P,L
3826BD,F-JUFI,SVNH,AEROTEC Savannah,L1P,L
382CBD,13SS,ULAC,,L0-,-
3830BD,F-JHJZ,SHRK,SHARK AERO Shark,L1P,L
383ABD,F-JTHA,ULAC,,L0-,-
383CBD,F-JAAK,ULAC,,L0-,-
3840BD,F-JIFC,ULAC,,L0-,-
3842BD,F-JUSM,SVNH,AEROTEC Savannah,L1P,L
3843BD,F-JRJE,G1,G1 AVIATION G-1,L1P,L
3845BD,F-JCSW,ULAC,,L0-,-
3848BD,F-JCGD,AP32,AEROPRACT A-32,L1P,L
384EBD,F-JDFJ,ULAC,,L0-,-
384FBD,F-JDMJ,VL3,AVEKO Flamingo,L1P,L
3850BD,F-JINT,ULAC,,L0-,-
3851BD,F-JAKS,ULAC,,L0-,-
3854BD,F-JDWW,ULAC,,L0-,-
3855BD,F-JEHX,ULAC,,L0-,-
3859BD,F-JRNJ,ULAC,,L0-,-
385DBD,F-JHGM,ULAC,,L0-,-
3862BD,F-JIXO,ULAC,,L0-,-
3866BD,F-JBBY,ULAC,,L0-,-
386ABD,F-JFHO,SHRK,SHARK AERO Shark,L1P,L
3892BD,F-JUNC,ULAC,,L0-,-
3897BD,F-JVLO,MCR1,COLOMBAN Ban-Bi,L1P,L
389BBD,F-JRJM,PNR3,ALPI Pioneer 330,L1P,L
38A7BD,F-JXCM,ULAC,,L0-,-
38A8BD,F-JBBU,ULAC,,L0-,-
38AEBD,F-JCDK,ULAC,,L0-,-
38AFBD,F-JCIP,FDCT,FLIGHT DESIGN CT,L1P,L
38B0BD,F-JXTA,ULAC,,L0-,-
38B4BD,F-JDGF,ULAC,,L0-,-
38B9BD,F-JDWZ,KP2,JIHLAVAN KP-2 Sova,L1P,L
3AAABD,F-MEBL,NH90,NHI NH-90,H2T,M
3AABBD,F-MDAH,PUMA,AEROSPATIALE SA-330 Puma,H2T,L
3B76BD,F-RAWC,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3C15BD,D-AXGA,A332,AIRBUS A-330-200,L2J,H
3C1CBD,D-AZWY,A21N,AIRBUS A-321neo,L2J,M
3CEFBD,D-CSCB,C56X,CESSNA 560XL Citation XLS,L2J,M
3D04BD,D-EAAV,RALL,SOCATA Rallye,L1P,L
3D05BD,D-EAKR,SYMP,OMF Symphony,L1P,L
3D0CBD,D-EDBP,DR40,ROBIN DR-400,L1P,L
3D0EBD,D-EDVH,HUSK,CHRISTEN Husky,L1P,L
3D0FBD,D-EEFD,FDCT,FLIGHT DESIGN CT,L1P,L
3D12BD,D-EFIR,DV20,DIAMOND DA-20,L1P,L
3D13BD,D-EFSN,C172,CESSNA 172 Skyhawk,L1P,L
3D14BD,D-EGCJ,C150,CESSNA 150,L1P,L
3D18BD,D-EHPT,SB91,SAAB 91 Safir,L1P,L
3D1DBD,D-EJMZ,BE33,BEECH 33 Bonanza,L1P,L
3D1EBD,D-EJWV,P28S,PIPER PA-28R-201T,L1P,L
3D27BD,D-ENHL,C150,CESSNA 150,L1P,L
3D2CBD,D-EPER,DA40,DIAMOND DA-40 Club Star,L1P,L
3D33BD,D-ERVP,RV9,VANS RV-9,L1P,L
3D34BD,D-ESFL,HUSK,CHRISTEN Husky,L1P,L
3D35BD,D-ESPH,RV6,VANS RV-6,L1P,L
3D39BD,D-EUCR,COL4,CESSNA 400 Corvalis TT,L1P,L
3D43BD,D-EXXD,P28R,PIPER PA-28R-180/200/201,L1P,L
3DD1BD,D-GZRH,DA42,DIAMOND DA-42 Guardian,L2P,L
3DD4BD,D-HAUV,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3E03BD,D-HSPP,H269,HUGHES Sky Knight,H1P,L
3E0CBD,D-HWAF,B06,BELL 206 JetRanger,H1T,L
3E5DBD,D-KART,GLID,,L0-,-
3E65BD,D-KDSN,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3E6DBD,D-KGTH,DIMO,DIAMOND H-36 Dimona,L1P,L
3E71BD,D-KIGR,AS25,SCHLEICHER ASH-25,L1P,L
3E79BD,D-KLHL,AS22,SCHLEICHER ASW-22,L1P,L
3E7ABD,D-KLRH,GLID,,L0-,-
3E7BBD,D-KMBD,ARCP,SCHEMPP-HIRTH Arcus M,L1P,L
3E7EBD,D-KNER,G109,GROB G-109,L1P,L
3ECBBD,D-KSCR,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
3EE7BD,D-1830,GLID,,L0-,-
3EEABD,D-2598,GLID,,L0-,-
3EEFBD,D-3878,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
3EF6BD,D-5670,DISC,SCHEMPP-HIRTH Discus,L1P,L
3EFEBD,D-7718,GLID,,L0-,-
3F00BD,D-8230,GLID,,L0-,-
3FE0BD,D-OWNT,BALL,,B0-,-
3FEABD,D-MZGW,CH60,ZENAIR CH-600 Zodiac,L1P,L
3FEBBD,D-MKJA,MT,ROTORSPORT MTOSport,G1P,L
3FECBD,D-MUKF,ULAC,,L0-,-
3FEDBD,D-MRLM,FDCT,FLIGHT DESIGN CT,L1P,L
3FEFBD,D-MBGD,SKRA,BEST OFF Sky Ranger,L1P,L
3FF0BD,D-MFZZ,ULAC,,L0-,-
3FF2BD,D-MFAB,FDCT,FLIGHT DESIGN CT,L1P,L
3FF3BD,D-MBEH,ALSL,AIRLONY Skylane,L1P,L
3FF4BD,D-MUKY,C42,IKARUS C-42 Bison,L1P,L
3FF6BD,D-MCMF,ULAC,,L0-,-
3FF9BD,D-MVLC,VL3,AVEKO Flamingo,L1P,L
4005BD,G-VIIE,B772,BOEING 777-200,L2J,H
4007BD,G-OTIF,B462,BRITISH AEROSPACE 146-200 Quiet Trader,L4J,M
400ABD,G-JEDU,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
400BBD,G-BRIA,C310,CESSNA 310,L2P,L
400CBD,G-BJCW,P32R,PIPER PA-32R-300/301/301T,L1P,L
400DBD,G-JANI,R44,ROBINSON R-44 Raven,H1P,L
400EBD,G-BYWH,G115,GROB G-115,L1P,L
400FBD,G-OCCF,DA40,DIAMOND DA-40 Club Star,L1P,L
4010BD,G-LYDF,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
4011BD,G-BKMA,M20P,MOONEY M-20,L1P,L
4012BD,G-LBDC,B06,BELL 206 JetRanger,H1T,L
4014BD,G-AOIR,DH82,DE HAVILLAND DH-82 Tiger Moth,L1P,L
4015BD,G-ASHS,SV4,NORD SV-4,L1P,L
4016BD,G-OSTY,C150,CESSNA 150,L1P,L
4018BD,G-AYKD,DR10,CENTRE EST Ambassadeur,L1P,L
401BBD,G-BCYM,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
401CBD,G-BEZP,PA32,PIPER PA-32,L1P,L
401DBD,G-BGMT,RALL,SOCATA Rallye,L1P,L
4020BD,G-BLDV,BN2P,BRITTEN-NORMAN BN-2 Islander,L2P,L
4021BD,G-EXIT,RALL,SOCATA Rallye,L1P,L
4022BD,G-PURR,AA5,AMERICAN AA-5 Tiger,L1P,L
4024BD,G-AAHI,DH60,DE HAVILLAND DH-60 Moth,L1P,L
4025BD,G-BMCV,C152,CESSNA 152,L1P,L
4027BD,G-WACY,C172,CESSNA 172 Skyhawk,L1P,L
4028BD,G-BNIP,L8,LUSCOMBE 8,L1P,L
4029BD,G-BNME,C152,CESSNA 152,L1P,L
402ABD,G-BOIB,TAIL,WITTMAN Tailwind,L1P,L
402DBD,G-IIIL,PTS1,PITTS S-1 Special,L1P,L
402FBD,G-TAKE,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
4030BD,G-BRXD,P28A,PIPER PA-28-140/150/160/180,L1P,L
4031BD,G-IRPC,C182,CESSNA 182 Skylane,L1P,L
4033BD,G-BTGO,P28A,PIPER PA-28-140/150/160/180,L1P,L
403ABD,G-BWEN,MAME,BLUE YONDER Merlin,L1P,L
403CBD,G-BWVY,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
403DBD,G-BXFN,BALL,,B0-,-
403EBD,G-DUDZ,DR40,ROBIN DR-400,L1P,L
4042BD,G-BYYO,P28R,PIPER PA-28R-180/200/201,L1P,L
4047BD,G-SUSE,EUPA,Europa,L1P,L
404ABD,G-DYKE,JD2,DYKE JD-2 Delta,L1P,L
404CBD,G-CKJF,GLID,,L0-,-
404DBD,G-EETG,C172,CESSNA 172 Skyhawk,L1P,L
404EBD,G-CDRN,BALL,,B0-,-
4050BD,G-UPHI,SKRA,BEST OFF Sky Ranger,L1P,L
4052BD,G-CHBD,GLID,,L0-,-
4053BD,G-DDJD,GLID,,L0-,-
4057BD,G-CKFE,GLID,,L0-,-
4058BD,G-LSFB,GLID,,L0-,-
405FBD,G-CFSJ,JAB2,JABIRU J160/170,L1P,L
4062BD,G-OTEC,SIRA,TECNAM P-2002 Sierra,L1P,L
4063BD,G-CGSO,ULAC,,L0-,-
4064BD,G-CGTC,BN2T,BRITTEN-NORMAN BN-2T Turbine Islander,L2T,L
4065BD,G-CGWH,CRUZ,CSA PS-28 Cruiser,L1P,L
4069BD,G-MMSZ,ULAC,,L0-,-
406ABD,G-TECB,P06T,TECNAM P-2006T,L2P,L
406CBD,G-GVSL,EV97,EVEKTRO EV-97 EuroStar,L1P,L
406DBD,G-FPEH,G2CA,GUIMBAL G-2 Cabri,H1P,L
406EBD,G-CIRM,RV12,VANS RV-12,L1P,L
406FBD,G-TSDA,A210,AQUILA A-210,L1P,L
4071BD,G-CJTA,MT,ROTORSPORT MTOSport,G1P,L
4073BD,G-ITST,EUPA,Europa,L1P,L
4075BD,G-AHMN,DH82,DE HAVILLAND DH-82 Tiger Moth,L1P,L
4076BD,G-UBOO,GLID,,L0-,-
4079BD,G-CLLO,NG5,BRM AERO NG-5/6 Bristell,L1P,L
407BBD,G-NGTC,EXNG,EXTRA NG,L1P,L
4247BD,VP-CEJ,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
4248BD,VP-CUG,A320,AIRBUS A-320,L2J,M
424BBD,M-ABOL,B738,BOEING 737-800,L2J,M
43C4BD,ZA674,H47,BOEING-VERTOL CH-47 Chinook,H2T,M
43C6BD,ZZ403,LYNX,AGUSTAWESTLAND AW-159 Super Lynx,H2T,L
43C8BD,ZM310,G12T,GROB G-120TP,L1T,L
43EABD,M-PMCN,C25A,CESSNA 525A Citation CJ2,L2J,L
43EDBD,2-VYFN,B738,BOEING 737-800,L2J,M
43EEBD,2-ELZE,AT75,ATR-72-500,L2T,M
4400BD,OE-GCH,C55B,CESSNA 550B Citation Bravo,L2J,L
4401BD,OE-DBS,C182,CESSNA 182 Skylane,L1P,L
4402BD,OE-KUM,DR40,ROBIN DR-400,L1P,L
4403BD,OE-IIS,GLF5,GULFSTREAM 5,L2J,M
4404BD,OE-LFE,B752,BOEING 757-200,L2J,M
4406BD,OE-IAA,CL60,BOMBARDIER CL-600 Challenger,L2J,M
4407BD,OE-CEP,BX2,BRANDLI Cherry,L1P,L
4408BD,OE-CFD,C152,CESSNA 152,L1P,L
440CBD,OE-GAF,C25B,CESSNA 525B Citation CJ3,L2J,L
44A3BD,OO-H01,AP22,AEROPRACT A-22,L1P,L
451DBD,LZ-CGU,B734,BOEING 737-400,L2J,M
461FBD,OH-MAN,PC12,PILATUS PC-12,L1T,L
4682BD,22701,A109,AGUSTA AW-109 Grand,H2T,L
4749BD,HA-1302,SF25,SCHEIBE SF-25 Falke,L1P,L
4783BD,LN-GCD,GLID,,L0-,-
4785BD,LN-WDK,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
4840BD,PJ-EZA,B190,BEECH 1900,L2T,M
4845BD,PH-FVD,R44,ROBINSON R-44 Raven,H1P,L
4848BD,PH-1016,GLID,,L0-,-
484CBD,PH-935,GLID,,L0-,-
484DBD,PH-ZCR,PA18,PIPER PA-18 Super Cub,L1P,L
4850BD,P4-AAG,CL60,BOMBARDIER CL-600 Challenger,L2J,M
4851BD,PH-1HM,ZZZZ,,-0-,-
4854BD,PH-1UK,ZZZZ,,-0-,-
4855BD,PH-2IN,ZZZZ,,-0-,-
4856BD,PH-2ES,ZZZZ,,-0-,-
485EBD,PH-4S6,SHRK,SHARK AERO Shark,L1P,L
4864BD,PH-VIT,BALL,,B0-,-
497CBD,19202,LYNX,AGUSTAWESTLAND AW-159 Super Lynx,H2T,L
49D0BD,OK-TNT,PC12,PILATUS PC-12,L1T,L
49D2BD,OK-DSM,C150,CESSNA 150,L1P,L
49D3BD,OK-AJA,C172,CESSNA 172 Skyhawk,L1P,L
49D4BD,OK-AWY,SIRA,TECNAM P-2002 Sierra,L1P,L
4B07BD,HB-CYF,C152,CESSNA 152,L1P,L
4B08BD,HB-DIB,M20T,MOONEY M-20T,L1P,L
4B0BBD,HB-ELP,S05R,SIAI-MARCHETTI S-205-22R,L1P,L
4B14BD,HB-HWF,PC21,PILATUS PC-21,L1T,L
4B16BD,HB-IPX,A319,AIRBUS A-319,L2J,M
4B26BD,HB-ORL,PA18,PIPER PA-18 Super Cub,L1P,L
4B27BD,HB-PBH,P28A,PIPER PA-28-140/150/160/180,L1P,L
4B28BD,HB-PLD,PA46,PIPER PA-46-310/350,L1P,L
4B2ABD,HB-QEV,BALL,,B0-,-
4B2CBD,HB-QYN,BALL,,B0-,-
4B31BD,HB-SVT,D11,JODEL D-11x/12x,L1P,L
4B40BD,HB-YNL,CRUZ,CSA PS-28 Cruiser,L1P,L
4B42BD,HB-ZHD,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
4B43BD,HB-ZQZ,A169,AGUSTA AW-169,H2T,L
4B46BD,HB-534,GLID,,L0-,-
4B47BD,HB-790,GLID,,L0-,-
4B4CBD,HB-2070,DG40,DG FLUGZEUGBAU DG-400,L1P,L
4B50BD,HB-3094,DISC,SCHEMPP-HIRTH Discus,L1P,L
4B7FBD,A-927,PC7,PILATUS PC-7 Astra,L1T,L
4CA8BD,EI-DVK,A320,AIRBUS A-320,L2J,M
4CA9BD,EI-IMS,A319,AIRBUS A-319,L2J,M
4CACBD,EI-GEH,CRJ9,BOMBARDIER Regional Jet CRJ-900,L2J,M
4CAFBD,EI-GGR,A332,AIRBUS A-330-200,L2J,H
4CC4BD,TF-AMM,B744,BOEING 747-400,L4J,H
4D02BD,LX-JFD,PC12,PILATUS PC-12,L1T,L
