0082BE,ZS-BAJ,SR22,CIRRUS SR-22,L1P,L
008EBE,ZS-FON,BE9L,BEECH 90 King Air,L2T,L
0094BE,ZS-HVP,BALL,,B0-,-
00A1BE,ZS-MTP,C208,CESSNA 208 Caravan,L1T,L
00A2BE,ZS-NDL,C208,CESSNA 208 Caravan,L1T,L
00A4BE,ZS-NXD,P28S,PIPER PA-28R-201T,L1P,L
00B1BE,ZS-SVD,P28A,PIPER PA-28-140/150/160/180,L1P,L
00BCBE,ZS-WZL,ULAC,,L0-,-
00FCBE,ZU-FZR,RV8,VANS RV-8,L1P,L
0101BE,SU-GEN,B738,BOEING 737-800,L2J,M
04C2BE,5Y-SHJ,B752,BOEING 757-200,L2J,M
0640BE,5N-BCO,B190,BEECH 1900,L2T,M
06A0BE,A7-BCZ,B788,BOEING 787-8 Dreamliner,L2J,H
06A1BE,A7-BEH,B77W,BOEING 777-300ER,L2J,H
0AC8BE,FAC3105,E314,EMBRAER EMB-314 Super Tucano,L1T,L
0AC9BE,HK-5333X,BE20,BEECH 200 Super King Air,L2T,M
0C20BE,HP-1852CMP,B738,BOEING 737-800,L2J,M
0D03BE,XC-HIE,LJ45,LEARJET 45,L2J,M
0D09BE,XA-VLT,A321,AIRBUS A-321,L2J,M
0D0ABE,XA-GEN,E35L,EMBRAER EMB-135 Legacy,L2J,M
0D0BBE,XA-VRK,A20N,AIRBUS A-320neo,L2J,M
0D0DBE,XB-MMM,LJ25,LEARJET 25,L2J,L
0D81BE,YV2943,E190,EMBRAER ERJ-190-100,L2J,M
0D82BE,YV621T,B734,BOEING 737-400,L2J,M
110BBE,RAFAB,GLID,,L0-,-
141EBE,RA-07870,PC12,PILATUS PC-12,L1T,L
1500BE,RA-65726,T134,TUPOLEV Tu-134,L2J,M
1501BE,RA-65982,T134,TUPOLEV Tu-134,L2J,M
1506BE,RA-67262,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
151DBE,RA-73150,B77W,BOEING 777-300ER,L2J,H
151EBE,RA-73406,A320,AIRBUS A-320,L2J,M
