0083CC,ZS-ALF,E135,EMBRAER ERJ-135,L2J,M
0095CC,ZS-IFZ,C177,CESSNA  177 Cardinal,L1P,L
00A1CC,ZS-MUD,P28R,PIPER PA-28R-180/200/201,L1P,L
00AFCC,ZS-SBZ,R44,ROBINSON R-44 Raven,H1P,L
0101CC,SU-SMM,GLF4,GULFSTREAM 4,L2J,M
0200CC,CN-MVI,B738,BOEING 737-800,L2J,M
02A1CC,TS-IOM,B736,BOEING 737-600,L2J,M
04C0CC,5Y-ELO,C208,CESSNA 208 Caravan,L1T,L
06A1CC,A7-CGG,GLF6,GULFSTREAM G650,L2J,M
0700CC,6V-AGM,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
08CECC,9S-ABD,AT75,ATR-72-500,L2T,M
0AC3CC,HK-5277,A320,AIRBUS A-320,L2J,M
0C20CC,HP-2110DAE,B752,BOEING 757-200,L2J,M
0D09CC,XA-QKY,F900,DASSAULT Falcon 900,L3J,M
0D0CCC,XA-OAV,H25A,HAWKER SIDDELEY HS-125,L2J,M
0D0DCC,XA-VBS,A21N,AIRBUS A-321neo,L2J,M
141CCC,RA-07372,R66,ROBINSON R-66,H1T,L
141ECC,RA-07884,TOBA,SOCATA Tobago,L1P,L
1501CC,RA-65996,T134,TUPOLEV Tu-134,L2J,M
1505CC,RA-67020,L410,LET L-410 Turbolet,L2T,L
151DCC,RA-73164,A321,AIRBUS A-321,L2J,M
151ECC,RA-73420,A320,AIRBUS A-320,L2J,M
151FCC,RA-73676,A319,AIRBUS A-319,L2J,M
1533CC,RA-78796,IL76,ILYUSHIN Il-76/82,L4J,H
155BCC,RA-89036,SU95,SUKHOI Superjet 100-95,L2J,M
3000CC,I-BIKI,A320,AIRBUS A-320,L2J,M
3005CC,I-JONA,ULAC,,L0-,-
3006CC,I-AZRO,P28U,PIPER PA-28RT-201T Turbo,L1P,L
31D8CC,I-7413,STCH,FLY SYNTHESIS Storch,L1P,L
31DDCC,I-7492,EV97,EVEKTRO EV-97 EuroStar,L1P,L
31DECC,I-D680,VL3,AVEKO Flamingo,L1P,L
33FFCC,MM55081,M339,AERMACCHI MB-339,L1J,L
3415CC,EC-MAZ,B412,BELL 412,H2T,L
3420CC,EC-IZR,A320,AIRBUS A-320,L2J,M
3422CC,HE.26-02,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3425CC,EC-KES,C25A,CESSNA 525A Citation CJ2,L2J,L
3430CC,EC-KLT,A320,AIRBUS A-320,L2J,M
3435CC,HU.26-02,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3442CC,EC-LRU,AT76,ATR-72-600,L2T,M
3444CC,EC-MAN,A320,AIRBUS A-320,L2J,M
3450CC,EC-MHL,A333,AIRBUS A-330-300,L2J,H
3451CC,EC-MJK,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3453CC,EC-MQP,B738,BOEING 737-800,L2J,M
3460CC,EC-KBL,C172,CESSNA 172 Skyhawk,L1P,L
3462CC,EC-NEG,A139,AGUSTA AW-139,H2T,L
3464CC,EC-NJB,P208,TECNAM P-2008,L1P,L
3472CC,EC-NTQ,A20N,AIRBUS A-320neo,L2J,M
3532CC,T.23-12,A400,AIRBUS A-400M,L4T,H
3571CC,E.27-12,PC21,PILATUS PC-21,L1T,L
3593CC,HE.26-23,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3824CC,F-BJGM,WA41,WASSMER WA-41 Baladou,L1P,L
3908CC,F-GCGM,ALO2,SUD Alouette 2,H1T,L
390DCC,F-GDOM,C172,CESSNA 172 Skyhawk,L1P,L
3915CC,F-GFOM,ATL,ROBIN ATL,L1P,L
3925CC,F-GJOM,P28A,PIPER PA-28-140/150/160/180,L1P,L
3929CC,F-GKOM,F900,DASSAULT Falcon 900,L3J,M
3939CC,F-GOOM,P28A,PIPER PA-28-140/150/160/180,L1P,L
393DCC,F-GPOM,DR40,ROBIN DR-400,L1P,L
3949CC,F-GSOM,M20T,MOONEY M-20T,L1P,L
3950CC,F-GUGM,A318,AIRBUS A-318,L2J,M
395CCC,F-GXGM,DR40,ROBIN DR-400,L1P,L
3960CC,F-GYGM,DA42,DIAMOND DA-42 Guardian,L2P,L
3964CC,F-GZGM,H500,HUGHES 500,H1T,L
3988CC,F-HCGM,SIRA,TECNAM P-2002 Sierra,L1P,L
3989CC,F-HCOM,C337,CESSNA 337 Super Skymaster,L2P,L
398CCC,F-HDGM,R44,ROBINSON R-44 Raven,H1P,L
3995CC,F-HFOM,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
39B0CC,F-HMGM,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
39C9CC,F-HSOM,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3AAACC,F-MEAW,NH90,NHI NH-90,H2T,M
3AABCC,5611,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B75CC,3-XD,MIR2,DASSAULT Mirage 2000,L1J,M
3B76CC,F-RAVM,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B77CC,066,CN35,CASA CN-235 Persuader,L2T,M
3B9BCC,28,ATLA,BREGUET Atlantic,L2T,M
3C0ACC,D-ATCH,A320,AIRBUS A-320,L2J,M
3C17CC,D-AYAH,A21N,AIRBUS A-321neo,L2J,M
3C1CCC,D-AZXN,A21N,AIRBUS A-321neo,L2J,M
3C49CC,D-ABNL,A320,AIRBUS A-320,L2J,M
3C4ACC,D-ABVL,B744,BOEING 747-400,L4J,H
3C4CCC,D-ACFL,FA7X,DASSAULT Falcon 7X,L3J,M
3C4DCC,D-ACNL,CRJ9,BOMBARDIER Regional Jet CRJ-900,L2J,M
3C64CC,D-AIFL,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
3C65CC,D-AINL,A20N,AIRBUS A-320neo,L2J,M
3C6DCC,D-AKNL,A319,AIRBUS A-319,L2J,M
3D04CC,D-EABK,JUNR,BOLKOW BO-208 Junior,L1P,L
3D05CC,D-EALG,LA4,LAKE LA-4/200,A1P,L
3D06CC,D-EAVC,C172,CESSNA 172 Skyhawk,L1P,L
3D07CC,D-EBEY,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D08CC,D-EBOU,SV4,NORD SV-4,L1P,L
3D09CC,D-EBYQ,C182,CESSNA 182 Skylane,L1P,L
3D0ACC,D-ECIM,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D0BCC,D-ECSI,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D0CCC,D-EDCE,PA22,PIPER PA-22,L1P,L
3D0DCC,D-EDMA,DO27,DORNIER Do-27,L1P,L
3D0FCC,D-EEFS,C172,CESSNA 172 Skyhawk,L1P,L
3D12CC,D-EFJG,B209,MBB BO-209 Monsun,L1P,L
3D13CC,D-EFTC,B209,MBB BO-209 Monsun,L1P,L
3D18CC,D-EHQI,S223,MBB 223 Flamingo,L1P,L
3D19CC,D-EIAE,DR22,CENTRE EST Dauphin,L1P,L
3D22CC,D-ELKU,C172,CESSNA 172 Skyhawk,L1P,L
3D24CC,D-EMEM,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D25CC,D-EMOI,DR40,ROBIN DR-400,L1P,L
3D27CC,D-ENIA,C150,CESSNA 150,L1P,L
3D28CC,D-ENRW,T206,CESSNA T206 Turbo Stationair,L1P,L
3D29CC,D-EOBS,DR30,CENTRE EST Prince,L1P,L
3D2CCC,D-EPFG,C82R,CESSNA R182 Skylane RG,L1P,L
3D2DCC,D-EPPC,DV20,DIAMOND DA-20,L1P,L
3D31CC,D-ERCM,DV20,DIAMOND DA-20,L1P,L
3D32CC,D-ERMI,P28S,PIPER PA-28R-201T,L1P,L
3D33CC,D-ERWE,M20P,MOONEY M-20,L1P,L
3D34CC,D-ESGA,PA32,PIPER PA-32,L1P,L
3D35CC,D-ESPW,C172,CESSNA 172 Skyhawk,L1P,L
3D38CC,D-ETTK,C172,CESSNA 172 Skyhawk,L1P,L
3D3ECC,D-EWAM,DR40,ROBIN DR-400,L1P,L
3D3FCC,D-EWKI,Z43,ZLIN Z-43/143,L1P,L
3D5FCC,D-FINK,C208,CESSNA 208 Caravan,L1T,L
3D8FCC,D-GASA,AE45,AERO Super Aero 145,L2P,L
3DA3CC,D-GIGY,BE76,BEECH 76 Duchess,L2P,L
3DADCC,D-GMBK,PA34,PIPER PA-34 Seneca,L2P,L
3DD2CC,D-HABS,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3DD3CC,D-HALO,R44,ROBINSON R-44 Raven,H1P,L
3DD6CC,D-HBPC,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3DDDCC,D-HEGA,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3E04CC,D-HTAA,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3E5FCC,D-KBMA,LAE1,LANGE E-1 Antares 20E,L1E,L
3E67CC,D-KEMU,GLID,,L0-,-
3E69CC,D-KFGM,SF25,SCHEIBE SF-25 Falke,L1P,L
3E6FCC,D-KHNO,AS29,SCHLEICHER ASG-29,L1P,L
3E76CC,D-KKEM,GLID,,L0-,-
3E7ACC,D-KLRW,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3EA1CC,54+04,A400,AIRBUS A-400M,L4T,H
3EC4CC,D-KPMI,GLID,,L0-,-
3ECBCC,D-KSDG,DG1T,DG FLUGZEUGBAU DG-1001T,L1P,L
3ED1CC,D-KUKI,GLID,,L0-,-
3EF1CC,D-4405,GLID,,L0-,-
3EFBCC,D-6965,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3EFECC,D-7733,GLID,,L0-,-
3F88CC,79+63,NH90,NHI NH-90,H2T,M
3FD6CC,D-OSTW,BALL,,B0-,-
3FEACC,D-MMDD,FDCT,FLIGHT DESIGN CT,L1P,L
3FEBCC,D-MECK,EV97,EVEKTRO EV-97 EuroStar,L1P,L
3FEDCC,D-MLFA,ULAC,,L0-,-
3FEECC,D-MZKA,SAVG,ZLIN AVIATION Savage,L1P,L
3FEFCC,D-MILH,CDUS,AUTOGYRO Calidus,G1P,L
3FF0CC,D-MIGE,G3,REMOS Mirage,L1P,L
3FF1CC,D-MDIS,ALSL,AIRLONY Skylane,L1P,L
3FF2CC,D-MZES,CH60,ZENAIR CH-600 Zodiac,L1P,L
3FF3CC,D-MDUS,CDUS,AUTOGYRO Calidus,G1P,L
3FF4CC,D-MXIF,C42,IKARUS C-42 Bison,L1P,L
3FF6CC,D-MFXY,EFOX,AEROPRO Eurofox,L1P,L
4009CC,G-FRAJ,FA20,DASSAULT Falcon 200,L2J,M
400ACC,G-ZLOJ,BT36,BEECH B36TC Bonanza,L1P,L
400CCC,G-BJNZ,PA27,PIPER PA-23-250 Aztec,L2P,L
400DCC,G-ZOOL,C152,CESSNA 152,L1P,L
400ECC,G-BYUH,G115,GROB G-115,L1P,L
4011CC,G-DHDV,DOVE,DE HAVILLAND DH-104 Dove,L2P,L
4014CC,G-AOTY,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
4015CC,G-ASKT,P28A,PIPER PA-28-140/150/160/180,L1P,L
4016CC,G-AVEU,WA40,WASSMER WA-40 Super 4,L1P,L
4018CC,G-BTGS,SA30,STOLP Starduster Too,L1P,L
401ACC,G-EROL,GAZL,AEROSPATIALE SA-341 Gazelle,H1T,L
4029CC,G-PITZ,PTS2,PITTS S-2 Special,L1P,L
402ACC,G-FTIL,DR40,ROBIN DR-400,L1P,L
402ECC,G-BRBP,C152,CESSNA 152,L1P,L
4032CC,G-MWNE,ULAC,,L0-,-
4036CC,G-OMJT,LGEZ,RUTAN Long-EZ,L1P,L
4037CC,G-IIRG,GLAS,Glasair,L1P,L
403FCC,G-MZMK,ULAC,,L0-,-
4040CC,G-BYEM,C82R,CESSNA R182 Skylane RG,L1P,L
4045CC,G-CBBH,XAIR,RAJ HAMSA X-AIR Falcon,L1P,L
4046CC,G-CBJW,C42,IKARUS C-42 Bison,L1P,L
4047CC,G-CEEU,P28A,PIPER PA-28-140/150/160/180,L1P,L
4049CC,G-CCHM,ULAC,,L0-,-
404ACC,G-PDGP,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
404DCC,G-LGCB,DR40,ROBIN DR-400,L1P,L
404ECC,G-MRVL,RV7,VANS RV-7,L1P,L
