0085CD,ZS-CEM,B190,BEECH 1900,L2T,M
008DCD,ZS-FFG,BE36,BEECH 36 Bonanza,L1P,L
009DCD,ZS-LGU,M20P,MOONEY M-20,L1P,L
00A1CD,ZS-MUE,P28A,PIPER PA-28-140/150/160/180,L1P,L
00B1CD,ZS-SVS,C182,CESSNA 182 Skylane,L1P,L
0101CD,SU-AAD,A320,AIRBUS A-320,L2J,M
02A1CD,TS-ION,B736,BOEING 737-600,L2J,M
04C1CD,5Y-FDP,PC12,PILATUS PC-12,L1T,L
06A1CD,A7-CGH,GLF6,GULFSTREAM G650,L2J,M
06A2CD,A7-CCC,DA42,DIAMOND DA-42 Guardian,L2P,L
08CECD,9S-ABS,A333,AIRBUS A-330-300,L2J,H
0C20CD,HP-2888,B350,BEECHCRAFT Super King Air 350,L2T,M
0D04CD,XB-MCB,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D07CD,XA-UTG,C25C,CESSNA 525C Citation CJ4,L2J,M
0D0ACD,XA-MAK,B38M,BOEING 737 MAX 8,L2J,M
0D0CCD,XB-SFF,B505,BELL 505 JetRanger X,H1T,L
0D0DCD,XA-MLC,C680,CESSNA 680 Citation Sovereign,L2J,M
0D0ECD,XB-TLJ,LJ25,LEARJET 25,L2J,L
0D81CD,YV2969,C208,CESSNA 208 Caravan,L1T,L
1407CD,RA-01997,A139,AGUSTA AW-139,H2T,L
1410CD,RA-04301,R44,ROBINSON R-44 Raven,H1P,L
1485CD,RF-34253,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
1501CD,RA-65997,,,,
151DCD,RA-73165,A321,AIRBUS A-321,L2J,M
151ECD,RA-73421,A320,AIRBUS A-320,L2J,M
151FCD,RA-73677,A319,AIRBUS A-319,L2J,M
1533CD,RF-78797,IL76,ILYUSHIN Il-76/82,L4J,H
155BCD,RA-89037,SU95,SUKHOI Superjet 100-95,L2J,M
180BCD,RA-0854G,L39,LET L-39 Albatros,L1J,L
3002CD,I-AMVT,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3005CD,I-MITI,PA27,PIPER PA-23-250 Aztec,L2P,L
31DECD,I-B158,KP2,JIHLAVAN KP-2 Sova,L1P,L
