0084CE,ZS-BUR,SR22,CIRRUS SR-22,L1P,L
0085CE,ZS-CEN,PA22,PIPER PA-22,L1P,L
008DCE,ZS-FFH,C182,CESSNA 182 Skylane,L1P,L
0094CE,ZS-HWF,R22,ROBINSON R-22 Mariner,H1P,L
00A6CE,ZS-ORL,SS2T,TRUSH Turbo Thrush 500/550,L1T,L
00ADCE,ZS-RIJ,R22,ROBINSON R-22 Mariner,H1P,L
00AFCE,ZS-SCB,C172,CESSNA 172 Skyhawk,L1P,L
00CDCE,ZU-JPW,RV10,VANS RV-10,L1P,L
0101CE,SU-TMJ,B738,BOEING 737-800,L2J,M
02A1CE,TS-IOO,B737,BOEING 737-700,L2J,M
04C0CE,5Y-KWM,B407,BELL 407,H1T,L
04C1CE,5Y-WFB,F50,FOKKER 50,L2T,M
0641CE,5N-BTH,S92,SIKORSKY S-92 Helibus,H2T,M
06A0CE,A7-GHG,A139,AGUSTA AW-139,H2T,L
06A1CE,A7-CGI,GLF6,GULFSTREAM G650,L2J,M
06A2CE,A7-DDD,DA42,DIAMOND DA-42 Guardian,L2P,L
08CECE,9S-ABJ,B733,BOEING 737-300,L2J,M
0900CE,D2-FLB,AT72,ATR-72-202,L2T,M
0AC3CE,HK-5275,A320,AIRBUS A-320,L2J,M
0C20CE,HP-1854CMP,B738,BOEING 737-800,L2J,M
0D04CE,XA-UKF,LJ35,LEARJET 35,L2J,M
0D09CE,XA-VAU,A320,AIRBUS A-320,L2J,M
0D0BCE,XA-BBB,B39M,BOEING 737 MAX 9,L2J,M
0D0CCE,XA-VRO,A20N,AIRBUS A-320neo,L2J,M
0D81CE,YV2970,C208,CESSNA 208 Caravan,L1T,L
0D83CE,YV1310,M20P,MOONEY M-20,L1P,L
1100CE,RACE,GLID,,L0-,-
1130CE,GND,GND,,V0-,-
1407CE,RA-01998,A139,AGUSTA AW-139,H2T,L
1418CE,RA-06350,R66,ROBINSON R-66,H1T,L
141ECE,RA-07886,B58T,BEECH 58TC Baron,L2P,L
1457CE,RA-22478,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
151DCE,RA-73166,A321,AIRBUS A-321,L2J,M
151ECE,RA-73422,A320,AIRBUS A-320,L2J,M
151FCE,RA-73678,A319,AIRBUS A-319,L2J,M
155BCE,RA-89038,SU95,SUKHOI Superjet 100-95,L2J,M
157DCE,RF-97742,SU57,SUKHOI Su-57,L2J,M
1809CE,RA-2510G,Z42,ZLIN Z-42/142/242,L1P,L
3003CE,I-ELLO,H500,HUGHES 500,H1T,L
3005CE,I-AMDI,C172,CESSNA 172 Skyhawk,L1P,L
31DECE,I-A298,MX1T,WORLD AIRCRAFT Sentinel,L1P,L
33FECE,MM81674,A109,AGUSTA AW-109 Grand,H2T,L
33FFCE,MM55079,M339,AERMACCHI MB-339,L1J,L
3415CE,EC-IEF,A320,AIRBUS A-320,L2J,M
3420CE,EC-JAZ,A319,AIRBUS A-319,L2J,M
3432CE,T.19B-22,CN35,CASA CN-235 Persuader,L2T,M
3434CE,EC-LGV,F2TH,DASSAULT Falcon 2000,L2J,M
3435CE,EC-LOR,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3440CE,EC-LNH,A332,AIRBUS A-330-200,L2J,H
3444CE,EC-MAJ,A332,AIRBUS A-330-200,L2J,H
3450CE,EC-MHF,G2CA,GUIMBAL G-2 Cabri,H1P,L
3453CE,EC-MQK,B744,BOEING 747-400,L4J,H
3461CE,EC-NDG,A319,AIRBUS A-319,L2J,M
3462CE,EC-NBT,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3571CE,E.27-14,PC21,PILATUS PC-21,L1T,L
3825CE,F-BJOO,PICO,GENERAL AVIA F-15 Picchio,L1P,L
3911CE,F-GEOO,PA34,PIPER PA-34 Seneca,L2P,L
3914CE,F-GFGO,P28A,PIPER PA-28-140/150/160/180,L1P,L
394DCE,F-GTOO,P28A,PIPER PA-28-140/150/160/180,L1P,L
3950CE,F-GUGO,A318,AIRBUS A-318,L2J,M
3988CE,F-HCGO,P06T,TECNAM P-2006T,L2P,L
398CCE,F-HDGO,DA40,DIAMOND DA-40 Club Star,L1P,L
3995CE,F-HFOO,HDJT,HONDA HondaJet,L2J,L
3999CE,F-HGOO,DV20,DIAMOND DA-20,L1P,L
39B5CE,F-HNOO,P28A,PIPER PA-28-140/150/160/180,L1P,L
39B9CE,F-HOOO,DA40,DIAMOND DA-40 Club Star,L1P,L
39C4CE,F-HRGO,DR40,ROBIN DR-400,L1P,L
39C8CE,F-HSGO,TWEN,TECNAM Twenty-Ten,L1P,L
39C9CE,F-HSOO,DR40,ROBIN DR-400,L1P,L
39CCCE,F-HTGO,PC12,PILATUS PC-12,L1T,L
39CDCE,F-HTOO,A359,AIRBUS A-350-900,L2J,H
39E5CE,F-HZOO,APM2,ISSOIRE APM-20 Lionceau,L1P,L
3AAACE,F-MEAU,NH90,NHI NH-90,H2T,M
3AABCE,5541,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B76CE,F-RAVJ,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B77CE,114,CN35,CASA CN-235 Persuader,L2T,M
3B9BCE,26,ATLA,BREGUET Atlantic,L2T,M
3C17CE,D-AYAJ,A321,AIRBUS A-321,L2J,M
3C49CE,D-ABNN,A320,AIRBUS A-320,L2J,M
3C4ACE,D-ABVN,B744,BOEING 747-400,L4J,H
3C4DCE,D-ACNN,CRJ9,BOMBARDIER Regional Jet CRJ-900,L2J,M
3C65CE,D-AINN,A20N,AIRBUS A-320neo,L2J,M
3C6DCE,D-AKNN,A319,AIRBUS A-319,L2J,M
3C85CE,D-BANN,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
3C9CCE,D-BGFN,E550,EMBRAER EMB-550 Praetor 600,L2J,M
3CBDCE,D-BONN,F2TH,DASSAULT Falcon 2000,L2J,M
3CC9CE,D-CDSO,C55B,CESSNA 550B Citation Bravo,L2J,L
