008CCF,ZS-EVM,P28A,PIPER PA-28-140/150/160/180,L1P,L
008ECF,ZS-FPE,S22T,CIRRUS SR-22T Turbo,L1P,L
0095CF,ZS-IGC,CL60,BOMBARDIER CL-600 Challenger,L2J,M
00AECF,ZS-RSG,C130,LOCKHEED C-130 Hercules,L4T,M
00B0CF,ZS-SLY,C172,CESSNA 172 Skyhawk,L1P,L
0100CF,SU-EWD,C680,CESSNA 680 Citation Sovereign,L2J,M
02A1CF,TS-IOP,B736,BOEING 737-600,L2J,M
04C1CF,5Y-WFC,F50,FOKKER 50,L2T,M
06A0CF,A7-GHH,A139,AGUSTA AW-139,H2T,L
06A1CF,A7-CGJ,GLF6,GULFSTREAM G650,L2J,M
06A2CF,A7-FFF,DA42,DIAMOND DA-42 Guardian,L2P,L
0700CF,6V-AGP,B06,BELL 206 JetRanger,H1T,L
0AC3CF,HK-5276,A320,AIRBUS A-320,L2J,M
0ACACF,PNC0252,B190,BEECH 1900,L2T,M
0C20CF,HP-1855CMP,B738,BOEING 737-800,L2J,M
0D02CF,XA-GAO,BE40,BEECH 400 Beechjet,L2J,M
0D07CF,ANX-1191,B350,BEECHCRAFT Super King Air 350,L2T,M
0D0ACF,XA-AEN,E190,EMBRAER ERJ-190-100,L2J,M
0D0BCF,XA-GTR,C510,CESSNA 510 Citation Mustang,L2J,L
0D0CCF,XB-EXJ,PA46,PIPER PA-46-310/350,L1P,L
0D81CF,YV2918,B733,BOEING 737-300,L2J,M
0D82CF,YV3333,C25C,CESSNA 525C Citation CJ4,L2J,M
140ACF,RA-02767,PRM1,RAYTHEON 390 Premier 1,L2J,L
141CCF,RA-07375,R66,ROBINSON R-66,H1T,L
141ECF,RA-07887,M600,PIPER PA-46-600TP,L1T,L
151DCF,RA-73167,A320,AIRBUS A-320,L2J,M
151ECF,RA-73423,A320,AIRBUS A-320,L2J,M
151FCF,RA-73679,A319,AIRBUS A-319,L2J,M
155BCF,RA-89039,SU95,SUKHOI Superjet 100-95,L2J,M
157DCF,UR-KEK,B505,BELL 505 JetRanger X,H1T,L
3004CF,I-PAAP,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3005CF,I-AMDL,C72R,CESSNA 172R Cutlass RG,L1P,L
3007CF,I-ACIR,P28A,PIPER PA-28-140/150/160/180,L1P,L
3008CF,I-HERC,A169,AGUSTA AW-169,H2T,L
33FDCF,MM81786,H47,BOEING-VERTOL CH-47 Chinook,H2T,M
33FFCF,MM55078,M339,AERMACCHI MB-339,L1J,L
3415CF,EC-IEG,A320,AIRBUS A-320,L2J,M
3420CF,EC-JNI,A321,AIRBUS A-321,L2J,M
3433CF,EC-IAX,C550,CESSNA 550 Citation S2,L2J,L
3435CF,EC-LOS,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3440CF,EC-LMN,A332,AIRBUS A-330-200,L2J,H
3443CF,EC-LRF,DA40,DIAMOND DA-40 Club Star,L1P,L
3444CF,EC-LZN,A320,AIRBUS A-320,L2J,M
3451CF,EC-MIH,B788,BOEING 787-8 Dreamliner,L2J,H
3453CF,EC-EY8,FDCT,FLIGHT DESIGN CT,L1P,L
3455CF,HD.21-18,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3461CF,EC-NDH,A319,AIRBUS A-319,L2J,M
3473CF,EC-NYR,E35L,EMBRAER EMB-135 Legacy,L2J,M
3571CF,E.27-15,PC21,PILATUS PC-21,L1T,L
3815CF,F-BFOP,SV4,NORD SV-4,L1P,L
3850CF,F-BUGP,RALL,SOCATA Rallye,L1P,L
3855CF,F-BVOP,P28A,PIPER PA-28-140/150/160/180,L1P,L
3901CF,F-GAOP,DR40,ROBIN DR-400,L1P,L
390CCF,F-GDGP,TOBA,SOCATA Tobago,L1P,L
3910CF,F-GEGP,BALL,,B0-,-
3911CF,F-GEOP,BALL,,B0-,-
3918CF,F-GGGP,BE36,BEECH 36 Bonanza,L1P,L
3930CF,F-GMGP,DR40,ROBIN DR-400,L1P,L
3944CF,F-GRGP,E135,EMBRAER ERJ-135,L2J,M
394DCF,F-GTOP,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
3950CF,F-GUGP,A318,AIRBUS A-318,L2J,M
3964CF,F-GZGP,P28A,PIPER PA-28-140/150/160/180,L1P,L
3989CF,F-HCOP,R22,ROBINSON R-22 Mariner,H1P,L
398CCF,F-HDGP,DA42,DIAMOND DA-42 Guardian,L2P,L
3994CF,F-HFGP,B350,BEECHCRAFT Super King Air 350,L2T,M
399DCF,F-HHOP,APM3,ISSOIRE APM-30 Lion,L1P,L
39B9CF,F-HOOP,P208,TECNAM P-2008,L1P,L
39BDCF,F-HPOP,G2CA,GUIMBAL G-2 Cabri,H1P,L
39CDCF,F-HTOP,E135,EMBRAER ERJ-135,L2J,M
3AAACF,F-MEAT,NH90,NHI NH-90,H2T,M
3AABCF,F-MAYH,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B75CF,30-JO,MIR2,DASSAULT Mirage 2000,L1J,M
3B76CF,F-RAVI,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B77CF,111,CN35,CASA CN-235 Persuader,L2T,M
3B9BCF,25,ATLA,BREGUET Atlantic,L2T,M
3C14CF,D-AWWW,GLF6,GULFSTREAM G650,L2J,M
3C17CF,D-AYAK,A21N,AIRBUS A-321neo,L2J,M
3C1CCF,D-AZXQ,A21N,AIRBUS A-321neo,L2J,M
3C4ACF,D-ABVO,B744,BOEING 747-400,L4J,H
3C4DCF,D-ACNO,CRJ9,BOMBARDIER Regional Jet CRJ-900,L2J,M
3C65CF,D-AINO,A20N,AIRBUS A-320neo,L2J,M
3C6DCF,D-AKNO,A319,AIRBUS A-319,L2J,M
3D04CF,D-EABN,SR22,CIRRUS SR-22,L1P,L
3D05CF,D-EALJ,T206,CESSNA T206 Turbo Stationair,L1P,L
3D07CF,D-EBFB,PA18,PIPER PA-18 Super Cub,L1P,L
3D0ACF,D-ECIP,R300,ROBIN R-3000/3100/3120/3140,L1P,L
3D0BCF,D-ECSL,C172,CESSNA 172 Skyhawk,L1P,L
3D0CCF,D-EDCH,PA22,PIPER PA-22,L1P,L
3D0ECF,D-EDVZ,C150,CESSNA 150,L1P,L
3D0FCF,D-EEFV,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D10CF,D-EEPR,PA38,PIPER PA-38 Tomahawk,L1P,L
3D12CF,D-EFJJ,B209,MBB BO-209 Monsun,L1P,L
3D14CF,D-EGDB,AA5,AMERICAN AA-5 Tiger,L1P,L
3D16CF,D-EGWT,HR20,ROBIN HR-200,L1P,L
3D19CF,D-EIAH,PA46,PIPER PA-46-310/350,L1P,L
3D1ACF,D-EIKD,C172,CESSNA 172 Skyhawk,L1P,L
3D21CF,D-ELBB,D150,JODEL D-150 Mascaret,L1P,L
3D22CF,D-ELKX,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D24CF,D-EMEP,PA38,PIPER PA-38 Tomahawk,L1P,L
3D25CF,D-EMOL,C172,CESSNA 172 Skyhawk,L1P,L
3D27CF,D-ENID,CH7A,BELLANCA 7 Champion,L1P,L
3D2CCF,D-EPFJ,A210,AQUILA A-210,L1P,L
3D31CF,D-ERCP,SR20,CIRRUS SR-20,L1P,L
3D3ECF,D-EWAP,E300,EXTRA EA-300/330/350,L1P,L
3D41CF,D-EXED,TB20,SOCATA TB-20 Trinidad,L1P,L
3D57CF,D-FFMT,PC9,PILATUS PC-9 Hudournik,L1T,L
3DAFCF,D-GMVF,BE95,BEECH 95 Travel Air,L2P,L
3DD2CF,D-HABV,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3DD3CF,D-HALR,R44,ROBINSON R-44 Raven,H1P,L
3DD6CF,D-HBPF,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3DDDCF,D-HEGD,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3DF3CF,D-HMOT,B06,BELL 206 JetRanger,H1T,L
3DF8CF,D-HOLZ,H500,HUGHES 500,H1T,L
3E5ECF,D-KBCH,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3E73CF,D-KJBB,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
