0082D2,ZS-BBD,E145,EMBRAER ERJ-145,L2J,M
0086D2,ZS-CON,PC12,PILATUS PC-12,L1T,L
008AD2,ZS-EBX,P28A,PIPER PA-28-140/150/160/180,L1P,L
008DD2,ZS-FFL,C210,CESSNA 201 Centurion,L1P,L
0092D2,ZS-HCR,UH1,BELL UH-1 Huey,H1T,L
009DD2,ZS-LGZ,C82R,CESSNA R182 Skylane RG,L1P,L
009FD2,ZS-MAR,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
00A8D2,ZS-PLH,C152,CESSNA 152,L1P,L
00AED2,ZS-RSJ,R44,ROBINSON R-44 Raven,H1P,L
0100D2,SU-BPN,AN72,ANTONOV An-74-200,L2J,M
0101D2,SU-BTW,FA8X,DASSAULT Falcon 8X,L3J,M
0200D2,CN-TJS,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
04C1D2,5Y-NPW,A119,AGUSTA AW-119 Koala,H1T,L
06A0D2,A7-HBC,B412,BELL 412,H2T,L
06A1D2,A7-CGN,GLF6,GULFSTREAM G650,L2J,M
06A2D2,A7-KKK,DA40,DIAMOND DA-40 Club Star,L1P,L
0700D2,6V-AGS,BE20,BEECH 200 Super King Air,L2T,M
0D05D2,XA-ILY,A320,AIRBUS A-320,L2J,M
0D09D2,XA-UXP,DC91,MCDONNELL DOUGLAS DC-9-10,L2J,M
0D0BD2,XB-MKD,C421,CESSNA 421 Executive Commuter,L2P,L
0D0DD2,XB-RVQ,TWEN,TECNAM Twenty-Ten,L1P,L
1101D2,TWR,TWR,,T0-,-
1130D2,GND,GND,,V0-,-
141ED2,RA-07890,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
14A5D2,RA-42450,YK42,YAKOVLEV Yak-142,L3J,M
1506D2,RA-67282,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
151CD2,RF-72029,,,,
151DD2,RA-73170,A320,AIRBUS A-320,L2J,M
151ED2,RA-73426,A20N,AIRBUS A-320neo,L2J,M
151FD2,RA-73682,A319,AIRBUS A-319,L2J,M
155BD2,RA-89042,SU95,SUKHOI Superjet 100-95,L2J,M
3003D2,I-FEAL,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3004D2,I-CAKE,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
3005D2,I-TEAB,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3007D2,I-WNDD,A139,AGUSTA AW-139,H2T,L
3008D2,I-WLFZ,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
33FFD2,MM62206,P180,PIAGGIO P-180 Avanti,L2T,L
3423D2,EC-JPY,C172,CESSNA 172 Skyhawk,L1P,L
3424D2,EC-JZI,A320,AIRBUS A-320,L2J,M
3431D2,EC-KQT,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3433D2,EC-KZI,A346,AIRBUS A-340-600,L4J,H
3435D2,EC-LHV,AT73,ATR-72-212,L2T,M
3442D2,EC-LSF,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3443D2,EC-LUO,A320,AIRBUS A-320,L2J,M
3444D2,EC-MAX,A320,AIRBUS A-320,L2J,M
3445D2,EC-MBU,A320,AIRBUS A-320,L2J,M
3461D2,EC-NBZ,BE20,BEECH 200 Super King Air,L2T,M
3835D2,F-BNOS,BE35,BEECH 35 Starfire Bonanza,L1P,L
3844D2,F-BRGS,RALL,SOCATA Rallye,L1P,L
3845D2,F-BROS,DR30,CENTRE EST Prince,L1P,L
