0080DC,ZS-ALO,E135,EMBRAER ERJ-135,L2J,M
0086DC,ZS-COX,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
0092DC,ZS-HDB,R44,ROBINSON R-44 Raven,H1P,L
0095DC,ZS-IGP,LJ35,LEARJET 35,L2J,M
009DDC,ZS-LHJ,C210,CESSNA 201 Centurion,L1P,L
00C8DC,ZU-IIS,RV14,VANS RV-14,L1P,L
0100DC,SU-GCN,B738,BOEING 737-800,L2J,M
0101DC,SU-GES,B789,BOEING 787-9 Dreamliner,L2J,H
04C1DC,5Y-JWF,F70,FOKKER 70,L2J,M
0640DC,5N-BKU,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
06A0DC,A7-BAS,B77W,BOEING 777-300ER,L2J,H
06A2DC,A7-ZZZ,DA40,DIAMOND DA-40 Club Star,L1P,L
08A0DC,9J-TST,E145,EMBRAER ERJ-145,L2J,M
08CEDC,9S-ASB,A321,AIRBUS A-321,L2J,M
0900DC,D2-EAH,BE40,BEECH 400 Beechjet,L2J,M
0AC7DC,FAC4475,B06,BELL 206 JetRanger,H1T,L
0AC8DC,FAC1952,ARVA,IAI 102/202 Arava,L2T,L
0AC9DC,HK-5357,B734,BOEING 737-400,L2J,M
0C20DC,HP-9901CMP,B39M,BOEING 737 MAX 9,L2J,M
0D02DC,XB-FFF,LJ31,LEARJET 31,L2J,M
0D06DC,XA-TAT,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
0D07DC,6612,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0D09DC,XA-CRM,A320,AIRBUS A-320,L2J,M
0D0BDC,XC-LLW,UH1,BELL UH-1 Huey,H1T,L
0D80DC,YV1776,C551,CESSNA 551 Citation 2SP,L2J,L
0D82DC,YV3343,LJ55,LEARJET 55,L2J,M
1059DC,TWR,TWR,,T0-,-
1427DC,RA-10204,GLF6,GULFSTREAM G650,L2J,M
14F1DC,RA-61916,I103,ILYUSHIN Il-103,L1P,L
