0093DF,ZS-HNA,EN28,ENSTROM F-28,H1P,L
0094DF,ZS-HWW,BE58,BEECH 58 Baron,L2P,L
0095DF,ZS-IGS,C182,CESSNA 182 Skylane,L1P,L
00B2DF,ZS-TGG,B733,BOEING 737-300,L2J,M
0100DF,SU-GCR,B738,BOEING 737-800,L2J,M
0101DF,SU-GEV,B789,BOEING 787-9 Dreamliner,L2J,H
04C0DF,5Y-NNA,PA34,PIPER PA-34 Seneca,L2P,L
04C1DF,5Y-JXE,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
0641DF,5N-AIS,B735,BOEING 737-500,L2J,M
0642DF,5N-CAB,E55P,EMBRAER EMB-505 Phenom 300,L2J,M
06A0DF,A7-BFF,B77L,BOEING 777-200LR,L2J,H
06A1DF,A7-LAE,A320,AIRBUS A-320,L2J,M
06A2DF,A7-BFR,B77L,BOEING 777-200LR,L2J,H
0AC0DF,HK-4637,B722,BOEING 727-200,L3J,M
0AC7DF,FAC4478,B06,BELL 206 JetRanger,H1T,L
0B05DF,CU-T1503,Y18T,YAKOVLEV Yak-18T,L1P,L
0C20DF,HP-9904CMP,B39M,BOEING 737 MAX 9,L2J,M
0D04DF,XA-JAC,E190,EMBRAER ERJ-190-100,L2J,M
0D05DF,XB-RUA,C650,CESSNA 650 Citation,L2J,M
0D08DF,XA-OUI,SU95,SUKHOI Superjet 100-95,L2J,M
0D09DF,XA-GGS,C68A,CESSNA 680 Citation Latitude,L2J,M
0D0ADF,XA-PMS,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D0BDF,XC-CVM,C500,CESSNA 500 Citation 1,L2J,L
0D0CDF,XA-USF,LJ31,LEARJET 31,L2J,M
0D81DF,YV2994,C208,CESSNA 208 Caravan,L1T,L
0D82DF,YV631T,C25A,CESSNA 525A Citation CJ2,L2J,L
1427DF,RA-10207,GLF6,GULFSTREAM G650,L2J,M
151DDF,RA-73183,A320,AIRBUS A-320,L2J,M
151EDF,RA-73439,A21N,AIRBUS A-321neo,L2J,M
151FDF,RA-73695,A320,AIRBUS A-320,L2J,M
152ADF,RA-76511,IL76,ILYUSHIN Il-76/82,L4J,H
152BDF,RA-76767,,,,
1533DF,RF-78815,IL76,ILYUSHIN Il-76/82,L4J,H
1551DF,RA-86495,IL62,ILYUSHIN Il-62,L4J,H
3004DF,I-ECPM,P46T,PIPER PA-46-500TP,L1T,L
3005DF,I-TORQ,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3007DF,I-ETAR,C172,CESSNA 172 Skyhawk,L1P,L
3008DF,I-SPKS,TWEN,TECNAM Twenty-Ten,L1P,L
31D7DF,I-A570,TEXA,FLY SYNTHESIS Texan,L1P,L
31DCDF,I-5905,FLSH,EURO-FLY Flash,L1P,L
31DEDF,I-D707,NG5,BRM AERO NG-5/6 Bristell,L1P,L
33FDDF,MM81783,H47,BOEING-VERTOL CH-47 Chinook,H2T,M
3AAADF,2331,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3AABDF,F-MBHF,TIGR,AIRBUS HELICOPTERS EC-665 Tiger,H2T,L
3B77DF,152,CN35,CASA CN-235 Persuader,L2T,M
3B9BDF,3,ATLA,BREGUET Atlantic,L2T,M
3D04DF,D-EACD,BE33,BEECH 33 Bonanza,L1P,L
3D05DF,D-EALZ,C206,CESSNA  206 Stationair,L1P,L
3D07DF,D-EBFR,PA32,PIPER PA-32,L1P,L
3D08DF,D-EBPN,P208,TECNAM P-2008,L1P,L
3D0ADF,D-ECJF,C177,CESSNA  177 Cardinal,L1P,L
3D0DDF,D-EDMT,C172,CESSNA 172 Skyhawk,L1P,L
3D0EDF,D-EDWP,BE33,BEECH 33 Bonanza,L1P,L
3D0FDF,D-EEGL,C172,CESSNA 172 Skyhawk,L1P,L
3D10DF,D-EEQH,C182,CESSNA 182 Skylane,L1P,L
3D11DF,D-EFAD,M20T,MOONEY M-20T,L1P,L
3D14DF,D-EGDR,AA5,AMERICAN AA-5 Tiger,L1P,L
3D17DF,D-EHHF,P28T,PIPER PA-28RT-201,L1P,L
3D1ADF,D-EIKT,C172,CESSNA 172 Skyhawk,L1P,L
3D1DDF,D-EJOH,TB20,SOCATA TB-20 Trinidad,L1P,L
3D20DF,D-EKRV,RV9,VANS RV-9,L1P,L
3D21DF,D-ELBR,BR23,BRM AERO Bristell B23,L1P,L
