0099EA,ZS-JUN,F2TH,DASSAULT Falcon 2000,L2J,M
00AFEA,ZS-SDD,A359,AIRBUS A-350-900,L2J,H
00B1EA,ZS-SWV,E135,EMBRAER ERJ-135,L2J,M
0101EA,SU-GFB,BCS3,AIRBUS A220-300,L2J,M
0200EA,CN-RGG,B738,BOEING 737-800,L2J,M
04C1EA,226,C27J,ALENIA C-27J Spartan,L2T,M
06A0EA,A7-AMK,A359,AIRBUS A-350-900,L2J,H
06A1EA,A7-BFM,B77L,BOEING 777-200LR,L2J,H
06A2EA,A7-BHG,B789,BOEING 787-9 Dreamliner,L2J,H
08A0EA,9J-PFZ,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
0AC0EA,ARC801,CN35,CASA CN-235 Persuader,L2T,M
0AC3EA,FAC5065,C208,CESSNA 208 Caravan,L1T,L
0AC7EA,FAC4419,UH1,BELL UH-1 Huey,H1T,L
0AC9EA,FAC2470,C172,CESSNA 172 Skyhawk,L1P,L
0C20EA,AN-401,B350,BEECHCRAFT Super King Air 350,L2T,M
0D06EA,XA-MGM,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D0BEA,XB-LFV,PA34,PIPER PA-34 Seneca,L2P,L
0D0CEA,XA-VEI,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
0D82EA,YV3226,C550,CESSNA 550 Citation S2,L2J,L
1059EA,GND,GND,,V0-,-
1130EA,GND,GND,,V0-,-
140AEA,RA-02794,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
149DEA,RA-40426,AN2,ANTONOV An-2,L1P,L
151CEA,RF-95690,,,,
151DEA,RA-73194,A320,AIRBUS A-320,L2J,M
151EEA,RA-73450,A20N,AIRBUS A-320neo,L2J,M
151FEA,RA-73706,A321,AIRBUS A-321,L2J,M
1526EA,RF-75336,IL18,ILYUSHIN Il-18,L4T,M
1558EA,RA-88298,YK40,YAKOVLEV Yak-40,L3J,M
155BEA,RA-89066,SU95,SUKHOI Superjet 100-95,L2J,M
1F7AEA,RA-97002,SU95,SUKHOI Superjet 100-95,L2J,M
3002EA,I-BMMB,EC30,AIRBUS HELICOPTERS EC-130,H1T,L
3003EA,I-ARFE,SIRA,TECNAM P-2002 Sierra,L1P,L
3004EA,I-SATY,A109,AGUSTA AW-109 Grand,H2T,L
3005EA,I-CNTO,C152,CESSNA 152,L1P,L
3008EA,I-CJSN,C25C,CESSNA 525C Citation CJ4,L2J,M
31DCEA,I-C610,MCR4,DYNAERO MCR-2/4,L1P,L
33FCEA,MM82074,A169,AGUSTA AW-169,H2T,L
33FFEA,MM62186,C130,LOCKHEED C-130 Hercules,L4T,M
3809EA,F-BCPK,J3,PIPER J-3 Cub,L1P,L
382CEA,F-BLHK,M20P,MOONEY M-20,L1P,L
383DEA,F-BPPK,PA24,PIPER PA-24 Comanche,L1P,L
3846EA,F-BRXK,C150,CESSNA 150,L1P,L
3849EA,F-BSPK,DR30,CENTRE EST Prince,L1P,L
3900EA,F-GAHK,DR40,ROBIN DR-400,L1P,L
3904EA,F-GBHK,TOBA,SOCATA Tobago,L1P,L
3905EA,F-GBPK,PA44,PIPER PA-44 Seminole,L2P,L
3918EA,F-GGHK,DR40,ROBIN DR-400,L1P,L
3930EA,F-GMHK,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3944EA,F-GRHK,A319,AIRBUS A-319,L2J,M
3946EA,F-GRXK,A319,AIRBUS A-319,L2J,M
3949EA,F-GSPK,B772,BOEING 777-200,L2J,H
394DEA,F-GTPK,DR40,ROBIN DR-400,L1P,L
3952EA,F-GUXK,DR40,ROBIN DR-400,L1P,L
3964EA,F-GZHK,B738,BOEING 737-800,L2J,M
3966EA,F-GZXK,P28A,PIPER PA-28-140/150/160/180,L1P,L
3985EA,F-HBPK,BALL,,B0-,-
3991EA,F-HEPK,A320,AIRBUS A-320,L2J,M
3995EA,F-HFPK,C172,CESSNA 172 Skyhawk,L1P,L
3AAAEA,F-MCGI,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3C09EA,D-ASTP,A321,AIRBUS A-321,L2J,M
3C1CEA,D-AZYR,A21N,AIRBUS A-321neo,L2J,M
3C48EA,D-ABGJ,A319,AIRBUS A-319,L2J,M
3C49EA,D-ABOJ,B753,BOEING 757-300,L2J,M
3C56EA,D-AEWJ,A320,AIRBUS A-320,L2J,M
3C5EEA,D-AGWJ,A319,AIRBUS A-319,L2J,M
3C66EA,D-AIWJ,A320,AIRBUS A-320,L2J,M
3CE7EA,D-CPDA,AN28,ANTONOV An-28,L2T,L
3CF4EA,D-CUBA,C25B,CESSNA 525B Citation CJ3,L2J,L
3D04EA,D-EACO,C150,CESSNA 150,L1P,L
3D05EA,D-EAMK,C210,CESSNA 201 Centurion,L1P,L
3D06EA,D-EAWG,C182,CESSNA 182 Skylane,L1P,L
3D09EA,D-EBZU,EVSS,EVEKTOR SportStar,L1P,L
3D0DEA,D-EDNE,DR40,ROBIN DR-400,L1P,L
3D0EEA,D-EDXA,C150,CESSNA 150,L1P,L
3D0FEA,D-EEGW,C82R,CESSNA R182 Skylane RG,L1P,L
3D10EA,D-EEQS,C172,CESSNA 172 Skyhawk,L1P,L
3D11EA,D-EFAO,PA18,PIPER PA-18 Super Cub,L1P,L
3D12EA,D-EFKK,M20P,MOONEY M-20,L1P,L
3D15EA,D-EGNY,JUNR,BOLKOW BO-208 Junior,L1P,L
3D18EA,D-EHRM,M20P,MOONEY M-20,L1P,L
3D1AEA,D-EILE,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
3D1BEA,D-EIVA,P28U,PIPER PA-28RT-201T Turbo,L1P,L
3D1FEA,D-EKIK,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D20EA,D-EKSG,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D21EA,D-ELCC,PA38,PIPER PA-38 Tomahawk,L1P,L
3D22EA,D-ELLY,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
3D28EA,D-ENTA,C172,CESSNA 172 Skyhawk,L1P,L
3D29EA,D-EOCW,DR30,CENTRE EST Prince,L1P,L
3D35EA,D-ESRA,TOBA,SOCATA Tobago,L1P,L
3D37EA,D-ETKS,C82R,CESSNA R182 Skylane RG,L1P,L
3D42EA,D-EXPA,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D78EA,D-FSAS,C208,CESSNA 208 Caravan,L1T,L
3D8FEA,D-GATE,PA34,PIPER PA-34 Seneca,L2P,L
3D98EA,D-GEDU,PA34,PIPER PA-34 Seneca,L2P,L
3DEFEA,D-HLCK,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3DF0EA,D-HLMG,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
3E31EA,D-IKCG,C25A,CESSNA 525A Citation CJ2,L2J,L
3E3EEA,D-IPAG,BE20,BEECH 200 Super King Air,L2T,M
3E63EA,D-KDAO,SF28,SCHEIBE SF-28 Tandem Falke,L1P,L
3E64EA,D-KDKK,GLID,,L0-,-
3E6BEA,D-KGBI,S10S,STEMME S-10 Chrysalis,L1P,L
3E72EA,D-KISG,AS25,SCHLEICHER ASH-25,L1P,L
3E7BEA,D-KMCW,GLID,,L0-,-
3E7CEA,D-KMMS,AS24,SCHLEICHER ASW-24,L1P,L
3E82EA,79+39,NH90,NHI NH-90,H2T,M
3ED1EA,D-KULM,GLID,,L0-,-
3ED9EA,D-KXMG,GLID,,L0-,-
3EE7EA,D-1875,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3EF7EA,D-5971,GLID,,L0-,-
3EFAEA,D-6739,GLID,,L0-,-
3EFCEA,D-7251,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3F04EA,D-9299,GLID,,L0-,-
3F6EEA,76+11,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3FA5EA,79+25,NH90,NHI NH-90,H2T,M
3FCEEA,D-OPUG,BALL,,B0-,-
3FE9EA,D-MLWW,ULAC,,L0-,-
3FEAEA,D-MDBC,FDCT,FLIGHT DESIGN CT,L1P,L
3FEBEA,D-MSHS,G3,REMOS Mirage,L1P,L
3FECEA,D-MENC,BREZ,AEROSTYLE Breezer,L1P,L
3FEEEA,D-MFFK,FK14,B&F TECHNIK FK-14 Polaris,L1P,L
3FF1EA,D-MEPM,CH60,ZENAIR CH-600 Zodiac,L1P,L
3FF2EA,D-MSPL,PELI,FLYER Pelican,L1P,L
3FF5EA,D-MKVI,BU31,BUCKER Bu-131 Jungmann,L1P,L
400AEA,G-PECK,PA32,PIPER PA-32,L1P,L
400CEA,G-EVEE,R44,ROBINSON R-44 Raven,H1P,L
400EEA,G-BYVM,G115,GROB G-115,L1P,L
4010EA,G-EZBV,A319,AIRBUS A-319,L2J,M
4011EA,G-AZFM,P28R,PIPER PA-28R-180/200/201,L1P,L
4015EA,G-ASRO,PA30,PIPER PA-30 Twin Comanche,L2P,L
401AEA,G-BBMB,DR40,ROBIN DR-400,L1P,L
401BEA,G-BDGB,GY20,CAB GY-20 Minicab,L1P,L
401DEA,G-NOCK,C82R,CESSNA R182 Skylane RG,L1P,L
4020EA,G-BLLZ,LGEZ,RUTAN Long-EZ,L1P,L
4021EA,G-HALL,PA22,PIPER PA-22,L1P,L
4025EA,G-MNJS,ULAC,,L0-,-
4027EA,G-BNAI,W11,WOLF Boredom Fighter,L1P,L
4028EA,G-OTFT,PA38,PIPER PA-38 Tomahawk,L1P,L
402DEA,G-BPRY,P28A,PIPER PA-28-140/150/160/180,L1P,L
4032EA,G-IMPX,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
4034EA,G-SABR,F86,NORTH AMERICAN F-86 Sabre,L1J,M
4037EA,G-MYLE,ULAC,,L0-,-
403DEA,G-OJBW,BALL,,B0-,-
403FEA,G-IJBB,EN48,ENSTROM TH-28,H1T,L
4041EA,G-DAKO,P28B,PIPER PA-28-201T/235/236,L1P,L
4045EA,G-JGBI,B06,BELL 206 JetRanger,H1T,L
4046EA,G-ICRS,C42,IKARUS C-42 Bison,L1P,L
4049EA,G-CCIR,RV8,VANS RV-8,L1P,L
404CEA,G-RVSG,RV9,VANS RV-9,L1P,L
404DEA,G-CDMA,P28A,PIPER PA-28-140/150/160/180,L1P,L
4050EA,G-RSMC,ULAC,,L0-,-
4051EA,G-CENX,BALL,,B0-,-
4058EA,G-CEZX,ULAC,,L0-,-
4059EA,G-CFUR,VENT,SCHEMPP-HIRTH Ventus,L1P,L
405BEA,G-CJAL,GLID,,L0-,-
405EEA,G-MIRN,G3,REMOS Mirage,L1P,L
405FEA,G-GULZ,EAGL,CHRISTEN Eagle,L1P,L
4060EA,G-CGAA,ULAC,,L0-,-
4061EA,G-CGGP,MT,ROTORSPORT MTOSport,G1P,L
4064EA,G-CGVG,FDCT,FLIGHT DESIGN CT,L1P,L
4066EA,G-CHBZ,TL20,TL ULTRALIGHT TL-2000 Sting,L1P,L
4067EA,G-ITAR,MM16,MAGNI M-16 Tandem Trainer,G1P,L
4068EA,G-SKTN,SHAC,AVRO Shackleton,L4P,M
406AEA,G-HCCF,RV8,VANS RV-8,L1P,L
406BEA,G-CIGI,BALL,,B0-,-
406CEA,G-BVSG,BN2P,BRITTEN-NORMAN BN-2 Islander,L2P,L
406DEA,G-MCGU,A189,AGUSTA AW-189,H2T,M
406EEA,G-CISW,ULAC,,L0-,-
406FEA,G-CIWV,RV7,VANS RV-7,L1P,L
4070EA,G-JZHW,B738,BOEING 737-800,L2J,M
4071EA,G-CJRZ,C42,IKARUS C-42 Bison,L1P,L
4072EA,G-VWOO,B789,BOEING 787-9 Dreamliner,L2J,H
4073EA,G-AWHR,ME09,MESSERSCHMITT Bf-109,L1P,L
4074EA,G-CKTZ,BALL,,B0-,-
4075EA,G-CKZI,ULAC,,L0-,-
4076EA,G-BWZS,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
4077EA,G-LCTE,P28A,PIPER PA-28-140/150/160/180,L1P,L
407BEA,G-CLXT,AT73,ATR-72-212,L2T,M
4241EA,VP-CXD,A320,AIRBUS A-320,L2J,M
4243EA,VQ-BFY,A359,AIRBUS A-350-900,L2J,H
4247EA,VP-CMB,GLF5,GULFSTREAM 5,L2J,M
4249EA,VQ-BLQ,B748,BOEING 747-8,L4J,H
43C5EA,ZM416,A400,AIRBUS A-400M,L4T,H
43C6EA,ZZ386,LYNX,AGUSTAWESTLAND AW-159 Super Lynx,H2T,L
43C7EA,ZZ115,EH10,AGUSTA WESTLAND EH-101 Merlin,H3T,M
43C8EA,ZM516,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
43E9EA,M-DRIL,PC12,PILATUS PC-12,L1T,L
43EAEA,M-TELE,GLF4,GULFSTREAM 4,L2J,M
43EDEA,2-NICE,CL60,BOMBARDIER CL-600 Challenger,L2J,M
4400EA,OE-9463,SF25,SCHEIBE SF-25 Falke,L1P,L
4402EA,OE-FID,C510,CESSNA 510 Citation Mustang,L2J,L
4405EA,OE-LQT,A319,AIRBUS A-319,L2J,M
4406EA,OE-ABW,A210,AQUILA A-210,L1P,L
4408EA,OE-9370,VENT,SCHEMPP-HIRTH Ventus,L1P,L
4409EA,OE-KRZ,DA40,DIAMOND DA-40 Club Star,L1P,L
440AEA,OE-GYS,C25B,CESSNA 525B Citation CJ3,L2J,L
4489EA,OO-BOJ,BALL,,B0-,-
4497EA,OO-E46,FDCT,FLIGHT DESIGN CT,L1P,L
44A3EA,OO-H46,SIRA,TECNAM P-2002 Sierra,L1P,L
44C1EA,G-17,EXPL,MCDONNELL-DOUGLAS MD-900 Explorer,H2T,L
4520EA,LZ-CXA,B738,BOEING 737-800,L2J,M
4591EA,OY-DOJ,P28A,PIPER PA-28-140/150/160/180,L1P,L
45ADEA,OY-KOJ,BALL,,B0-,-
4612EA,OH-HEG,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
463AEA,OH-WIC,CL60,BOMBARDIER CL-600 Challenger,L2J,M
470BEA,HA-ENI,P06T,TECNAM P-2006T,L2P,L
4796EA,LN-OFL,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
4844EA,PH-KMR,GA8,GIPPSAERO GA-8 Airvan,L1P,L
4845EA,PH-EQU,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
4847EA,PH-SKG,C152,CESSNA 152,L1P,L
4848EA,PH-TDR,ECHO,TECNAM P-92 Echo,L1P,L
484BEA,PH-WWF,BALL,,B0-,-
484DEA,PH-752,GLID,,L0-,-
4850EA,PH-RYN,BALL,,B0-,-
4851EA,PH-1JH,ZZZZ,,-0-,-
4853EA,PH-1MH,ZZZZ,,-0-,-
4854EA,PH-2BF,ZZZZ,,-0-,-
4855EA,PH-2LH,ZZZZ,,-0-,-
4856EA,PH-2XU,ZZZZ,,-0-,-
485DEA,PH-4T3,VL3,AVEKO Flamingo,L1P,L
4864EA,PH-NXM,E295,EMBRAER ERJ-190-400,L2J,M
4920EA,CS-HGJ,AS65,AEROSPATIALE AS-365 Dauphin 2,H2T,L
4951EA,CS-TOJ,A332,AIRBUS A-330-200,L2J,H
49C0EA,OK-TUR16,,,,
49D0EA,OK-OMM,C10T,CESSNA P210 Turbine,L1T,L
49D2EA,OK-MCC,P06T,TECNAM P-2006T,L2P,L
49D3EA,OK-OLV,C172,CESSNA 172 Skyhawk,L1P,L
49D4EA,OK-ANI,SR20,CIRRUS SR-20,L1P,L
4A08EA,YR-BGJ,B738,BOEING 737-800,L2J,M
4AC9EA,SE-ROJ,A20N,AIRBUS A-320neo,L2J,M
4AD9EA,SE-VOJ,ULAC,,L0-,-
4B07EA,HB-CZY,C206,CESSNA  206 Stationair,L1P,L
4B0EEA,HB-FQW,PC12,PILATUS PC-12,L1T,L
4B1AEA,HB-KFA,HR20,ROBIN HR-200,L1P,L
4B1BEA,HB-KOW,DR40,ROBIN DR-400,L1P,L
4B1EEA,HB-LSK,TBEE,UNITED CONSULTANT Twin Bee,A2P,L
4B2AEA,HB-QGO,BALL,,B0-,-
4B36EA,HB-UUS,BU31,BUCKER Bu-131 Jungmann,L1P,L
4B3EEA,HB-XVM,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
4B4DEA,HB-2371,NIMB,SCHEMPP-HIRTH Nimbus,L1P,L
4B51EA,HB-3395,GLID,,L0-,-
4B82EA,TR010,CL60,BOMBARDIER CL-600 Challenger,L2J,M
4B95EA,TC-EOJ,DV20,DIAMOND DA-20,L1P,L
4BA9EA,TC-JOJ,A333,AIRBUS A-330-300,L2J,H
4BB0EA,TC-LGJ,A359,AIRBUS A-350-900,L2J,H
4BCDEA,TC-SOJ,B38M,BOEING 737 MAX 8,L2J,M
4C01EA,YU-APK,A319,AIRBUS A-319,L2J,M
4C49EA,YU-SPK,PA34,PIPER PA-34 Seneca,L2P,L
4CA1EA,263,PC9,PILATUS PC-9 Hudournik,L1T,L
4CA4EA,EI-DPF,B738,BOEING 737-800,L2J,M
4CA6EA,EI-PGA,GLID,,L0-,-
4CA7EA,EI-ROK,NG4,BRM AERO NG-4,L1P,L
4CA9EA,EI-EVM,B738,BOEING 737-800,L2J,M
4CAFEA,EI-GRA,UF13,URBAN UFM-13 Lambada,L1P,L
4CC3EA,TF-AAG,B744,BOEING 747-400,L4J,H
4CC4EA,TF-IFG,SIRA,TECNAM P-2002 Sierra,L1P,L
4D02EA,LX-FUN,BL8,BELLANCA 8 Decathlon,L1P,L
4D20EA,9H-VCH,CL35,BOMBARDIER BD-100 Challenger 350,L2J,M
4D21EA,9H-QAB,B738,BOEING 737-800,L2J,M
4D23EA,9H-CXH,B738,BOEING 737-800,L2J,M
5000EA,T7-FTH,A310,AIRBUS A-310,L2J,H
5002EA,T7-5678,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
502CEA,YL-HSG,R44,ROBINSON R-44 Raven,H1P,L
503CEA,LY-BAQ,SIRA,TECNAM P-2002 Sierra,L1P,L
503DEA,LY-HTB,EC30,AIRBUS HELICOPTERS EC-130,H1T,L
505DEA,OM-BOY,SD4,TOMARK Viper,L1P,L
505EEA,OM-XWB,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
506DEA,S5-DDX,C172,CESSNA 172 Skyhawk,L1P,L
5081EA,UR-CHT,AN26,ANTONOV An-26,L2T,M
5082EA,UR-EMC,E190,EMBRAER ERJ-190-100,L2J,M
7100EA,HZ-SPAD,BE40,BEECH 400 Beechjet,L2J,M
717CEA,HZ-NS42,A20N,AIRBUS A-320neo,L2J,M
7503EA,9M-PAR,C208,CESSNA 208 Caravan,L1T,L
7504EA,9M-DAK,R44,ROBINSON R-44 Raven,H1P,L
7585EA,RP-C8946,A320,AIRBUS A-320,L2J,M
7586EA,RP-C5115,B429,BELL 429 GlobalRanger,H2T,L
7608EA,AP-BGJ,B772,BOEING 777-200,L2J,H
76B4EA,9V-MGJ,B738,BOEING 737-800,L2J,M
76CEEA,9V-SWJ,B77W,BOEING 777-300ER,L2J,H
7800EA,B-6199,A319,AIRBUS A-319,L2J,M
7803EA,B-6335,A320,AIRBUS A-320,L2J,M
7804EA,B-6386,A321,AIRBUS A-321,L2J,M
7805EA,B-6621,A320,AIRBUS A-320,L2J,M
7806EA,B-5561,B738,BOEING 737-800,L2J,M
7807EA,B-9580,SR20,CIRRUS SR-20,L1P,L
7808EA,B-6926,A321,AIRBUS A-321,L2J,M
7809EA,B-5746,B738,BOEING 737-800,L2J,M
780AEA,B-3360,CRJ9,BOMBARDIER Regional Jet CRJ-900,L2J,M
780CEA,B-1883,A320,AIRBUS A-320,L2J,M
780FEA,B-8559,A321,AIRBUS A-321,L2J,M
7810EA,B-8956,A321,AIRBUS A-321,L2J,M
7811EA,B-8388,A320,AIRBUS A-320,L2J,M
7812EA,B-1386,B738,BOEING 737-800,L2J,M
7813EA,B-1095,A320,AIRBUS A-320,L2J,M
7815EA,B-305U,A321,AIRBUS A-321,L2J,M
7816EA,B-308Z,A20N,AIRBUS A-320neo,L2J,M
7817EA,B-3763,Y12,HARBIN Y-12E Harbinger,L2T,L
781AEA,B-220N,B738,BOEING 737-800,L2J,M
781CEA,B-728E,C172,CESSNA 172 Skyhawk,L1P,L
781EEA,B-223C,B752,BOEING 757-200,L2J,M
7BB0EA,B-5069,B737,BOEING 737-700,L2J,M
7C01EA,VH-ANW,SW4,SWEARINGEN Metro,L2T,M
7C06EA,VH-BNG,BN2P,BRITTEN-NORMAN BN-2 Islander,L2P,L
7C07EA,VH-BUK,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
7C11EA,VH-DTO,BT36,BEECH B36TC Bonanza,L1P,L
7C19EA,VH-FEK,TB20,SOCATA TB-20 Trinidad,L1P,L
7C1AEA,VH-FLO,GLAS,Glasair,L1P,L
7C2BEA,VH-IYK,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
7C33EA,VH-KJG,LJ35,LEARJET 35,L2J,M
7C37EA,VH-LBW,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
7C3DEA,VH-MIK,SLG4,AIRPLANE FACTORY Sling 4,L1P,L
7C44EA,VH-NWC,EC25,AIRBUS HELICOPTERS EC-225/725,H2T,M
7C47EA,VH-OHO,P28A,PIPER PA-28-140/150/160/180,L1P,L
7C4EEA,VH-PVG,AS65,AEROSPATIALE AS-365 Dauphin 2,H2T,L
7C56EA,VH-RGC,C180,CESSNA  180 Skywagon,L1P,L
7C57EA,VH-RNG,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
7C5BEA,VH-SFW,B462,BRITISH AEROSPACE 146-200 Quiet Trader,L4J,M
7C6AEA,VH-VEK,SW4,SWEARINGEN Metro,L2T,M
7C6CEA,VH-VSS,PA34,PIPER PA-34 Seneca,L2P,L
7C6DEA,VH-VZW,B738,BOEING 737-800,L2J,M
7C74EA,VH-XDO,R44,ROBINSON R-44 Raven,H1P,L
7C7BEA,VH-YRG,C82R,CESSNA R182 Skylane RG,L1P,L
7C7CEA,VH-YYK,YK52,YAKOVLEV Yak-52,L1P,L
7C7EEA,VH-ZCS,SR22,CIRRUS SR-22,L1P,L
7C7FEA,VH-ZJW,BT36,BEECH B36TC Bonanza,L1P,L
7CC3EA,24-8569,SLG2,AIRPLANE FACTORY Sling 2,L1P,L
7CC4EA,24-4199,ECHO,TECNAM P-92 Echo,L1P,L
7CF9EA,A54-019,PC21,PILATUS PC-21,L1T,L
8002EA,RK3453,IL76,ILYUSHIN Il-76/82,L4J,H
8006EA,VT-SUK,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
8007EA,VT-VDN,SR22,CIRRUS SR-22,L1P,L
800BEA,VT-PNQ,A320,AIRBUS A-320,L2J,M
800CEA,VT-IVT,A20N,AIRBUS A-320neo,L2J,M
8013EA,VT-TNX,A20N,AIRBUS A-320neo,L2J,M
8014EA,VT-UDB,AT76,ATR-72-600,L2T,M
8526EA,JA373Y,B505,BELL 505 JetRanger X,H1T,L
8621EA,JA620J,B763,BOEING 767-300,L2J,H
863AEA,JA6906,EXPL,MCDONNELL-DOUGLAS MD-900 Explorer,H2T,L
86EAEA,JA880A,B789,BOEING 787-9 Dreamliner,L2J,H
872BEA,JA912A,S76,SIKORSKY S-76 Spirit,H2T,L
8741EA,JA976A,A139,AGUSTA AW-139,H2T,L
8880EA,VN-A655,A320,AIRBUS A-320,L2J,M
8960EA,A6-EDI,A388,AIRBUS A-380-800,L4J,H
8961EA,A6-EIH,A320,AIRBUS A-320,L2J,M
8962EA,A6-SAJ,CL60,BOMBARDIER CL-600 Challenger,L2J,M
8963EA,A6-EOM,A388,AIRBUS A-380-800,L4J,H
8964EA,A6-CTD,SR22,CIRRUS SR-22,L1P,L
8965EA,A6-KID,AP22,AEROPRACT A-22,L1P,L
8990EA,B-18108,A21N,AIRBUS A-321neo,L2J,M
8A02EA,PK-LJR,B738,BOEING 737-800,L2J,M
8A03EA,PK-WTR,C172,CESSNA 172 Skyhawk,L1P,L
8A07EA,PK-GJV,AT76,ATR-72-600,L2T,M
8A08EA,PK-SAC,A320,AIRBUS A-320,L2J,M
A000EA,N1KG,A32P,SCHLEICHER ASG-32Mi,L1P,L
A002EA,N10FT,MA5,MARQUART MA-5 Charger,L1P,L
A003EA,N10RZ,G150,GULFSTREAM G150,L2J,M
