008CEB,ZS-EWO,C182,CESSNA 182 Skylane,L1P,L
00A7EB,ZS-PCK,C172,CESSNA 172 Skyhawk,L1P,L
00AFEB,ZS-SDE,A359,AIRBUS A-350-900,L2J,H
00B0EB,ZS-SNA,A346,AIRBUS A-340-600,L4J,H
00DDEB,ZU-JOC,RV10,VANS RV-10,L1P,L
0100EB,SU-KHM,B735,BOEING 737-500,L2J,M
0101EB,SU-GFC,BCS3,AIRBUS A220-300,L2J,M
0200EB,CN-RGF,B738,BOEING 737-800,L2J,M
04C0EB,5Y-BXI,DH8A,DE HAVILLAND DHC-8-100 Dash 8,L2T,M
0641EB,5N-BUL,B733,BOEING 737-300,L2J,M
0642EB,5N-MBD,B734,BOEING 737-400,L2J,M
06A0EB,A7-AML,A359,AIRBUS A-350-900,L2J,H
06A1EB,A7-BFN,B77L,BOEING 777-200LR,L2J,H
06A2EB,A7-BHH,B789,BOEING 787-9 Dreamliner,L2J,H
0AC0EB,HK-4645,BE40,BEECH 400 Beechjet,L2J,M
0AC3EB,FAC5066,C208,CESSNA 208 Caravan,L1T,L
0AC9EB,FAC0008,A139,AGUSTA AW-139,H2T,L
0C20EB,HP-1186,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
0D05EB,XA-CHC,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
0D07EB,XB-NSP,S22T,CIRRUS SR-22T Turbo,L1P,L
0D08EB,XA-VLH,A321,AIRBUS A-321,L2J,M
0D09EB,XA-HHF,F2TH,DASSAULT Falcon 2000,L2J,M
0D0AEB,XA-TIG,DC91,MCDONNELL DOUGLAS DC-9-10,L2J,M
0D0BEB,XA-USB,SW4,SWEARINGEN Metro,L2T,M
0D0CEB,XB-FJM,P32R,PIPER PA-32R-300/301/301T,L1P,L
0D0DEB,XA-VEX,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D83EB,YV1397,PAY2,PIPER PA-31T2-620 Cheyenne 2,L2T,L
1059EB,GND,GND,,V0-,-
1130EB,GND,GND,,V0-,-
140AEB,RA-02795,E35L,EMBRAER EMB-135 Legacy,L2J,M
140FEB,RA-04075,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
142DEB,RA-11755,,,,
1506EB,RA-67307,C500,CESSNA 500 Citation 1,L2J,L
151DEB,RA-73195,A320,AIRBUS A-320,L2J,M
151EEB,RA-73451,A20N,AIRBUS A-320neo,L2J,M
151FEB,RA-73707,A321,AIRBUS A-321,L2J,M
1526EB,RF-75499,IL18,ILYUSHIN Il-18,L4T,M
152BEB,RF-76779,,,,
155BEB,RA-89067,SU95,SUKHOI Superjet 100-95,L2J,M
1F7AEB,RA-97003,SU95,SUKHOI Superjet 100-95,L2J,M
3006EB,I-GARC,C152,CESSNA 152,L1P,L
3008EB,I-MLML,S22T,CIRRUS SR-22T Turbo,L1P,L
31D8EB,I-B329,PNR3,ALPI Pioneer 330,L1P,L
31DBEB,I-A342,SYNC,FLY SYNTHESIS Syncro,L1P,L
31DDEB,I-D213,TL20,TL ULTRALIGHT TL-2000 Sting,L1P,L
31DEEB,I-9381,FB5,EURO-FLY FB-5 Star Light,L1P,L
33FCEB,MM62332,GLF5,GULFSTREAM 5,L2J,M
33FFEB,MM62185,C30J,LOCKHEED MARTIN C-130J Super Hercules,L4T,M
3851EB,F-BUPL,DR40,ROBIN DR-400,L1P,L
385CEB,F-BXHL,CP10,CAP AVIATION CAP-10,L1P,L
3904EB,F-GBHL,TOBA,SOCATA Tobago,L1P,L
3905EB,F-GBPL,M20T,MOONEY M-20T,L1P,L
3918EB,F-GGHL,DR40,ROBIN DR-400,L1P,L
3919EB,F-GGPL,M20P,MOONEY M-20,L1P,L
392AEB,F-GKXL,A320,AIRBUS A-320,L2J,M
392CEB,F-GLHL,B47J,BELL 47J,H1P,L
392EEB,F-GLXL,LAMA,AEROSPATIALE SA-315 Lama,H1T,L
393AEB,F-GXOL,DR40,ROBIN DR-400,L1P,L
393CEB,F-GPHL,DR40,ROBIN DR-400,L1P,L
3944EB,F-GRHL,A319,AIRBUS A-319,L2J,M
3945EB,F-GRPL,BALL,,B0-,-
3946EB,F-GRXL,A319,AIRBUS A-319,L2J,M
3949EB,F-GSPL,B772,BOEING 777-200,L2J,H
394DEB,F-GTPL,DR40,ROBIN DR-400,L1P,L
