0081EC,ZS-ASH,PA32,PIPER PA-32,L1P,L
0083EC,ZS-DIP,C68A,CESSNA 680 Citation Latitude,L2J,M
0089EC,ZS-DTB,PA24,PIPER PA-24 Comanche,L1P,L
008FEC,ZS-GAD,J1,AUSTER J-1,L1P,L
0090EC,ZS-GJZ,GLID,,L0-,-
0097EC,ZS-JAX,C208,CESSNA 208 Caravan,L1T,L
009FEC,ZS-MBR,C510,CESSNA 510 Citation Mustang,L2J,L
00A0EC,ZS-MLN,C551,CESSNA 551 Citation 2SP,L2J,L
00AFEC,ZS-SDF,A359,AIRBUS A-350-900,L2J,H
00B0EC,ZS-SNB,A346,AIRBUS A-340-600,L4J,H
00B2EC,ZS-TGT,BE40,BEECH 400 Beechjet,L2J,M
0100EC,SU-GCT,E170,EMBRAER ERJ-170-100,L2J,M
0101EC,SU-TMN,B38M,BOEING 737 MAX 8,L2J,M
0200EC,CN-RGI,B738,BOEING 737-800,L2J,M
0641EC,5N-BVG,E55P,EMBRAER EMB-505 Phenom 300,L2J,M
0642EC,5N-IKO,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
06A1EC,A7-BFO,B77L,BOEING 777-200LR,L2J,H
06A2EC,A7-BHI,B789,BOEING 787-9 Dreamliner,L2J,H
08CEEC,9S-AAD,AT75,ATR-72-500,L2T,M
0AC0EC,ARC803,CN35,CASA CN-235 Persuader,L2T,M
0AC3EC,FAC5067,C208,CESSNA 208 Caravan,L1T,L
0AC9EC,FAC2351,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0B04EC,CU-T1260,AN24,ANTONOV An-24,L2T,M
0C20EC,HP-1907BL,P28A,PIPER PA-28-140/150/160/180,L1P,L
0D04EC,XA-HUR,LJ45,LEARJET 45,L2J,M
0D09EC,XA-ADD,B789,BOEING 787-9 Dreamliner,L2J,H
0D0AEC,XA-TSB,C208,CESSNA 208 Caravan,L1T,L
0D0BEC,XB-SLV,C182,CESSNA 182 Skylane,L1P,L
0D0CEC,XA-VAC,A320,AIRBUS A-320,L2J,M
0D0DEC,XA-PMH,C650,CESSNA 650 Citation,L2J,M
0D80EC,YV2486,F900,DASSAULT Falcon 900,L3J,M
0D81EC,YV3016,E190,EMBRAER ERJ-190-100,L2J,M
1059EC,GND,GND,,V0-,-
140AEC,RA-02796,B350,BEECHCRAFT Super King Air 350,L2T,M
1465EC,26092,AN26,ANTONOV An-26,L2T,M
151DEC,RA-73196,E190,EMBRAER ERJ-190-100,L2J,M
151EEC,RA-73452,A20N,AIRBUS A-320neo,L2J,M
151FEC,RA-73708,A320,AIRBUS A-320,L2J,M
152BEC,RA-76780,IL76,ILYUSHIN Il-76/82,L4J,H
1558EC,RA-88300,YK40,YAKOVLEV Yak-40,L3J,M
155BEC,RA-89068,SU95,SUKHOI Superjet 100-95,L2J,M
3001EC,I-ELYS,LJ40,LEARJET 40,L2J,M
3002EC,I-GOCO,LJ40,LEARJET 40,L2J,M
3006EC,I-NOLJ,C150,CESSNA 150,L1P,L
3008EC,I-IACF,OSCR,PARTENAVIA Oscar Charlie,L1P,L
33FFEC,MM62184,C30J,LOCKHEED MARTIN C-130J Super Hercules,L4T,M
380EEC,F-BDXM,F156,FIESELER Fi-156 Storch,L1P,L
3815EC,F-BFPM,S108,STINSON 108 Voyager,L1P,L
381EEC,F-BHXM,D11,JODEL D-11x/12x,L1P,L
382DEC,F-BLPM,GY80,DAHER-SOCATA GY-80 Horizon,L1P,L
3844EC,F-BRHM,JUNR,BOLKOW BO-208 Junior,L1P,L
3848EC,F-BSHM,C150,CESSNA 150,L1P,L
3849EC,F-BSPM,DR30,CENTRE EST Prince,L1P,L
3900EC,F-GAHM,DR40,ROBIN DR-400,L1P,L
3902EC,F-GAXM,HR20,ROBIN HR-200,L1P,L
3908EC,F-GCHM,C172,CESSNA 172 Skyhawk,L1P,L
391DEC,F-GHPM,M20P,MOONEY M-20,L1P,L
3920EC,F-GIHM,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
3926EC,F-GJXM,TOBA,SOCATA Tobago,L1P,L
392AEC,F-GKXM,A320,AIRBUS A-320,L2J,M
3931EC,F-GMPM,BE9L,BEECH 90 King Air,L2T,L
3946EC,F-GRXM,A319,AIRBUS A-319,L2J,M
3949EC,F-GSPM,B772,BOEING 777-200,L2J,H
394DEC,F-GTPM,DR40,ROBIN DR-400,L1P,L
3950EC,F-GUHM,SR22,CIRRUS SR-22,L1P,L
3951EC,F-GUPM,DA42,DIAMOND DA-42 Guardian,L2P,L
3954EC,F-GVHM,BALL,,B0-,-
3961EC,F-GYPM,BT36,BEECH B36TC Bonanza,L1P,L
3964EC,F-GZHM,B738,BOEING 737-800,L2J,M
3966EC,F-GZXM,KL07,BOLKOW BO-107,L1P,L
3985EC,F-HBPM,R44,ROBINSON R-44 Raven,H1P,L
3986EC,F-HBXM,E170,EMBRAER ERJ-170-100,L2J,M
3989EC,F-HCPM,DR40,ROBIN DR-400,L1P,L
3995EC,F-HFPM,C152,CESSNA 152,L1P,L
3999EC,F-HGPM,PC7,PILATUS PC-7 Astra,L1T,L
399DEC,F-HHPM,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
39ADEC,F-HLPM,F2TH,DASSAULT Falcon 2000,L2J,M
39B1EC,F-HMPM,C152,CESSNA 152,L1P,L
39BDEC,F-HPPM,SR20,CIRRUS SR-20,L1P,L
39C5EC,F-HRPM,DA40,DIAMOND DA-40 Club Star,L1P,L
3AAAEC,F-MCGG,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3AABEC,890,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
3B75EC,5890,C30J,LOCKHEED MARTIN C-130J Super Hercules,L4T,M
3B77EC,146,TBM7,SOCATA TBM-700A/B/C,L1T,L
3C1CEC,D-AZYT,A21N,AIRBUS A-321neo,L2J,M
3C49EC,D-ABOL,B753,BOEING 757-300,L2J,M
3C56EC,D-AEWL,A320,AIRBUS A-320,L2J,M
3C5CEC,D-AGGL,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
3C5EEC,D-AGWL,A319,AIRBUS A-319,L2J,M
3C64EC,D-AIGL,A343,AIRBUS A-340-300,L4J,H
