009AEE,ZS-KEN,CL60,BOMBARDIER CL-600 Challenger,L2J,M
00A1EE,ZS-MVL,BE58,BEECH 58 Baron,L2P,L
00A2EE,ZS-NFH,C210,CESSNA 201 Centurion,L1P,L
00B0EE,ZS-SND,A346,AIRBUS A-340-600,L4J,H
0101EE,SU-TCI,B734,BOEING 737-400,L2J,M
0200EE,CN-ATN,CL2T,CANADAIR CL-415 SuperScooper,A2T,M
0641EE,5N-BVE,B772,BOEING 777-200,L2J,H
06A1EE,A7-GHN,A139,AGUSTA AW-139,H2T,L
06A2EE,A7-BHK,B789,BOEING 787-9 Dreamliner,L2J,H
08CAEE,9S-GAA,G159,GRUMMAN Gulfstream 1,L2T,M
0900EE,D2-SKC,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0AC3EE,FAC5069,C208,CESSNA 208 Caravan,L1T,L
0AC9EE,HK-5367,A20N,AIRBUS A-320neo,L2J,M
0D05EE,XA-GVG,BE9L,BEECH 90 King Air,L2T,L
0D07EE,XA-PBX,LJ45,LEARJET 45,L2J,M
0D08EE,XA-AMU,B738,BOEING 737-800,L2J,M
0D0CEE,XB-MBH,C340,CESSNA 340 Super,L2P,L
0D80EE,YV1128,FA50,DASSAULT Falcon 50,L3J,M
1059EE,GND,GND,,V0-,-
1130EE,GND,GND,,V0-,-
1405EE,RA-01518,PC12,PILATUS PC-12,L1T,L
140AEE,RA-02798,B350,BEECHCRAFT Super King Air 350,L2T,M
140FEE,RA-04078,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
1418EE,RA-06382,R66,ROBINSON R-66,H1T,L
1427EE,RA-10222,GLF5,GULFSTREAM 5,L2J,M
14B8EE,RA-47342,,,,
151DEE,RA-73198,A319,AIRBUS A-319,L2J,M
151EEE,RA-73454,A20N,AIRBUS A-320neo,L2J,M
151FEE,RA-73710,A321,AIRBUS A-321,L2J,M
1533EE,RA-78830,IL76,ILYUSHIN Il-76/82,L4J,H
155BEE,RA-89070,SU95,SUKHOI Superjet 100-95,L2J,M
1F7AEE,RA-97006,SU95,SUKHOI Superjet 100-95,L2J,M
3003EE,I-DYLL,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3005EE,I-ADAI,R22,ROBINSON R-22 Mariner,H1P,L
3007EE,I-ADJZ,E195,EMBRAER ERJ-190-200,L2J,M
3008EE,I-ZFCA,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
31CCEE,I-D224,PIVI,PIPSTREL Virus,L1P,L
31DBEE,I-8551,SIRA,TECNAM P-2002 Sierra,L1P,L
31DCEE,I-8252,PNR2,ALPI Pioneer 200,L1P,L
33FFEE,MM62182,C30J,LOCKHEED MARTIN C-130J Super Hercules,L4T,M
3839EE,F-BOPO,D140,JODEL D-140 Mousquetaire,L1P,L
383DEE,F-BPPO,PA24,PIPER PA-24 Comanche,L1P,L
3849EE,F-BSPO,DR30,CENTRE EST Prince,L1P,L
3856EE,F-BVXO,C172,CESSNA 172 Skyhawk,L1P,L
385DEE,F-BXPO,C340,CESSNA 340 Super,L2P,L
3902EE,F-GAXO,R200,ROBIN Alpha,L1P,L
3904EE,F-GBHO,TOBA,SOCATA Tobago,L1P,L
390CEE,F-GDHO,ALO2,SUD Alouette 2,H1T,L
390EEE,F-GDXO,BALL,,B0-,-
3916EE,F-GFXO,DR40,ROBIN DR-400,L1P,L
3925EE,F-GJPO,P28U,PIPER PA-28RT-201T Turbo,L1P,L
3926EE,F-GJXO,TOBA,SOCATA Tobago,L1P,L
392AEE,F-GKXO,A320,AIRBUS A-320,L2J,M
3932EE,F-GMXO,DR40,ROBIN DR-400,L1P,L
393CEE,F-GPHO,C208,CESSNA 208 Caravan,L1T,L
3944EE,F-GRHO,A319,AIRBUS A-319,L2J,M
3949EE,F-GSPO,B772,BOEING 777-200,L2J,H
394DEE,F-GTPO,HR20,ROBIN HR-200,L1P,L
3964EE,F-GZHO,B738,BOEING 737-800,L2J,M
3981EE,F-HAPO,P28A,PIPER PA-28-140/150/160/180,L1P,L
3985EE,F-HBPO,BALL,,B0-,-
3988EE,F-HCHO,P28A,PIPER PA-28-140/150/160/180,L1P,L
3990EE,F-HEHO,R44,ROBINSON R-44 Raven,H1P,L
39A1EE,F-HIPO,G2CA,GUIMBAL G-2 Cabri,H1P,L
39ADEE,F-HLPO,M20P,MOONEY M-20,L1P,L
39BAEE,F-HOXO,R44,ROBINSON R-44 Raven,H1P,L
39BEEE,F-HPXO,E300,EXTRA EA-300/330/350,L1P,L
39E1EE,F-HYPO,PA44,PIPER PA-44 Seminole,L2P,L
3A22EE,F-OIXO,AT46,ATR-42-600,L2T,M
3AABEE,888,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
3B75EE,709FR,PC21,PILATUS PC-21,L1T,L
3B77EE,110,TBM7,SOCATA TBM-700A/B/C,L1T,L
3C09EE,D-ASTT,A319,AIRBUS A-319,L2J,M
3C48EE,D-ABGN,A319,AIRBUS A-319,L2J,M
3C49EE,D-ABON,B753,BOEING 757-300,L2J,M
3C56EE,D-AEWN,A320,AIRBUS A-320,L2J,M
3C5EEE,D-AGWN,A319,AIRBUS A-319,L2J,M
3C60EE,D-AHGN,GL7T,BOMBARDIER BD-700 Global 7000/7500,L2J,M
3C64EE,D-AIGN,A343,AIRBUS A-340-300,L4J,H
3CF3EE,D-CTRI,LJ35,LEARJET 35,L2J,M
3D04EE,D-EACS,RV7,VANS RV-7,L1P,L
3D06EE,D-EAWK,BT36,BEECH B36TC Bonanza,L1P,L
3D07EE,D-EBGG,C172,CESSNA 172 Skyhawk,L1P,L
3D0AEE,D-ECJU,C172,CESSNA 172 Skyhawk,L1P,L
3D0FEE,D-EEHA,AA5,AMERICAN AA-5 Tiger,L1P,L
3D12EE,D-EFKO,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D13EE,D-EFUK,C172,CESSNA 172 Skyhawk,L1P,L
3D15EE,D-EGOC,JUNR,BOLKOW BO-208 Junior,L1P,L
3D17EE,D-EHHU,C172,CESSNA 172 Skyhawk,L1P,L
3D1AEE,D-EILI,C182,CESSNA 182 Skylane,L1P,L
3D1BEE,D-EIVE,DO27,DORNIER Do-27,L1P,L
3D1CEE,D-EJFA,J5,PIPER J-5 Cub Cruiser,L1P,L
3D20EE,D-EKSK,C172,CESSNA 172 Skyhawk,L1P,L
3D21EE,D-ELCG,C172,CESSNA 172 Skyhawk,L1P,L
3D22EE,D-ELMC,M20T,MOONEY M-20T,L1P,L
3D24EE,D-EMFU,JUNR,BOLKOW BO-208 Junior,L1P,L
3D28EE,D-ENTE,DO27,DORNIER Do-27,L1P,L
3D29EE,D-EODA,TB20,SOCATA TB-20 Trinidad,L1P,L
3D2AEE,D-EOMW,C172,CESSNA 172 Skyhawk,L1P,L
3D2BEE,D-EOWS,M20P,MOONEY M-20,L1P,L
3D34EE,D-ESHI,SR20,CIRRUS SR-20,L1P,L
3D36EE,D-ETBA,M20T,MOONEY M-20T,L1P,L
3D38EE,D-ETUS,DR40,ROBIN DR-400,L1P,L
3D3CEE,D-EVIC,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D3EEE,D-EWBU,PZ04,PZL-OKECIE PZL-104 Wilga,L1P,L
3D42EE,D-EXPE,S22T,CIRRUS SR-22T Turbo,L1P,L
3D48EE,D-EZWG,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
3DD2EE,D-HADA,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3DF8EE,D-HONE,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3E47EE,D-ISLA,P212,TECNAM P-2012 Traveller,L2P,L
3E5BEE,D-IZZY,P180,PIAGGIO P-180 Avanti,L2T,L
3E63EE,D-KDAS,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3E66EE,D-KEEG,SF25,SCHEIBE SF-25 Falke,L1P,L
3E67EE,D-KEOC,G109,GROB G-109,L1P,L
3E6CEE,D-KGLI,GLID,,L0-,-
3E7AEE,D-KLTE,TFUN,VALENTIN Taifun,L1P,L
3E7CEE,D-KMMW,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3E91EE,54+41,A400,AIRBUS A-400M,L4T,H
3EC8EE,D-KRBA,GLID,,L0-,-
3EDFEE,D-KZTM,GLID,,L0-,-
3EE8EE,D-2135,GLID,,L0-,-
3EEFEE,D-3927,GLID,,L0-,-
3EF7EE,D-5975,GLID,,L0-,-
3EFAEE,D-6743,GLID,,L0-,-
3EFEEE,D-7767,GLID,,L0-,-
3FEBEE,D-MLJA,CH60,ZENAIR CH-600 Zodiac,L1P,L
3FECEE,D-MZDD,DV1,DOVA Skylark,L1P,L
3FEDEE,D-MEMY,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3FEEEE,D-MHIO,GLID,,L0-,-
3FEFEE,D-MIAX,AP22,AEROPRACT A-22,L1P,L
3FF0EE,D-MGUW,BREZ,AEROSTYLE Breezer,L1P,L
3FF4EE,D-MVLY,VL3,AVEKO Flamingo,L1P,L
3FF5EE,D-MSCK,ECHO,TECNAM P-92 Echo,L1P,L
3FF7EE,D-MOGA,ULAC,,L0-,-
3FF8EE,D-MBIX,ULAC,,L0-,-
4000EE,VP-BBW,B737,BOEING 737-700,L2J,M
4006EE,G-GDFT,B733,BOEING 737-300,L2J,M
4007EE,G-YMMC,B772,BOEING 777-200,L2J,H
400CEE,G-LGNJ,SF34,SAAB 340,L2T,M
400EEE,G-BYVR,G115,GROB G-115,L1P,L
400FEE,G-SARV,RV4,VANS RV-4,L1P,L
4010EE,G-EZBZ,A319,AIRBUS A-319,L2J,M
4011EE,G-MDJE,C208,CESSNA 208 Caravan,L1T,L
4017EE,G-AWYJ,PUP,BEAGLE Pup,L1P,L
4018EE,G-AYRS,D11,JODEL D-11x/12x,L1P,L
4019EE,G-PHUN,C150,CESSNA 150,L1P,L
401AEE,G-BBMO,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
401BEE,G-BDIE,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
401DEE,G-BGUB,PA32,PIPER PA-32,L1P,L
4020EE,G-BLMN,LGEZ,RUTAN Long-EZ,L1P,L
4021EE,G-HEWI,J3,PIPER J-3 Cub,L1P,L
4024EE,G-BTXZ,CH25,ZENAIR CH-250 Zenith,L1P,L
4026EE,G-USMC,BALL,,B0-,-
4027EE,G-WACG,C152,CESSNA 152,L1P,L
402AEE,G-BOJW,P28A,PIPER PA-28-140/150/160/180,L1P,L
4031EE,G-MWJN,ULAC,,L0-,-
4032EE,G-DLOM,TB20,SOCATA TB-20 Trinidad,L1P,L
4036EE,G-BUPR,D18,JODEL D-18/19/20,L1P,L
4038EE,G-BVLT,CH7B,BELLANCA 7 Citabria,L1P,L
4039EE,G-BVYM,DR30,CENTRE EST Prince,L1P,L
403CEE,G-BXBU,CP10,CAP AVIATION CAP-10,L1P,L
403DEE,G-IVET,EUPA,Europa,L1P,L
4041EE,G-BYPZ,COY2,RANS Coyote 2,L1P,L
4043EE,G-BZKF,COY2,RANS Coyote 2,L1P,L
4045EE,G-CBCP,RV6,VANS RV-6,L1P,L
4050EE,G-OORV,RV6,VANS RV-6,L1P,L
4054EE,G-CFYA,GLID,,L0-,-
405BEE,G-CFFH,ULAC,,L0-,-
405DEE,G-DDVX,GLID,,L0-,-
405EEE,G-CFNV,CRUZ,CSA PS-28 Cruiser,L1P,L
4061EE,G-CGGJ,H269,HUGHES Sky Knight,H1P,L
4062EE,G-CHPI,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
4064EE,G-TRJB,BT36,BEECH B36TC Bonanza,L1P,L
4065EE,G-CGXI,C42,IKARUS C-42 Bison,L1P,L
4066EE,G-VBAB,BALL,,B0-,-
4067EE,G-TAWK,B738,BOEING 737-800,L2J,M
406AEE,G-CIDG,ULAC,,L0-,-
406BEE,G-GTFB,MM24,MAGNI M-24 Orion,G1P,L
406EEE,G-GLAA,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
4070EE,G-JZHJ,B738,BOEING 737-800,L2J,M
4071EE,G-LOUD,GLID,,L0-,-
4072EE,G-IRJA,F50,FOKKER 50,L2T,M
4073EE,G-ZZOT,PA34,PIPER PA-34 Seneca,L2P,L
4074EE,G-BXJN,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
4077EE,G-IOVE,NG5,BRM AERO NG-5/6 Bristell,L1P,L
407AEE,G-MACC,PA11,PIPER PA-11 Cub Special,L1P,L
407BEE,G-ETPN,A109,AGUSTA AW-109 Grand,H2T,L
4241EE,VP-CHU,LJ60,LEARJET 60,L2J,M
4247EE,VP-CHM,FA8X,DASSAULT Falcon 8X,L3J,M
4249EE,VQ-BLZ,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
43C0EE,XX177,HAWK,BRITISH AEROSPACE T-45 Goshawk,L1J,M
43C5EE,ZM420,A400,AIRBUS A-400M,L4T,H
43C8EE,ZM520,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
43CAEE,ZK340,EUFI,EUROFIGHTER 2000,L2J,M
43E7EE,M-CLAB,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
43EAEE,M-ORZE,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
43EDEE,2-YOLO,SF50,CIRRUS SF-50 Vision,L1J,L
4401EE,OE-DLP,C172,CESSNA 172 Skyhawk,L1P,L
4402EE,OE-9317,GLID,,L0-,-
4404EE,OE-XAC,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
4406EE,OE-IKR,A320,AIRBUS A-320,L2J,M
4408EE,OE-IOY,CL60,BOMBARDIER CL-600 Challenger,L2J,M
4409EE,OE-IKY,A332,AIRBUS A-330-200,L2J,H
440AEE,OE-IEK,A333,AIRBUS A-330-300,L2J,H
440CEE,OE-FOU,P06T,TECNAM P-2006T,L2P,L
4491EE,OO-DON,UH1,BELL UH-1 Huey,H1T,L
4493EE,OO-D50,COY2,RANS Coyote 2,L1P,L
44B5EE,OO-MON,SV4,NORD SV-4,L1P,L
44CDEE,OO-SON,SLG2,AIRPLANE FACTORY Sling 2,L1P,L
44D9EE,OO-VON,RALL,SOCATA Rallye,L1P,L
4520EE,LZ-MAK,A319,AIRBUS A-319,L2J,M
