00602A,C9-AUW,DH8C,DE HAVILLAND DHC-8-300 Dash 8,L2T,M
008A2A,ZS-DVL,C208,CESSNA 208 Caravan,L1T,L
008B2A,ZS-EFH,P28B,PIPER PA-28-201T/235/236,L1P,L
009A2A,ZS-JWZ,C172,CESSNA 172 Skyhawk,L1P,L
009E2A,ZS-LKJ,C172,CESSNA 172 Skyhawk,L1P,L
00A82A,ZS-PEV,P28A,PIPER PA-28-140/150/160/180,L1P,L
00AE2A,ZS-YAT,E190,EMBRAER ERJ-190-100,L2J,M
01002A,SU-GBS,B772,BOEING 777-200,L2J,H
01012A,SU-GDL,B77W,BOEING 777-300ER,L2J,H
02012A,CN-HAF,A139,AGUSTA AW-139,H2T,L
04002A,ET-ANH,B737,BOEING 737-700,L2J,M
04012A,ET-ATQ,A359,AIRBUS A-350-900,L2J,H
05A02A,8Q-TMW,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
06002A,3B-NBL,A332,AIRBUS A-330-200,L2J,H
06A12A,A7-ANN,A35K,AIRBUS A-350-1000,L2J,H
08402A,TT-DEX,F900,DASSAULT Falcon 900,L3J,M
0A402A,7T-WIT,IL76,ILYUSHIN Il-76/82,L4J,H
0AC32A,HK-5118,BE9L,BEECH 90 King Air,L2T,L
0AC82A,FAC4528,UH1,BELL UH-1 Huey,H1T,L
0AC92A,PNC-0708,UH1,BELL UH-1 Huey,H1T,L
0ACA2A,HK-4368,C206,CESSNA  206 Stationair,L1P,L
0AE02A,TI-BDW,C208,CESSNA 208 Caravan,L1T,L
0D062A,XA-KUO,GLF5,GULFSTREAM 5,L2J,M
0D092A,XA-VYE,LJ45,LEARJET 45,L2J,M
0D0B2A,XA-GRB,GL5T,BOMBARDIER BD-700 Global 5000/5500,L2J,M
0D0C2A,XA-CJM,LJ40,LEARJET 40,L2J,M
0D812A,YV1240,MD81,MCDONNELL-DOUGLAS MD-81,L2J,M
0D842A,YV3230,BE10,BEECH 100 King Air,L2T,L
