00872F,ZS-CSC,BE9L,BEECH 90 King Air,L2T,L
008E2F,ZS-FJA,E145,EMBRAER ERJ-145,L2J,M
009D2F,ZS-LAS,SR22,CIRRUS SR-22,L1P,L
00A12F,ZS-MOC,C172,CESSNA 172 Skyhawk,L1P,L
00AD2F,ZS-RCG,R22,ROBINSON R-22 Mariner,H1P,L
00AF2F,ZS-RVY,R44,ROBINSON R-44 Raven,H1P,L
00E52F,ZU-FNI,RV10,VANS RV-10,L1P,L
01002F,SU-GBW,A321,AIRBUS A-321,L2J,M
01022F,SU-BUN,A20N,AIRBUS A-320neo,L2J,M
01802F,5A-ONB,A320,AIRBUS A-320,L2J,M
02012F,CN-TMR,B350,BEECHCRAFT Super King Air 350,L2T,M
04002F,ET-ANN,B77L,BOEING 777-200LR,L2J,H
05A02F,8Q-MBE,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
06002F,3B-NBP,A359,AIRBUS A-350-900,L2J,H
06A12F,A7-ANS,A35K,AIRBUS A-350-1000,L2J,H
08002F,5H-TCB,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
09002F,T-908,IL76,ILYUSHIN Il-76/82,L4J,H
09012F,D2-BFI,A169,AGUSTA AW-169,H2T,L
0AC12F,HK-4758,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0AC82F,FAC4405,UH1,BELL UH-1 Huey,H1T,L
0AC92F,PNC-0717,UH1,BELL UH-1 Huey,H1T,L
0ACA2F,HK-5370,B733,BOEING 737-300,L2J,M
0B432F,TG-DHL,C182,CESSNA 182 Skylane,L1P,L
0C202F,HP-1563CMP,E190,EMBRAER ERJ-190-100,L2J,M
0D092F,XC-LOK,GLF5,GULFSTREAM 5,L2J,M
0D0B2F,XA-VBD,LJ35,LEARJET 35,L2J,M
0D0C2F,XA-VTY,B429,BELL 429 GlobalRanger,H2T,L
0D0D2F,XB-NTY,LJ31,LEARJET 31,L2J,M
0D0E2F,XA-KID,LJ35,LEARJET 35,L2J,M
0D822F,YV3106,BE40,BEECH 400 Beechjet,L2J,M
140B2F,RA-02863,E170,EMBRAER ERJ-170-100,L2J,M
14232F,RA-09007,FA7X,DASSAULT Falcon 7X,L3J,M
14B92F,RA-47407,,,,
151E2F,RA-73263,B737,BOEING 737-700,L2J,M
15202F,RA-73775,A320,AIRBUS A-320,L2J,M
155C2F,RA-89135,SU95,SUKHOI Superjet 100-95,L2J,M
30052F,I-BLFE,AC90,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,L2T,L
30062F,I-MCAM,C25M,CESSNA 525 Citation M2,L2J,L
30072F,I-SOUL,B06,BELL 206 JetRanger,H1T,L
31D82F,I-9031,ECHO,TECNAM P-92 Echo,L1P,L
32002F,MM81961,A139,AGUSTA AW-139,H2T,L
33FE2F,MM7047,TOR,PANAVIA Tornado,L2J,M
38332F,F-BMZP,D250,CENTRE EST DR-250 Capitaine,L1P,L
383B2F,F-BOZP,DR22,CENTRE EST Dauphin,L1P,L
383E2F,F-BPRP,DR30,CENTRE EST Prince,L1P,L
384D2F,F-BTJP,RALL,SOCATA Rallye,L1P,L
384F2F,F-BTZP,DR40,ROBIN DR-400,L1P,L
385D2F,F-BXJP,DR40,ROBIN DR-400,L1P,L
385E2F,F-BXRP,DR40,ROBIN DR-400,L1P,L
385F2F,F-BXZP,C172,CESSNA 172 Skyhawk,L1P,L
390C2F,F-GDBP,TAMP,SOCATA TB-9 Tampico,L1P,L
39192F,F-GGJP,DR40,ROBIN DR-400,L1P,L
39212F,F-GIJP,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
39222F,F-GIRP,P28A,PIPER PA-28-140/150/160/180,L1P,L
39242F,F-GJBP,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
39262F,F-GJRP,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
39272F,F-GJZP,DR40,ROBIN DR-400,L1P,L
392A2F,F-GKRP,M20P,MOONEY M-20,L1P,L
392F2F,F-GLZP,A343,AIRBUS A-340-300,L4J,H
39342F,F-GNBP,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
393A2F,F-GORP,DR40,ROBIN DR-400,L1P,L
393F2F,F-GPZP,SR22,CIRRUS SR-22,L1P,L
394C2F,F-GTBP,BALL,,B0-,-
394F2F,F-GTZP,DR40,ROBIN DR-400,L1P,L
395D2F,F-GXJP,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
39802F,F-HABP,DA40,DIAMOND DA-40 Club Star,L1P,L
39822F,F-HARP,RALL,SOCATA Rallye,L1P,L
39842F,F-HBBP,BALL,,B0-,-
39852F,F-HBJP,PA34,PIPER PA-34 Seneca,L2P,L
398C2F,F-HDBP,SR22,CIRRUS SR-22,L1P,L
398D2F,F-HDJP,P28T,PIPER PA-28RT-201,L1P,L
39952F,F-HFJP,BALL,,B0-,-
39992F,F-HGJP,SLG2,AIRPLANE FACTORY Sling 2,L1P,L
39B82F,F-HOBP,SUBA,FUJI FA-200 Aero Subaru,L1P,L
39C82F,F-HSBP,A139,AGUSTA AW-139,H2T,L
39C92F,F-HSJP,FDCT,FLIGHT DESIGN CT,L1P,L
39CE2F,F-HTRP,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3AAC2F,F-MJCW,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3B762F,E162,AJET,DASSAULT-DORNIER Alpha Jet,L2J,M
3B772F,089,E121,EMBRAER EMB-121 Xingu,L2T,L
3C152F,D-AXAO,A20N,AIRBUS A-320neo,L2J,M
3C4A2F,D-ABQO,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
3C4B2F,D-ABYO,B748,BOEING 747-8,L4J,H
3C542F,D-AEAO,A306,AIRBUS A-300-600,L2J,H
