006030,C9-AUV,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
008330,ZS-BET,SR22,CIRRUS SR-22,L1P,L
009030,ZS-GCT,GLID,,L0-,-
009130,ZS-YAL,E190,EMBRAER ERJ-190-100,L2J,M
009E30,ZS-LKP,P32R,PIPER PA-32R-300/301/301T,L1P,L
00A430,ZS-NRR,BE20,BEECH 200 Super King Air,L2T,M
00B030,ZS-SFV,LJ35,LEARJET 35,L2J,M
00D630,ZU-KEI,JAB4,JABIRU J200-450,L1P,L
00F230,ZU-STA,SLG2,AIRPLANE FACTORY Sling 2,L1P,L
010230,SU-EGY,B748,BOEING 747-8,L4J,H
018030,5A-UAA,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
020130,CN-MBH,B748,BOEING 747-8,L4J,H
040030,ET-ANO,B77L,BOEING 777-200LR,L2J,H
040130,ET-ATX,E145,EMBRAER ERJ-145,L2J,M
04C030,KAF308,F70,FOKKER 70,L2J,M
04C230,5Y-IRE,B722,BOEING 727-200,L3J,M
054030,5R-ASB,PAY3,PIPER PA-42-720 Cheyenne 3,L2T,L
060030,3B-NBQ,A359,AIRBUS A-350-900,L2J,H
064230,5N-DNA,B733,BOEING 737-300,L2J,M
090130,D2-BFJ,A169,AGUSTA AW-169,H2T,L
0AB030,V3-HIL,C208,CESSNA 208 Caravan,L1T,L
0AC130,HK-4786-X,JS41,BRITISH AEROSPACE Jetstream 41,L2T,M
0AC830,FAC4408,UH1,BELL UH-1 Huey,H1T,L
0AC930,PNC-0718,UH1,BELL UH-1 Huey,H1T,L
0ACA30,ARC103,BE9L,BEECH 90 King Air,L2T,L
0B4030,TG-MIN,BE36,BEECH 36 Bonanza,L1P,L
0B6030,8R-GAS,C208,CESSNA 208 Caravan,L1T,L
0D0030,XA-VOE,A319,AIRBUS A-319,L2J,M
0D0930,XA-AFS,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D0A30,2037,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0D0B30,XA-VCB,MD83,MCDONNELL-DOUGLAS MD-83,L2J,M
0D0C30,XB-FTT,C414,CESSNA 414 Chancellor,L2P,L
0D0E30,XA-VXB,A21N,AIRBUS A-321neo,L2J,M
0D8230,YV3119,G150,GULFSTREAM G150,L2J,M
140B30,RA-02864,E170,EMBRAER ERJ-170-100,L2J,M
142330,RA-09008,F900,DASSAULT Falcon 900,L3J,M
14AD30,RA-44336,Y18T,YAKOVLEV Yak-18T,L1P,L
14B630,RA-46640,AN24,ANTONOV An-24,L2T,M
151E30,RA-73264,B738,BOEING 737-800,L2J,M
152030,RA-73776,A320,AIRBUS A-320,L2J,M
152130,RA-74032,AN72,ANTONOV An-74-200,L2J,M
152B30,RA-76592,,,,
