00885E,ZS-DDT,HA4T,RAYTHEON 4000 Hawker Horizon,L2J,M
00905E,ZS-GEN,GLID,,L0-,-
00935E,ZS-HIB,B06,BELL 206 JetRanger,H1T,L
00A55E,ZS-ODH,P28A,PIPER PA-28-140/150/160/180,L1P,L
01015E,SU-GDV,A333,AIRBUS A-330-300,L2J,H
01805E,5A-PAB,E170,EMBRAER ERJ-170-100,L2J,M
02005E,CN-AMB,CN35,CASA CN-235 Persuader,L2T,M
04005E,ET-APO,B738,BOEING 737-800,L2J,M
04C15E,5Y-JXJ,F50,FOKKER 50,L2T,M
05A05E,8Q-IAH,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
06425E,5N-BYH,E295,EMBRAER ERJ-190-400,L2J,M
06A25E,QA74,A139,AGUSTA AW-139,H2T,L
07C05E,ST-PNA,E35L,EMBRAER EMB-135 Legacy,L2J,M
0A005E,7T-VNF,C25A,CESSNA 525A Citation CJ2,L2J,L
0A405E,7T-WJA,C30J,LOCKHEED MARTIN C-130J Super Hercules,L4T,M
0A805E,C6-TIA,C402,CESSNA 402 Businessliner,L2P,L
0AC15E,HK-4891,LJ31,LEARJET 31,L2J,M
0ACA5E,HK-5390,A20N,AIRBUS A-320neo,L2J,M
0C205E,HP-1719CMP,B738,BOEING 737-800,L2J,M
0C215E,HP-743,C182,CESSNA 182 Skylane,L1P,L
0C605E,9Y-CAL,B38M,BOEING 737 MAX 8,L2J,M
0D005E,XB-ANQ,AEST,AEROSTAR 600,L2P,L
0D085E,XA-LME,SU95,SUKHOI Superjet 100-95,L2J,M
0D095E,XA-JFH,E145,EMBRAER ERJ-145,L2J,M
0D0C5E,XA-CPQ,GLF6,GULFSTREAM G650,L2J,M
0D0D5E,XB-JTH,C172,CESSNA 172 Skyhawk,L1P,L
0D0E5E,XA-VXF,A21N,AIRBUS A-321neo,L2J,M
14075E,RA-01886,BK17,EUROCOPTER BK117 C-1/2,H2T,L
141C5E,RA-07262,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
142C5E,RA-11358,,,,
15075E,RA-67422,C208,CESSNA 208 Caravan,L1T,L
151E5E,RA-73310,A321,AIRBUS A-321,L2J,M
15205E,RA-73822,A20N,AIRBUS A-320neo,L2J,M
152B5E,RA-76638,IL76,ILYUSHIN Il-76/82,L4J,H
15405E,RA-82014,A124,ANTONOV An-124 Ruslan,L4J,H
1F1D5E,RA-73054,MC23,IRKUT MC-21-300,L2J,M
30035E,I-EEYA,C182,CESSNA 182 Skylane,L1P,L
30055E,I-AWCG,A169,AGUSTA AW-169,H2T,L
30065E,I-CROP,R44,ROBINSON R-44 Raven,H1P,L
30075E,I-CCAF,C172,CESSNA 172 Skyhawk,L1P,L
30085E,I-CHAU,P06T,TECNAM P-2006T,L2P,L
31D85E,I-7022,GLID,,L0-,-
32005E,MM82061,A169,AGUSTA AW-169,H2T,L
33FD5E,MM-AV-SA-0017,Q4,NORTHROP GRUMMAN RQ-4 Global Hawk,L1J,M
3AAB5E,F-MBJZ,TIGR,AIRBUS HELICOPTERS EC-665 Tiger,H2T,L
3B7B5E,F-ZBEY,S2P,GRUMMAN S-2 Tracker,L2P,M
3C125E,D-AVYV,A319,AIRBUS A-319,L2J,M
3CD05E,D-CGFE,LJ35,LEARJET 35,L2J,M
