008D9B,ZS-FDI,C150,CESSNA 150,L1P,L
00929B,ZS-HAO,BALL,,B0-,-
00939B,ZS-HKK,R44,ROBINSON R-44 Raven,H1P,L
00999B,ZS-JRM,B734,BOEING 737-400,L2J,M
009D9B,ZS-LEW,M20T,MOONEY M-20T,L1P,L
00A19B,ZS-MSG,PC12,PILATUS PC-12,L1T,L
00B19B,ZS-STU,C172,CESSNA 172 Skyhawk,L1P,L
00B89B,409,C130,LOCKHEED C-130 Hercules,L4T,M
01009B,SU-CBB,DHC7,DE HAVILLAND DHC-7 Dash 7,L4T,M
05A09B,8Q-TAU,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
06419B,5N-PAZ,CL60,BOMBARDIER CL-600 Challenger,L2J,M
06809B,5X-NIL,A338,AIRBUS A-330-800,L2J,H
06A09B,A7-AHT,A320,AIRBUS A-320,L2J,M
06A29B,QA334,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
08009B,5H-TCK,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
0A009B,7T-VCF,B738,BOEING 737-800,L2J,M
0A809B,C6-IRM,WW24,IAI 1124 Westwind,L2J,M
0AC19B,HK-5013,E120,EMBRAER EMB-120 Brasilia,L2T,M
0AC89B,FAC2461,SNGY,LANCAIR Calima,L1P,L
0C209B,HP-1793PST,F50,FOKKER 50,L2T,M
0D049B,XA-ADR,G150,GULFSTREAM G150,L2J,M
0D069B,XB-MHZ,P32R,PIPER PA-32R-300/301/301T,L1P,L
0D079B,XA-HNY,GLF4,GULFSTREAM 4,L2J,M
0D0A9B,XA-ADH,B789,BOEING 787-9 Dreamliner,L2J,H
0D0B9B,XB-NBA,PAY3,PIPER PA-42-720 Cheyenne 3,L2T,L
0D0C9B,XA-VRP,A20N,AIRBUS A-320neo,L2J,M
0D0E9B,XA-VYA,A320,AIRBUS A-320,L2J,M
0D819B,YV2865,B190,BEECH 1900,L2T,M
141C9B,RA-07323,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
142E9B,RA-11931,,,,
15069B,RA-67227,CL60,BOMBARDIER CL-600 Challenger,L2J,M
151D9B,RA-73115,B738,BOEING 737-800,L2J,M
15409B,RA-82075,A124,ANTONOV An-124 Ruslan,L4J,H
30059B,I-ICES,P28A,PIPER PA-28-140/150/160/180,L1P,L
30069B,I-MNVE,SR20,CIRRUS SR-20,L1P,L
30079B,I-MAEG,SKAR,III Sky Arrow,L1P,L
31DC9B,I-C326,ASTO,TECNAM Astore,L1P,L
31DD9B,I-C997,ULAC,,L0-,-
31DE9B,I-6712,PIVI,PIPSTREL Virus,L1P,L
31DF9B,I-E083,PNR4,ALPI Pioneer 400,L1P,L
33FD9B,MM55220,M346,AERMACCHI M-346 Master,L2J,M
38269B,F-PQUM,MCR1,COLOMBAN Ban-Bi,L1P,L
38299B,F-CHHO,GLID,,L0-,-
382C9B,F-CFUX,NIMB,SCHEMPP-HIRTH Nimbus,L1P,L
382F9B,F-PSIC,DR10,CENTRE EST Ambassadeur,L1P,L
38339B,F-CBDI,AS20,SCHLEICHER ASW-20,L1P,L
38389B,F-CGQS,DISC,SCHEMPP-HIRTH Discus,L1P,L
383B9B,F-CAQX,SF25,SCHEIBE SF-25 Falke,L1P,L
383F9B,F-PTGL,MCR1,COLOMBAN Ban-Bi,L1P,L
38449B,F-POSC,MCR4,DYNAERO MCR-2/4,L1P,L
38469B,F-PIGT,ZZZZ,,-0-,-
38489B,F-CIOL,G103,GROB G-103 Twin 3SL,L1P,L
38499B,F-PGBC,GLST,GLASAIR SH-4 GlaStar,L1P,L
384D9B,F-AZTE,DC3,DOUGLAS DC-3 Dakota,L2P,M
38519B,F-CGOC,GLID,,L0-,-
38539B,F-PGMZ,MCR4,DYNAERO MCR-2/4,L1P,L
38559B,F-WMXL,ZZZZ,,-0-,-
38569B,F-WMXT,ZZZZ,,-0-,-
38589B,F-PSTE,MCR1,COLOMBAN Ban-Bi,L1P,L
385A9B,F-WMXJ,ZZZZ,,-0-,-
385D9B,F-WNUI,AT75,ATR-72-500,L2T,M
38629B,F-PYAT,MCR1,COLOMBAN Ban-Bi,L1P,L
386B9B,F-CJAE,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
386C9B,F-PHMR,MCR1,COLOMBAN Ban-Bi,L1P,L
386D9B,F-PFDT,MCR4,DYNAERO MCR-2/4,L1P,L
38709B,F-PLCO,RV9,VANS RV-9,L1P,L
38739B,F-PUSS,MCR4,DYNAERO MCR-2/4,L1P,L
38749B,F-PALP,D140,JODEL D-140 Mousquetaire,L1P,L
38759B,F-CIJU,GLID,,L0-,-
38779B,F-WHUL,A320,AIRBUS A-320,L2J,M
387B9B,F-PRJR,MP20,PLAN MP-207 Busard,L1P,L
387F9B,F-PSOM,DR10,CENTRE EST Ambassadeur,L1P,L
38829B,F-PAJL,MCR1,COLOMBAN Ban-Bi,L1P,L
38849B,F-PJJL,HN70,NICOLLIER Menestrel 2,L1P,L
38859B,F-CFAY,GLID,,L0-,-
38869B,F-WXAE,A359,AIRBUS A-350-900,L2J,H
38899B,F-PRYP,PO60,POTEZ Sauterelle,L1P,L
388B9B,F-PYJI,ZZZZ,,-0-,-
388C9B,F-WZFC,A359,AIRBUS A-350-900,L2J,H
388D9B,F-WZFF,A359,AIRBUS A-350-900,L2J,H
388E9B,F-WZFM,A359,AIRBUS A-350-900,L2J,H
388F9B,F-WZFU,A359,AIRBUS A-350-900,L2J,H
38909B,F-WTAO,ZZZZ,,-0-,-
38919B,F-WTAU,ZZZZ,,-0-,-
38949B,F-WZGQ,A359,AIRBUS A-350-900,L2J,H
38959B,F-WZGY,A359,AIRBUS A-350-900,L2J,H
38969B,F-PSJB,EC6,CROSES EC-6 Criquet,L1P,L
38989B,F-PLTC,MCR4,DYNAERO MCR-2/4,L1P,L
389A9B,F-WTBA,ZZZZ,,-0-,-
389B9B,F-WZHF,A359,AIRBUS A-350-900,L2J,H
389E9B,F-WZNE,A359,AIRBUS A-350-900,L2J,H
389F9B,F-WZNN,A359,AIRBUS A-350-900,L2J,H
38A09B,F-WZNV,A359,AIRBUS A-350-900,L2J,H
38A19B,F-WTAF,ZZZZ,,-0-,-
38A79B,F-PTRO,ZZZZ,,-0-,-
38A89B,F-PMPM,JPM1,MARIE JPM-01,L1P,L
38B29B,F-CPLN,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
38B49B,F-WTBS,ZZZZ,,-0-,-
38BA9B,F-PUIL,D140,JODEL D-140 Mousquetaire,L1P,L
38BE9B,F-PMRJ,D140,JODEL D-140 Mousquetaire,L1P,L
38BF9B,F-PCEB,CB1,HATZ CB-1 Classic,L1P,L
38C39B,F-PJAL,CP75,PIEL Beryl,L1P,L
38C59B,F-PTUN,MCR1,COLOMBAN Ban-Bi,L1P,L
38C69B,F-PJBR,DR10,CENTRE EST Ambassadeur,L1P,L
38C79B,F-PCYR,RV7,VANS RV-7,L1P,L
38C89B,F-CBET,GLID,,L0-,-
38C99B,F-WZOG,FA6X,DASSAULT Falcon 6X,L2J,M
38CE9B,F-AZZK,YAK3,YAKOVLEV Yak-3,L1P,L
38CF9B,F-WNOV,A310,AIRBUS A-310,L2J,H
38D29B,F-WXAR,A320,AIRBUS A-320,L2J,M
38D49B,F-WZMC,A21N,AIRBUS A-321neo,L2J,M
38D69B,F-WZMS,A21N,AIRBUS A-321neo,L2J,M
38D99B,F-CEIG,GLID,,L0-,-
38DA9B,F-AZQC,FOUG,AEROSPATIALE CM-170 Magister,L2J,L
38E09B,HB-ZVN,G2CA,GUIMBAL G-2 Cabri,H1P,L
38E59B,F-PAUR,RV4,VANS RV-4,L1P,L
38E79B,F-PSED,RV7,VANS RV-7,L1P,L
38E89B,F-CGLH,VENT,SCHEMPP-HIRTH Ventus,L1P,L
38EB9B,F-PSSN,D11,JODEL D-11x/12x,L1P,L
38ED9B,F-PLPS,RV8,VANS RV-8,L1P,L
38F59B,F-WTAP,ZZZZ,,-0-,-
38F69B,F-CCAA,JANU,SCHEMPP-HIRTH Janus,L1P,L
38F99B,F-CIHG,GLID,,L0-,-
38FE9B,F-PEEP,D250,CENTRE EST DR-250 Capitaine,L1P,L
39009B,F-PSLS,MCR1,COLOMBAN Ban-Bi,L1P,L
39019B,F-AZEZ,T6,NORTH AMERICAN T-6 Texan,L1P,L
39029B,F-PYTP,CP75,PIEL Beryl,L1P,L
39069B,F-PMIT,JAB4,JABIRU J200-450,L1P,L
39089B,F-PZBV,VEZE,RUTAN VariEze,L1P,L
390A9B,F-PMJC,D140,JODEL D-140 Mousquetaire,L1P,L
390B9B,F-PEYA,DR10,CENTRE EST Ambassadeur,L1P,L
390C9B,F-PAPS,RV6,VANS RV-6,L1P,L
390D9B,F-CGLC,VENT,SCHEMPP-HIRTH Ventus,L1P,L
390F9B,F-PMXH,D11,JODEL D-11x/12x,L1P,L
39139B,F-PDXB,RV6,VANS RV-6,L1P,L
39149B,F-PCDY,D11,JODEL D-11x/12x,L1P,L
39179B,F-CGPJ,ARCP,SCHEMPP-HIRTH Arcus M,L1P,L
391C9B,F-AZKE,DHC1,DE HAVILLAND DHC-1 Chipmunk,L1P,L
391D9B,F-PVAP,DR10,CENTRE EST Ambassadeur,L1P,L
39259B,F-PRSZ,CP32,PIEL Super Emeraude,L1P,L
392A9B,F-CGCI,GLID,,L0-,-
392B9B,F-PHAU,GLAS,Glasair,L1P,L
392D9B,F-CAKM,GLID,,L0-,-
39319B,F-PPIA,ZZZZ,,-0-,-
39339B,F-PREV,VEZE,RUTAN VariEze,L1P,L
39379B,F-CGUS,GLID,,L0-,-
393C9B,F-PVSG,MCR4,DYNAERO MCR-2/4,L1P,L
393E9B,F-PGTT,RV14,VANS RV-14,L1P,L
39409B,F-PVAO,RV7,VANS RV-7,L1P,L
39419B,F-PDAN,D250,CENTRE EST DR-250 Capitaine,L1P,L
39429B,F-PKLC,RV7,VANS RV-7,L1P,L
39439B,F-AZHN,T28,NORTH AMERICAN T-28,L1P,L
39469B,F-PVLZ,MCR4,DYNAERO MCR-2/4,L1P,L
394B9B,F-PTVE,ST87,STERN ST-87 Europlane,L1P,L
39509B,F-CNLB,LS8,ROLLADEN-SCHNEIDER LS-8T,L1P,L
39529B,F-PTDZ,ZZZZ,,-0-,-
39599B,F-PGBN,RV7,VANS RV-7,L1P,L
395D9B,F-CHCI,SF25,SCHEIBE SF-25 Falke,L1P,L
3AAB9B,F-MDBP,PUMA,AEROSPATIALE SA-330 Puma,H2T,L
3B769B,E4,AJET,DASSAULT-DORNIER Alpha Jet,L2J,M
3B7B9B,F-ZBPP,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3D079B,D-EBDB,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D099B,D-EBWT,RALL,SOCATA Rallye,L1P,L
3D0A9B,D-ECGP,C172,CESSNA 172 Skyhawk,L1P,L
3D0C9B,D-EDAH,BE35,BEECH 35 Starfire Bonanza,L1P,L
