00939D,ZS-HKM,A139,AGUSTA AW-139,H2T,L
009D9D,ZS-LEY,BE36,BEECH 36 Bonanza,L1P,L
00A29D,ZS-NCE,PA32,PIPER PA-32,L1P,L
00A59D,ZS-OFS,PA32,PIPER PA-32,L1P,L
00B09D,ZS-SKA,F70,FOKKER 70,L2J,M
01009D,SU-YAH,F50,FOKKER 50,L2T,M
01809D,5A-GAB,E145,EMBRAER ERJ-145,L2J,M
04019D,ET-AYG,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
04C19D,5Y-CGL,DH8B,DE HAVILLAND DHC-8-200 Dash 8,L2T,M
06409D,5N-MJF,B737,BOEING 737-700,L2J,M
06419D,5N-BKX,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
06A19D,A7-BEB,B77W,BOEING 777-300ER,L2J,H
08CC9D,9S-EMF,PC12,PILATUS PC-12,L1T,L
0AC89D,FAC2463,SNGY,LANCAIR Calima,L1P,L
0D059D,XA-EAJ,GLF5,GULFSTREAM 5,L2J,M
0D0A9D,XB-BAJ,T206,CESSNA T206 Turbo Stationair,L1P,L
0D0C9D,XB-OGM,C414,CESSNA 414 Chancellor,L2P,L
0D0D9D,XB-OAS,SBR1,NORTH AMERICAN Sabre 40/50/60/65,L2J,M
0D0E9D,XA-CNC,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D809D,YV1022,C560,CESSNA 560 Citation Ultra,L2J,M
14099D,RA-02461,AN2,ANTONOV An-2,L1P,L
145E9D,RA-24221,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
15009D,RA-65693,T134,TUPOLEV Tu-134,L2J,M
15069D,RA-67229,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
151D9D,RA-73117,B738,BOEING 737-800,L2J,M
15409D,RA-82077,A124,ANTONOV An-124 Ruslan,L4J,H
180B9D,RA-2973G,ULAC,,L0-,-
30049D,I-VLIS,ECHO,TECNAM P-92 Echo,L1P,L
30079D,I-LIDH,R44,ROBINSON R-44 Raven,H1P,L
30089D,I-TEAF,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
33FE9D,MM62274,P180,PIAGGIO P-180 Avanti,L2T,L
38089D,F-JZGU,ULAC,,L0-,-
380B9D,F-JXZA,ULAC,,L0-,-
380E9D,30QP,FDCT,FLIGHT DESIGN CT,L1P,L
38139D,F-JRPO,ULAC,,L0-,-
38149D,F-JRRJ,ULAC,,L0-,-
38179D,F-JGDV,ULAC,,L0-,-
38189D,F-JTGQ,ULAC,,L0-,-
38199D,F-JGGK,NG5,BRM AERO NG-5/6 Bristell,L1P,L
38209D,F-JCOE,ULAC,,L0-,-
38229D,F-JGKW,ULAC,,L0-,-
38239D,F-JTYA,ULAC,,L0-,-
38249D,F-JFKO,ULAC,,L0-,-
38259D,84JT,MCR1,COLOMBAN Ban-Bi,L1P,L
38269D,04FS,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
38279D,F-JGPX,ULAC,,L0-,-
38289D,F-BNZB,D11,JODEL D-11x/12x,L1P,L
382A9D,F-JUPP,SHRK,SHARK AERO Shark,L1P,L
382B9D,F-JURT,PNR3,ALPI Pioneer 330,L1P,L
383B9D,F-JAZI,SHRK,SHARK AERO Shark,L1P,L
383C9D,F-JHWZ,ULAC,,L0-,-
383D9D,F-JACT,ULAC,,L0-,-
38419D,F-JAVA,ULAC,,L0-,-
38439D,F-JBFG,ULAC,,L0-,-
384A9D,F-JCNA,ULAC,,L0-,-
384B9D,F-JILN,ULAC,,L0-,-
38519D,F-JDPS,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
38549D,F-JDXQ,FAET,ATEC 321 Faeta,L1P,L
38569D,F-JFCV,ULAC,,L0-,-
38589D,F-JJVC,ULAC,,L0-,-
38599D,F-JIPI,MM16,MAGNI M-16 Tandem Trainer,G1P,L
385A9D,F-JGJK,ULAC,,L0-,-
385B9D,F-JGLR,ULAC,,L0-,-
385C9D,F-JGOL,FDCT,FLIGHT DESIGN CT,L1P,L
38609D,F-JRUM,ULAC,,L0-,-
38649D,F-JZFD,VM1,VOL MEDITERRANI VM-1 Esqual,L1P,L
38659D,F-JAMU,ULAC,,L0-,-
38829D,F-JZYN,FK9,B&F TECHNIK FK-9,L1P,L
388E9D,F-JTNZ,ULAC,,L0-,-
38999D,F-JVUT,ULAC,,L0-,-
38A29D,F-JAHF,SD4,TOMARK Viper,L1P,L
38A89D,F-JBCF,SHRK,SHARK AERO Shark,L1P,L
38AD9D,F-JBWD,SHRK,SHARK AERO Shark,L1P,L
38B19D,F-JTCR,C42,IKARUS C-42 Bison,L1P,L
38B89D,F-JDUU,ULAC,,L0-,-
38BA9D,F-JPRM,ULAC,,L0-,-
38BB9D,F-JKUX,TTRS,HUMBERT Tetras,L1P,L
39149D,F-JGGA,ULAC,,L0-,-
39449D,F-JVXD,ULAC,,L0-,-
3AAB9D,F-MDBN,PUMA,AEROSPATIALE SA-330 Puma,H2T,L
3B099D,F1,GLID,,L0-,-
3B769D,E135,AJET,DASSAULT-DORNIER Alpha Jet,L2J,M
3B7B9D,F-ZBPN,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3CF19D,D-CSUN,C56X,CESSNA 560XL Citation XLS,L2J,M
3CF69D,D-CURT,LJ31,LEARJET 31,L2J,M
3D069D,D-EATH,P28S,PIPER PA-28R-201T,L1P,L
3D089D,D-EBMZ,C172,CESSNA 172 Skyhawk,L1P,L
3D099D,D-EBWV,RALL,SOCATA Rallye,L1P,L
3D0A9D,D-ECGR,C177,CESSNA  177 Cardinal,L1P,L
3D0C9D,D-EDAJ,C172,CESSNA 172 Skyhawk,L1P,L
3D0E9D,D-EDUB,TOBA,SOCATA Tobago,L1P,L
3D129D,D-EFHL,P28R,PIPER PA-28R-180/200/201,L1P,L
3D149D,D-EGBD,C150,CESSNA 150,L1P,L
3D169D,D-EGUV,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D179D,D-EHER,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D189D,D-EHON,DR40,ROBIN DR-400,L1P,L
3D1D9D,D-EJLT,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
3D1F9D,D-EKFL,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D209D,D-EKPH,PULS,Pulsar,L1P,L
3D239D,D-ELSV,C172,CESSNA 172 Skyhawk,L1P,L
3D249D,D-EMCR,SR22,CIRRUS SR-22,L1P,L
3D269D,D-EMWJ,C172,CESSNA 172 Skyhawk,L1P,L
