0080A1,ZS-AFO,C182,CESSNA 182 Skylane,L1P,L
008AA1,ZS-EAA,B190,BEECH 1900,L2T,M
00A3A1,ZS-NME,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
00A6A1,ZS-OPS,C130,LOCKHEED C-130 Hercules,L4T,M
00A8A1,ZS-PJK,BE33,BEECH 33 Bonanza,L1P,L
00B1A1,ZS-SUA,C55B,CESSNA 550B Citation Bravo,L2J,L
00B3A1,ZS-TNS,EC30,AIRBUS HELICOPTERS EC-130,H1T,L
00BFA1,ZS-YBW,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
0100A1,SU-CBE,DHC7,DE HAVILLAND DHC-7 Dash 7,L4T,M
0101A1,SU-BSY,C295,CASA C-295 Persuader,L2T,M
0180A1,5A-BRC,A320,AIRBUS A-320,L2J,M
0200A1,CN-ROX,B733,BOEING 737-300,L2J,M
02A1A1,TS-INB,A320,AIRBUS A-320,L2J,M
04C1A1,5Y-SMT,F50,FOKKER 50,L2T,M
04C2A1,5Y-HYS,BE20,BEECH 200 Super King Air,L2T,M
06A0A1,A7-GHE,A139,AGUSTA AW-139,H2T,L
0700A1,6V-AFB,P32R,PIPER PA-32R-300/301/301T,L1P,L
0701A1,6V-ANB,A339,AIRBUS A-330-900,L2J,H
0800A1,5H-TCL,BCS3,AIRBUS A220-300,L2J,M
0A00A1,7T-VNR,C208,CESSNA 208 Caravan,L1T,L
0A80A1,C6-DON,C208,CESSNA 208 Caravan,L1T,L
0AC1A1,HK-4989,BE20,BEECH 200 Super King Air,L2T,M
0AC7A1,EJC2158,H60,SIKORSKY UH-60 Black Hawk,H2T,M
0AC8A1,FAC1281,C295,CASA C-295 Persuader,L2T,M
0BAFA1,FAH001,E35L,EMBRAER EMB-135 Legacy,L2J,M
0D09A1,XA-IJC,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D0BA1,XA-MAZ,B38M,BOEING 737 MAX 8,L2J,M
0D0EA1,XA-VXG,A21N,AIRBUS A-321neo,L2J,M
1406A1,RA-01697,A139,AGUSTA AW-139,H2T,L
1416A1,RA-05793,R66,ROBINSON R-66,H1T,L
141CA1,RA-07329,AN2,ANTONOV An-2,L1P,L
142CA1,RA-11425,,,,
14A5A1,RA-42401,YK42,YAKOVLEV Yak-142,L3J,M
1506A1,RA-67233,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
151DA1,RA-73121,B738,BOEING 737-800,L2J,M
1540A1,RA-82081,A124,ANTONOV An-124 Ruslan,L4J,H
180BA1,RA-2977G,ULAC,,L0-,-
3004A1,I-ODQD,TB20,SOCATA TB-20 Trinidad,L1P,L
3008A1,I-CUCC,C172,CESSNA 172 Skyhawk,L1P,L
33FDA1,CSX62301,AT76,ATR-72-600,L2T,M
33FFA1,MM7172,AMX,AERITALIA-AERMACCHI AMX Ghibli,L1J,M
3826A1,F-BJVB,CP30,PIEL Emeraude,L1P,L
3836A1,F-BNVB,DR22,CENTRE EST Dauphin,L1P,L
3856A1,F-BVVB,P28A,PIPER PA-28-140/150/160/180,L1P,L
3911A1,F-GENB,TB20,SOCATA TB-20 Trinidad,L1P,L
392DA1,F-GLNB,S22T,CIRRUS SR-22T Turbo,L1P,L
392EA1,F-GLVB,DR40,ROBIN DR-400,L1P,L
393AA1,F-GOVB,DR40,ROBIN DR-400,L1P,L
394AA1,F-GSVB,BALL,,B0-,-
394CA1,F-GTFB,C510,CESSNA 510 Citation Mustang,L2J,L
394EA1,F-GTVB,TOBA,SOCATA Tobago,L1P,L
3950A1,F-GUFB,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3952A1,F-GUVB,DA40,DIAMOND DA-40 Club Star,L1P,L
3964A1,F-GZFB,BALL,,B0-,-
3965A1,F-GZNB,B77W,BOEING 777-300ER,L2J,H
3985A1,F-HBNB,A320,AIRBUS A-320,L2J,M
3986A1,F-HBVB,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
39B2A1,F-HMVB,BALL,,B0-,-
39C5A1,F-HRNB,A339,AIRBUS A-330-900,L2J,H
39CEA1,F-HTVB,B738,BOEING 737-800,L2J,M
3A46A1,F-ORVB,AT45,ATR-42-500,L2T,M
3AABA1,F-MDBJ,PUMA,AEROSPATIALE SA-330 Puma,H2T,L
3B76A1,298,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
3B7BA1,F-ZBPJ,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3C4AA1,D-ABUA,B763,BOEING 767-300,L2J,H
3C55A1,D-AEMA,E190,EMBRAER ERJ-190-100,L2J,M
3C56A1,D-AEUA,A321,AIRBUS A-321,L2J,M
3C64A1,D-AIEA,A21N,AIRBUS A-321neo,L2J,M
3C65A1,D-AIMA,A388,AIRBUS A-380-800,L4J,H
3C66A1,D-AIUA,A320,AIRBUS A-320,L2J,M
3C71A1,D-ALMA,A332,AIRBUS A-330-200,L2J,H
3D05A1,D-EAJP,C206,CESSNA  206 Stationair,L1P,L
3D07A1,D-EBDH,FDCT,FLIGHT DESIGN CT,L1P,L
3D08A1,D-EBND,PUP,BEAGLE Pup,L1P,L
3D0EA1,D-EDUF,C172,CESSNA 172 Skyhawk,L1P,L
3D0FA1,D-EEEB,C182,CESSNA 182 Skylane,L1P,L
3D10A1,D-EENX,C150,CESSNA 150,L1P,L
3D13A1,D-EFRL,M20T,MOONEY M-20T,L1P,L
3D14A1,D-EGBH,DR40,ROBIN DR-400,L1P,L
3D18A1,D-EHOR,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D1AA1,D-EIIJ,M20T,MOONEY M-20T,L1P,L
3D1BA1,D-EISF,DR40,ROBIN DR-400,L1P,L
3D1CA1,D-EJCB,E300,EXTRA EA-300/330/350,L1P,L
3D1FA1,D-EKFP,C182,CESSNA 182 Skylane,L1P,L
3D20A1,D-EKPL,C172,CESSNA 172 Skyhawk,L1P,L
3D24A1,D-EMCV,C182,CESSNA 182 Skylane,L1P,L
3D25A1,D-EMMR,F8L,AEROMERE F-8L Falco,L1P,L
3D26A1,D-EMWN,M20T,MOONEY M-20T,L1P,L
3D27A1,D-ENGJ,DA40,DIAMOND DA-40 Club Star,L1P,L
3D29A1,D-EOAB,P28T,PIPER PA-28RT-201,L1P,L
3D2AA1,D-EOJX,C150,CESSNA 150,L1P,L
3D2BA1,D-EOTT,C172,CESSNA 172 Skyhawk,L1P,L
3D2DA1,D-EPNL,PTS1,PITTS S-1 Special,L1P,L
3D35A1,D-ESOF,E300,EXTRA EA-300/330/350,L1P,L
3D3AA1,D-EULL,DV20,DIAMOND DA-20,L1P,L
3D3BA1,D-EUVH,P46T,PIPER PA-46-500TP,L1T,L
3D43A1,D-EXWB,RV9,VANS RV-9,L1P,L
3DAEA1,D-GMJP,P06T,TECNAM P-2006T,L2P,L
3DB5A1,D-GPAN,PA34,PIPER PA-34 Seneca,L2P,L
3DC9A1,D-GWPL,PA34,PIPER PA-34 Seneca,L2P,L
3DE1A1,D-HFRT,A109,AGUSTA AW-109 Grand,H2T,L
3DF1A1,D-HLTH,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
3DFFA1,D-HRBD,R66,ROBINSON R-66,H1T,L
3E1CA1,D-ICAR,DA62,DIAMOND DA-62,L2P,L
3E32A1,D-IKJH,C303,CESSNA T303 Crusader,L2P,L
3E4FA1,D-IVIV,C25A,CESSNA 525A Citation CJ2,L2J,L
3E5FA1,D-KBKJ,GLID,,L0-,-
3E60A1,D-KBUF,SF25,SCHEIBE SF-25 Falke,L1P,L
3E61A1,D-KCEB,GLID,,L0-,-
3E65A1,D-KDRL,GLID,,L0-,-
3E66A1,D-KEBH,DIMO,DIAMOND H-36 Dimona,L1P,L
3E6AA1,D-KFOR,SF25,SCHEIBE SF-25 Falke,L1P,L
3E6EA1,D-KHCB,DG50,DG FLUGZEUGBAU DG-500M,L1P,L
3E71A1,D-KIFP,RF5,FOURNIER RF-5,L1P,L
3E7DA1,D-KMTT,DIMO,DIAMOND H-36 Dimona,L1P,L
3ECCA1,D-KSLL,GLID,,L0-,-
3EDAA1,D-KXTH,GLID,,L0-,-
3F02A1,D-8714,GLID,,L0-,-
3FEAA1,D-MHBA,FDCT,FLIGHT DESIGN CT,L1P,L
3FEBA1,D-MDBO,FK9,B&F TECHNIK FK-9,L1P,L
3FECA1,D-MXCT,FDCT,FLIGHT DESIGN CT,L1P,L
3FEEA1,D-MERN,FDCT,FLIGHT DESIGN CT,L1P,L
3FEFA1,D-MDRO,FDCT,FLIGHT DESIGN CT,L1P,L
3FF0A1,D-MQRP,ULAC,,L0-,-
3FF1A1,D-MCEJ,CLON,AUTOGYRO Cavalon,G1P,L
3FF2A1,D-MFER,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3FF3A1,D-MCET,ULAC,,L0-,-
3FF4A1,D-MEJR,C42,IKARUS C-42 Bison,L1P,L
3FF6A1,D-MDFA,ALGR,FANTASY AIR Allegro,L1P,L
400EA1,G-BYXD,G115,GROB G-115,L1P,L
4012A1,G-VALK,BE20,BEECH 200 Super King Air,L2T,M
4014A1,G-ANRP,AUS5,AUSTER AOP5,L1P,L
4016A1,G-ATWA,DR10,CENTRE EST Ambassadeur,L1P,L
4018A1,G-AYEW,DR10,CENTRE EST Ambassadeur,L1P,L
4019A1,G-AZWT,LYSA,WESTLAND Lysander,L1P,L
401CA1,G-BEVT,TRIS,BRITTEN-NORMAN Trislander,L3P,L
401DA1,G-BGIU,C172,CESSNA 172 Skyhawk,L1P,L
4021A1,G-ECGC,C172,CESSNA 172 Skyhawk,L1P,L
4025A1,G-BKGM,BE18,BEECH 18 Expetitor,L2P,L
402AA1,G-BODE,P28A,PIPER PA-28-140/150/160/180,L1P,L
402CA1,G-BORL,P28A,PIPER PA-28-140/150/160/180,L1P,L
4031A1,G-SSWV,RF5,FOURNIER RF-5,L1P,L
4032A1,G-BSTZ,P28A,PIPER PA-28-140/150/160/180,L1P,L
4033A1,G-MWRH,ULAC,,L0-,-
4039A1,G-BVUZ,C120,CESSNA 120,L1P,L
403DA1,G-BXIF,P28A,PIPER PA-28-140/150/160/180,L1P,L
4040A1,G-ELLE,BALL,,B0-,-
4043A1,G-WAVA,HR20,ROBIN HR-200,L1P,L
4048A1,G-CBYZ,ECHO,TECNAM P-92 Echo,L1P,L
404BA1,G-CCVR,SKRA,BEST OFF Sky Ranger,L1P,L
404FA1,G-CKHH,GLID,,L0-,-
4054A1,G-CHPW,GLID,,L0-,-
4057A1,G-CJCT,NIMB,SCHEMPP-HIRTH Nimbus,L1P,L
4058A1,G-CFZP,GLID,,L0-,-
4059A1,G-DEPD,GLID,,L0-,-
405AA1,G-TCHI,SPIT,SUPERMARINE Spitfire,L1P,L
405DA1,G-HAGL,R44,ROBINSON R-44 Raven,H1P,L
405FA1,G-WWZZ,CRUZ,CSA PS-28 Cruiser,L1P,L
4060A1,G-DDGV,GLID,,L0-,-
4061A1,G-RXTV,A109,AGUSTA AW-109 Grand,H2T,L
4062A1,G-MVXP,ULAC,,L0-,-
4063A1,G-SRZZ,SR22,CIRRUS SR-22,L1P,L
4064A1,G-FDZU,B738,BOEING 737-800,L2J,M
4065A1,G-CGVS,XA85,RAJ HAMSA XA-85,L1P,L
4066A1,G-UFOE,G115,GROB G-115,L1P,L
4068A1,G-CHSS,C42,IKARUS C-42 Bison,L1P,L
406AA1,G-OMPH,RV7,VANS RV-7,L1P,L
406BA1,G-SKFY,R44,ROBINSON R-44 Raven,H1P,L
406CA1,G-TOPP,RV10,VANS RV-10,L1P,L
406DA1,G-CIMB,C177,CESSNA  177 Cardinal,L1P,L
406EA1,G-CIPW,A139,AGUSTA AW-139,H2T,L
406FA1,G-FLOE,R66,ROBINSON R-66,H1T,L
4070A1,G-CLSL,GLID,,L0-,-
4071A1,G-MFTS,G120,GROB G-120,L1P,L
4072A1,G-CJZD,EFOX,AEROPRO Eurofox,L1P,L
4073A1,G-UZHD,A20N,AIRBUS A-320neo,L2J,M
4074A1,G-YARD,R44,ROBINSON R-44 Raven,H1P,L
4075A1,G-CTSC,DA40,DIAMOND DA-40 Club Star,L1P,L
4076A1,G-CKZG,ZZZZ,,-0-,-
4077A1,G-CLFM,WAIX,SONEX Waiex,L1P,L
407CA1,G-DKSK,TL20,TL ULTRALIGHT TL-2000 Sting,L1P,L
407DA1,G-CMIU,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
4241A1,VP-CXR,A320,AIRBUS A-320,L2J,M
4243A1,VP-BLE,B738,BOEING 737-800,L2J,M
4247A1,VP-CCD,E550,EMBRAER EMB-550 Praetor 600,L2J,M
4248A1,VP-CUE,A320,AIRBUS A-320,L2J,M
43C1A1,ZA588,TOR,PANAVIA Tornado,L2J,M
43C2A1,XW235,PUMA,AEROSPATIALE SA-330 Puma,H2T,L
43C3A1,ZH103,E3CF,BOEING E-3 Sentry (CFM56),L4J,H
43C6A1,ZF515,TUCA,EMBRAER EMB-312 Tucano,L1T,L
43C7A1,ZK424,EUFI,EUROFIGHTER 2000,L2J,M
43EAA1,M-AAAM,CL60,BOMBARDIER CL-600 Challenger,L2J,M
4400A1,OE-XVI,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
4402A1,OE-ISA,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
4404A1,OE-XDS,R22,ROBINSON R-22 Mariner,H1P,L
