0086AB,ZS-CNA,C208,CESSNA 208 Caravan,L1T,L
0091AB,ZS-GRI,GLID,,L0-,-
0098AB,ZS-JIG,PA34,PIPER PA-34 Seneca,L2P,L
00A6AB,ZS-BAS,C208,CESSNA 208 Caravan,L1T,L
00AFAB,ZS-SAS,P28A,PIPER PA-28-140/150/160/180,L1P,L
00B2AB,ZS-TEG,BE20,BEECH 200 Super King Air,L2T,M
0101AB,SU-BTH,C295,CASA C-295 Persuader,L2T,M
0200AB,CN-AMK,C56X,CESSNA 560XL Citation XLS,L2J,M
0640AB,5N-BLG,B735,BOEING 737-500,L2J,M
0680AB,5X-ABR,B412,BELL 412,H2T,L
06A0AB,A7-BCG,B788,BOEING 787-8 Dreamliner,L2J,H
08CBAB,9Q-CGC,GLF4,GULFSTREAM 4,L2J,M
0A80AB,C6-ROV,LJ60,LEARJET 60,L2J,M
0AC3AB,HK-5254G,SR20,CIRRUS SR-20,L1P,L
0AC9AB,HK-5347,AT76,ATR-72-600,L2T,M
0ACAAB,HK-5410,A20N,AIRBUS A-320neo,L2J,M
0C20AB,HP-1841CMP,B738,BOEING 737-800,L2J,M
0D05AB,XA-OLA,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D08AB,ANX-1254,C295,CASA C-295 Persuader,L2T,M
0D0AAB,XA-VAB,A320,AIRBUS A-320,L2J,M
0D0BAB,XA-FAP,GLF4,GULFSTREAM 4,L2J,M
0D0CAB,XB-MLB,T206,CESSNA T206 Turbo Stationair,L1P,L
0D0EAB,XB-COR,C182,CESSNA 182 Skylane,L1P,L
140AAB,RA-02731,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
14A5AB,RA-42411,YK42,YAKOVLEV Yak-142,L3J,M
1506AB,RA-67243,CL35,BOMBARDIER BD-100 Challenger 350,L2J,M
151DAB,RA-73131,B77W,BOEING 777-300ER,L2J,H
3003AB,I-AWSP,A109,AGUSTA AW-109 Grand,H2T,L
3004AB,I-ESPI,A109,AGUSTA AW-109 Grand,H2T,L
3007AB,I-MLMU,C25M,CESSNA 525 Citation M2,L2J,L
3008AB,I-TMVA,P28S,PIPER PA-28R-201T,L1P,L
31DDAB,I-7125,AP22,AEROPRACT A-22,L1P,L
33FDAB,MM55214,M346,AERMACCHI M-346 Master,L2J,M
3836AB,F-BNVL,D250,CENTRE EST DR-250 Capitaine,L1P,L
3846AB,F-BRVL,DR30,CENTRE EST Prince,L1P,L
390DAB,F-GDNL,TB20,SOCATA TB-20 Trinidad,L1P,L
3912AB,F-GEVL,TB20,SOCATA TB-20 Trinidad,L1P,L
392EAB,F-GLVL,DR40,ROBIN DR-400,L1P,L
3935AB,F-GNNL,DR40,ROBIN DR-400,L1P,L
393AAB,F-GOVL,DR40,ROBIN DR-400,L1P,L
393EAB,F-GPVL,BALL,,B0-,-
3946AB,F-GRVL,SIRA,TECNAM P-2002 Sierra,L1P,L
394AAB,F-GSVL,DR40,ROBIN DR-400,L1P,L
3952AB,F-GUVL,DA40,DIAMOND DA-40 Club Star,L1P,L
3965AB,F-GZNL,B77W,BOEING 777-300ER,L2J,H
3980AB,F-HAFL,C172,CESSNA 172 Skyhawk,L1P,L
3984AB,F-HBFL,BALL,,B0-,-
3985AB,F-HBNL,A320,AIRBUS A-320,L2J,M
3986AB,F-HBVL,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
398CAB,F-HDFL,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
398EAB,F-HDVL,SIRA,TECNAM P-2002 Sierra,L1P,L
3998AB,F-HGFL,PA46,PIPER PA-46-310/350,L1P,L
399AAB,F-HGVL,PA34,PIPER PA-34 Seneca,L2P,L
39B1AB,F-HMNL,P28R,PIPER PA-28R-180/200/201,L1P,L
39CEAB,F-HTVL,B738,BOEING 737-800,L2J,M
3AAAAB,F-MECD,NH90,NHI NH-90,H2T,M
3B76AB,195,CN35,CASA CN-235 Persuader,L2T,M
3B77AB,R208,C160,TRANSALL C-160,L2T,M
3B9BAB,85,E121,EMBRAER EMB-121 Xingu,L2T,L
3C1BAB,D-AZMK,A306,AIRBUS A-300-600,L2J,H
3C1CAB,D-AZWG,A21N,AIRBUS A-321neo,L2J,M
3C48AB,D-ABEK,B733,BOEING 737-300,L2J,M
3C4AAB,D-ABUK,B763,BOEING 767-300,L2J,H
3C64AB,D-AIEK,A21N,AIRBUS A-321neo,L2J,M
3C65AB,D-AIMK,A388,AIRBUS A-380-800,L4J,H
3C66AB,D-AIUK,A320,AIRBUS A-320,L2J,M
3C70AB,D-ALEK,B752,BOEING 757-200,L2J,M
3CC9AB,D-CDRF,LJ35,LEARJET 35,L2J,M
3D04AB,D-EAAD,C152,CESSNA 152,L1P,L
3D05AB,D-EAJZ,DR40,ROBIN DR-400,L1P,L
3D06AB,D-EATV,P28S,PIPER PA-28R-201T,L1P,L
3D07AB,D-EBDR,DO27,DORNIER Do-27,L1P,L
3D0AAB,D-ECHF,C172,CESSNA 172 Skyhawk,L1P,L
3D0CAB,D-EDAX,C172,CESSNA 172 Skyhawk,L1P,L
3D0EAB,D-EDUP,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D0FAB,D-EEEL,P28T,PIPER PA-28RT-201,L1P,L
3D10AB,D-EEOH,DA40,DIAMOND DA-40 Club Star,L1P,L
3D11AB,D-EEYD,C150,CESSNA 150,L1P,L
3D13AB,D-EFRV,C172,CESSNA 172 Skyhawk,L1P,L
3D17AB,D-EHFF,P28R,PIPER PA-28R-180/200/201,L1P,L
3D18AB,D-EHPB,P28T,PIPER PA-28RT-201,L1P,L
3D1AAB,D-EIIT,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D1BAB,D-EISP,C172,CESSNA 172 Skyhawk,L1P,L
3D1EAB,D-EJWD,EUPA,Europa,L1P,L
3D26AB,D-EMWX,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D29AB,D-EOAL,AA5,AMERICAN AA-5 Tiger,L1P,L
