00A9AC,ZS-PTR,C182,CESSNA 182 Skylane,L1P,L
00CBAC,651,BE20,BEECH 200 Super King Air,L2T,M
0101AC,SU-BTI,C295,CASA C-295 Persuader,L2T,M
0200AC,CN-MMT,GLF5,GULFSTREAM 5,L2J,M
02A0AC,TS-IFM,A332,AIRBUS A-330-200,L2J,H
04C1AC,5Y-BNG,C208,CESSNA 208 Caravan,L1T,L
06A0AC,A7-BCH,B788,BOEING 787-8 Dreamliner,L2J,H
06A2AC,A7-TTX,C240,CESSNA 240 Corvalis TTx,L1P,L
0A80AC,C6-FAB,C208,CESSNA 208 Caravan,L1T,L
0AC0AC,FAC1015,C130,LOCKHEED C-130 Hercules,L4T,M
0AC9AC,HK-5345,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
0ACAAC,HK-5413,A320,AIRBUS A-320,L2J,M
0C20AC,HP-1842CMP,B738,BOEING 737-800,L2J,M
0D02AC,XB-GBC,LJ35,LEARJET 35,L2J,M
0D07AC,XB-RDZ,C650,CESSNA 650 Citation,L2J,M
0D08AC,XB-RNL,T206,CESSNA T206 Turbo Stationair,L1P,L
0D0AAC,XA-UFF,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D0BAC,XA-IMH,B39M,BOEING 737 MAX 9,L2J,M
0D82AC,YV2949,PAY1,PIPER PA-31T1-500 Cheyenne 1,L2T,L
1457AC,RA-22444,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
14A5AC,RA-42412,YK42,YAKOVLEV Yak-142,L3J,M
1506AC,RA-67244,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
151DAC,RA-73132,B77W,BOEING 777-300ER,L2J,H
1533AC,RF-78764,IL76,ILYUSHIN Il-76/82,L4J,H
1558AC,RA-88236,YK40,YAKOVLEV Yak-40,L3J,M
155BAC,RA-89004,SU95,SUKHOI Superjet 100-95,L2J,M
3006AC,I-GRDD,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3007AC,I-ATEC,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3008AC,I-PBRC,FA7X,DASSAULT Falcon 7X,L3J,M
31DEAC,I-X063,NG5,BRM AERO NG-5/6 Bristell,L1P,L
31FFAC,I-5031,SKAR,III Sky Arrow,L1P,L
33FDAC,MM55213,M346,AERMACCHI M-346 Master,L2J,M
3826AC,F-BJVM,CP30,PIEL Emeraude,L1P,L
3849AC,F-BSNM,WA50,WASSMER WA-54 Atlantic,L1P,L
3866AC,F-AZVM,NORA,NORD Noratlas,L2P,M
390DAC,F-GDNM,TB20,SOCATA TB-20 Trinidad,L1P,L
3919AC,F-GGNM,TOBA,SOCATA Tobago,L1P,L
3921AC,F-GINM,DR40,ROBIN DR-400,L1P,L
3935AC,F-GNNM,DR40,ROBIN DR-400,L1P,L
394DAC,F-GTNM,GA8,GIPPSAERO GA-8 Airvan,L1P,L
3952AC,F-GUVM,DA40,DIAMOND DA-40 Club Star,L1P,L
3964AC,F-GZFM,BALL,,B0-,-
3981AC,F-HANM,C208,CESSNA 208 Caravan,L1T,L
3982AC,F-HAVM,BALL,,B0-,-
3986AC,F-HBVM,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
398EAC,F-HDVM,BALL,,B0-,-
39A0AC,F-HIFM,R44,ROBINSON R-44 Raven,H1P,L
39A5AC,F-HJNM,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
39CAAC,F-HSVM,DR40,ROBIN DR-400,L1P,L
39CEAC,F-HTVM,B738,BOEING 737-800,L2J,M
39D4AC,F-HVFM,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
39E4AC,F-HZFM,A320,AIRBUS A-320,L2J,M
3AAAAC,F-MECC,NH90,NHI NH-90,H2T,M
3B76AC,194,CN35,CASA CN-235 Persuader,L2T,M
3B77AC,R203,C160,TRANSALL C-160,L2T,M
3B9BAC,81,E121,EMBRAER EMB-121 Xingu,L2T,L
3C1BAC,D-AZML,A306,AIRBUS A-300-600,L2J,H
3C1CAC,D-AZWH,A21N,AIRBUS A-321neo,L2J,M
3C5CAC,D-AGEL,B737,BOEING 737-700,L2J,M
3C64AC,D-AIEL,A21N,AIRBUS A-321neo,L2J,M
3C65AC,D-AIML,A388,AIRBUS A-380-800,L4J,H
3C66AC,D-AIUL,A320,AIRBUS A-320,L2J,M
3D04AC,D-EAAE,M20P,MOONEY M-20,L1P,L
3D05AC,D-EAKA,S22T,CIRRUS SR-22T Turbo,L1P,L
3D06AC,D-EATW,DV20,DIAMOND DA-20,L1P,L
3D07AC,D-EBDS,DA40,DIAMOND DA-40 Club Star,L1P,L
3D08AC,D-EBNO,BE33,BEECH 33 Bonanza,L1P,L
3D0AAC,D-ECHG,SR20,CIRRUS SR-20,L1P,L
3D0CAC,D-EDAY,C210,CESSNA 201 Centurion,L1P,L
3D0DAC,D-EDKU,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D0EAC,D-EDUQ,PA32,PIPER PA-32,L1P,L
3D0FAC,D-EEEM,RALL,SOCATA Rallye,L1P,L
3D11AC,D-EEYE,C150,CESSNA 150,L1P,L
3D12AC,D-EFIA,C152,CESSNA 152,L1P,L
3D13AC,D-EFRW,C172,CESSNA 172 Skyhawk,L1P,L
3D14AC,D-EGBS,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D15AC,D-EGLO,KL07,BOLKOW BO-107,L1P,L
3D16AC,D-EGVK,WA50,WASSMER WA-54 Atlantic,L1P,L
3D17AC,D-EHFG,BE33,BEECH 33 Bonanza,L1P,L
3D18AC,D-EHPC,C182,CESSNA 182 Skylane,L1P,L
3D1BAC,D-EISQ,T206,CESSNA T206 Turbo Stationair,L1P,L
3D23AC,D-ELTK,DR40,ROBIN DR-400,L1P,L
3D24AC,D-EMDG,C172,CESSNA 172 Skyhawk,L1P,L
3D25AC,D-EMNC,ECHO,TECNAM P-92 Echo,L1P,L
3D27AC,D-ENGU,PA18,PIPER PA-18 Super Cub,L1P,L
3D2AAC,D-EOKI,C172,CESSNA 172 Skyhawk,L1P,L
3D2CAC,D-EPEA,SR22,CIRRUS SR-22,L1P,L
3D31AC,D-ERBG,M7,MAULE M-7,L1P,L
3D36AC,D-ESYM,ULAC,,L0-,-
3D37AC,D-ETII,LA4,LAKE LA-4/200,A1P,L
3D39AC,D-EUCA,AC11,NORTH AMERICAN ROCKWELL Commander 112/114,L1P,L
3D43AC,D-EXWM,HUSK,CHRISTEN Husky,L1P,L
3D46AC,D-EZAA,CRUZ,CSA PS-28 Cruiser,L1P,L
3DABAC,D-GLGM,P06T,TECNAM P-2006T,L2P,L
3DADAC,D-GMAE,DA42,DIAMOND DA-42 Guardian,L2P,L
3DD2AC,D-HAAM,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3DF1AC,D-HLTS,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
3DF5AC,D-HNHC,AS65,AEROSPATIALE AS-365 Dauphin 2,H2T,L
3E1DAC,D-ICKY,BE60,BEECH 60 Duke,L2P,L
3E27AC,D-IGFK,PA34,PIPER PA-34 Seneca,L2P,L
