0091AD,ZS-GRK,GLID,,L0-,-
009DAD,ZS-LFO,BE55,BEECH 55 Baron,L2P,L
00A0AD,ZS-MJC,PA25,PIPER PA-25 Pawnee,L1P,L
0101AD,SU-BSD,SR22,CIRRUS SR-22,L1P,L
0200AD,CN-TMC,C421,CESSNA 421 Executive Commuter,L2P,L
02A0AD,TS-IFN,A332,AIRBUS A-330-200,L2J,H
04C0AD,5Y-BSM,L410,LET L-410 Turbolet,L2T,L
06A0AD,A7-BCI,B788,BOEING 787-8 Dreamliner,L2J,H
0A80AD,C6-FJR,PA27,PIPER PA-23-250 Aztec,L2P,L
0AC8AD,FAC3112,E314,EMBRAER EMB-314 Super Tucano,L1T,L
0AC9AD,HK-5349,AT46,ATR-42-600,L2T,M
0C20AD,HP-1843CMP,B738,BOEING 737-800,L2J,M
0D04AD,XA-TAC,E145,EMBRAER ERJ-145,L2J,M
0D06AD,XA-IBC,LJ60,LEARJET 60,L2J,M
0D0CAD,XB-RAQ,B06,BELL 206 JetRanger,H1T,L
0D0DAD,XA-JMA,C25B,CESSNA 525B Citation CJ3,L2J,L
0D81AD,YV2911,E190,EMBRAER ERJ-190-100,L2J,M
0D82AD,YV3275,WW24,IAI 1124 Westwind,L2J,M
0D83AD,YV3465,MD83,MCDONNELL-DOUGLAS MD-83,L2J,M
1407AD,RA-01965,P32R,PIPER PA-32R-300/301/301T,L1P,L
1482AD,RA-33453,AN2,ANTONOV An-2,L1P,L
1501AD,RA-65965,,,,
1506AD,RA-67245,CL60,BOMBARDIER CL-600 Challenger,L2J,M
151DAD,RA-73133,B77W,BOEING 777-300ER,L2J,H
1533AD,RA-78765,IL76,ILYUSHIN Il-76/82,L4J,H
155BAD,RA-89005,SU95,SUKHOI Superjet 100-95,L2J,M
1809AD,RA-2477G,C182,CESSNA 182 Skylane,L1P,L
180BAD,RA-2989G,C150,CESSNA 150,L1P,L
3002AD,I-FARN,C500,CESSNA 500 Citation 1,L2J,L
3003AD,I-ADJM,E195,EMBRAER ERJ-190-200,L2J,M
3004AD,I-RELO,A109,AGUSTA AW-109 Grand,H2T,L
3006AD,I-AGHI,RV7,VANS RV-7,L1P,L
3007AD,I-TFAF,P208,TECNAM P-2008,L1P,L
300FAD,I-TFAE,TWEN,TECNAM Twenty-Ten,L1P,L
31DCAD,I-C453,SVNH,AEROTEC Savannah,L1P,L
31FFAD,I-6553,ECHO,TECNAM P-92 Echo,L1P,L
33FFAD,MM62245,F900,DASSAULT Falcon 900,L3J,M
3824AD,F-BJFN,CP30,PIEL Emeraude,L1P,L
382AAD,F-BKVN,BE35,BEECH 35 Starfire Bonanza,L1P,L
384CAD,F-BTFN,C150,CESSNA 150,L1P,L
385DAD,F-BXNN,C150,CESSNA 150,L1P,L
3865AD,F-AZNN,YK11,YAKOVLEV Yak-11,L1P,L
3902AD,F-GAVN,DR40,ROBIN DR-400,L1P,L
3922AD,F-GIVN,B47G,BELL 47G,H1P,L
392EAD,F-GLVN,DR40,ROBIN DR-400,L1P,L
393AAD,F-GOVN,DR40,ROBIN DR-400,L1P,L
3946AD,F-GRVN,J3,PIPER J-3 Cub,L1P,L
394CAD,F-GTFN,WA40,WASSMER WA-40 Super 4,L1P,L
3951AD,F-GUNN,C56X,CESSNA 560XL Citation XLS,L2J,M
3961AD,F-GYNN,P28A,PIPER PA-28-140/150/160/180,L1P,L
3965AD,F-GZNN,B77W,BOEING 777-300ER,L2J,H
3981AD,F-HANN,PC12,PILATUS PC-12,L1T,L
3984AD,F-HBFN,BALL,,B0-,-
3986AD,F-HBVN,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
3989AD,F-HCNN,C172,CESSNA 172 Skyhawk,L1P,L
39C8AD,F-HSFN,C56X,CESSNA 560XL Citation XLS,L2J,M
39CEAD,F-HTVN,B738,BOEING 737-800,L2J,M
39D1AD,F-HUNN,SIRA,TECNAM P-2002 Sierra,L1P,L
3A46AD,F-ORVN,AT76,ATR-72-600,L2T,M
3AAAAD,F-MECB,NH90,NHI NH-90,H2T,M
3B75AD,679,MIR2,DASSAULT Mirage 2000,L1J,M
3B76AD,193,CN35,CASA CN-235 Persuader,L2T,M
3C4AAD,D-ABUM,B763,BOEING 767-300,L2J,H
3C64AD,D-AIEM,A21N,AIRBUS A-321neo,L2J,M
3C65AD,D-AIMM,A388,AIRBUS A-380-800,L4J,H
3C66AD,D-AIUM,A320,AIRBUS A-320,L2J,M
3D04AD,D-EAAF,DV20,DIAMOND DA-20,L1P,L
3D05AD,D-EAKB,C150,CESSNA 150,L1P,L
3D06AD,D-EATX,SC01,FFT Speed Canard,L1P,L
3D0DAD,D-EDKV,P28R,PIPER PA-28R-180/200/201,L1P,L
3D0EAD,D-EDUR,F260,AERMACCHI SF-260,L1P,L
3D13AD,D-EFRX,RALL,SOCATA Rallye,L1P,L
3D15AD,D-EGLP,C150,CESSNA 150,L1P,L
3D17AD,D-EHFH,DR40,ROBIN DR-400,L1P,L
3D1EAD,D-EJWF,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D22AD,D-ELJP,C150,CESSNA 150,L1P,L
3D24AD,D-EMDH,C150,CESSNA 150,L1P,L
3D27AD,D-ENGV,PA18,PIPER PA-18 Super Cub,L1P,L
3D29AD,D-EOAN,LEG2,LANCAIR Legacy,L1P,L
3D2CAD,D-EPEB,BE36,BEECH 36 Bonanza,L1P,L
3D31AD,D-ERBH,TOBA,SOCATA Tobago,L1P,L
3D35AD,D-ESOR,P28S,PIPER PA-28R-201T,L1P,L
3D3DAD,D-EVPL,DR40,ROBIN DR-400,L1P,L
3D42AD,D-EXMR,E300,EXTRA EA-300/330/350,L1P,L
3D46AD,D-EZAB,C182,CESSNA 182 Skylane,L1P,L
3D94AD,D-GCOB,DA42,DIAMOND DA-42 Guardian,L2P,L
3DA3AD,D-GIFT,DA42,DIAMOND DA-42 Guardian,L2P,L
3DABAD,D-GLGN,P06T,TECNAM P-2006T,L2P,L
3DD4AD,D-HAUF,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3DEBAD,D-HJMR,B407,BELL 407,H1T,L
3DEFAD,D-HLAB,B105,EUROCOPTER BO-105,H2T,L
3DF1AD,D-HLTT,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
3DF5AD,D-HNHD,EC55,AIRBUS HELICOPTERS EC-155,H2T,L
3E34AD,D-ILDL,C25A,CESSNA 525A Citation CJ2,L2J,L
3E5EAD,D-KBAZ,SF25,SCHEIBE SF-25 Falke,L1P,L
3E60AD,D-KBUR,SF25,SCHEIBE SF-25 Falke,L1P,L
3E64AD,D-KDIB,ARCP,SCHEMPP-HIRTH Arcus M,L1P,L
3E66AD,D-KEBT,PK20,PIK 20E,L1P,L
3E68AD,D-KEVL,AS26,SCHLEICHER ASH-26,L1P,L
3E74AD,D-KJJP,GLID,,L0-,-
3E76AD,D-KKDH,DG80,DG FLUGZEUGBAU DG-800,L1P,L
3E7DAD,D-KMUF,DG80,DG FLUGZEUGBAU DG-800,L1P,L
3E7EAD,D-KNEB,G109,GROB G-109,L1P,L
3ECBAD,D-KSCB,DG80,DG FLUGZEUGBAU DG-800,L1P,L
3EE9AD,D-2326,GLID,,L0-,-
3EEBAD,D-2838,GLID,,L0-,-
