008DAF,ZS-FEC,P28R,PIPER PA-28R-180/200/201,L1P,L
0094AF,ZS-HVA,BALL,,B0-,-
0098AF,ZS-JIK,C510,CESSNA 510 Citation Mustang,L2J,L
00A1AF,ZS-MTA,C210,CESSNA 201 Centurion,L1P,L
00A2AF,ZS-NCW,C210,CESSNA 201 Centurion,L1P,L
00A5AF,ZS-OGK,PA25,PIPER PA-25 Pawnee,L1P,L
00B2AF,ZS-TEK,P32R,PIPER PA-32R-300/301/301T,L1P,L
0200AF,CN-ROZ,B738,BOEING 737-800,L2J,M
02A1AF,TS-INP,A320,AIRBUS A-320,L2J,M
04C0AF,5Y-VVZ,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
0640AF,5N-BKR,B735,BOEING 737-500,L2J,M
06A0AF,A7-BCK,B788,BOEING 787-8 Dreamliner,L2J,H
06A2AF,A7-BEK,B77W,BOEING 777-300ER,L2J,H
08CEAF,9S-ALU,A320,AIRBUS A-320,L2J,M
0A80AF,C6-TMM,BE9L,BEECH 90 King Air,L2T,L
0AC8AF,FAC3114,E314,EMBRAER EMB-314 Super Tucano,L1T,L
0AC9AF,HK-5208G,SR22,CIRRUS SR-22,L1P,L
0B06AF,CU-T1711,A158,ANTONOV An-158,L2J,M
0BE2AF,JDFH-37,B429,BELL 429 GlobalRanger,H2T,L
0D04AF,XA-IAC,E190,EMBRAER ERJ-190-100,L2J,M
0D05AF,3202,C295,CASA C-295 Persuader,L2T,M
0D0AAF,XA-FGL,G280,GULFSTREAM G280,L2J,M
0D0BAF,XB-EJS,AC90,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,L2T,L
0D0DAF,XB-VRM,G280,GULFSTREAM G280,L2J,M
0D81AF,YV2913,E190,EMBRAER ERJ-190-100,L2J,M
141CAF,RA-07343,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
1467AF,RA-26543,AN26,ANTONOV An-26,L2T,M
1506AF,RA-67247,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
151DAF,RA-73135,A332,AIRBUS A-330-200,L2J,H
152AAF,RA-76463,IL76,ILYUSHIN Il-76/82,L4J,H
152BAF,RA-76719,IL76,ILYUSHIN Il-76/82,L4J,H
155BAF,RA-89007,SU95,SUKHOI Superjet 100-95,L2J,M
3003AF,I-ADJO,E195,EMBRAER ERJ-190-200,L2J,M
3004AF,I-CRRS,ECHO,TECNAM P-92 Echo,L1P,L
3007AF,I-CNTF,P208,TECNAM P-2008,L1P,L
3008AF,I-PNTP,A109,AGUSTA AW-109 Grand,H2T,L
31DCAF,I-7729,SONX,SONEX AIRCRAFT Sonex,L1P,L
31DEAF,I-9036,SIRA,TECNAM P-2002 Sierra,L1P,L
33FFAF,MM62243,A319,AIRBUS A-319,L2J,M
385EAF,F-BXVP,DR40,ROBIN DR-400,L1P,L
3904AF,F-GBFP,C172,CESSNA 172 Skyhawk,L1P,L
3906AF,F-GBVP,DR40,ROBIN DR-400,L1P,L
3909AF,F-GCNP,C152,CESSNA 152,L1P,L
390DAF,F-GDNP,TB20,SOCATA TB-20 Trinidad,L1P,L
3912AF,F-GEVP,TB20,SOCATA TB-20 Trinidad,L1P,L
3919AF,F-GGNP,TB20,SOCATA TB-20 Trinidad,L1P,L
3938AF,F-GOFP,C152,CESSNA 152,L1P,L
393AAF,F-GOVP,DR40,ROBIN DR-400,L1P,L
3948AF,F-GSFP,DR10,CENTRE EST Ambassadeur,L1P,L
3954AF,F-GVFP,A210,AQUILA A-210,L1P,L
3960AF,F-GYFP,C172,CESSNA 172 Skyhawk,L1P,L
3965AF,F-GZNP,B77W,BOEING 777-300ER,L2J,H
3980AF,F-HAFP,C172,CESSNA 172 Skyhawk,L1P,L
3992AF,F-HEVP,TWEN,TECNAM Twenty-Ten,L1P,L
3995AF,F-HFNP,C208,CESSNA 208 Caravan,L1T,L
39A4AF,F-HJFP,PC12,PILATUS PC-12,L1T,L
39A5AF,F-HJNP,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
39BEAF,F-HPVP,SR22,CIRRUS SR-22,L1P,L
39CEAF,F-HTVP,B738,BOEING 737-800,L2J,M
3A24AF,F-OJFP,E300,EXTRA EA-300/330/350,L1P,L
3AAAAF,F-MEBZ,NH90,NHI NH-90,H2T,M
3B9BAF,74,E121,EMBRAER EMB-121 Xingu,L2T,L
3C00AF,D-APGS,A319,AIRBUS A-319,L2J,M
3C1BAF,D-AZMO,A306,AIRBUS A-300-600,L2J,H
3C64AF,D-AIEO,A21N,AIRBUS A-321neo,L2J,M
3C66AF,D-AIUO,A320,AIRBUS A-320,L2J,M
3C70AF,D-ALEO,B752,BOEING 757-200,L2J,M
