0085B8,ZS-CDR,PA18,PIPER PA-18 Super Cub,L1P,L
0086B8,ZS-CNN,PA27,PIPER PA-23-250 Aztec,L2P,L
008BB8,ZS-EKT,BE35,BEECH 35 Starfire Bonanza,L1P,L
008EB8,ZS-FOH,P28A,PIPER PA-28-140/150/160/180,L1P,L
009DB8,ZS-LFZ,PA34,PIPER PA-34 Seneca,L2P,L
00A4B8,ZS-NWX,PZ06,PZL-OKECIE PZL-106 Kruk,L1P,L
00B1B8,ZS-SUX,SR22,CIRRUS SR-22,L1P,L
00C4B8,ZS-ZZZ,SR22,CIRRUS SR-22,L1P,L
0101B8,SU-GEH,B738,BOEING 737-800,L2J,M
0200B8,CN-BTI,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
04C1B8,5Y-SMS,F50,FOKKER 50,L2T,M
0642B8,5N-FG1,A189,AGUSTA AW-189,H2T,M
06A0B8,A7-BCT,B788,BOEING 787-8 Dreamliner,L2J,H
06A1B8,A7-LAA,A320,AIRBUS A-320,L2J,M
06A2B8,A7-BET,B77W,BOEING 777-300ER,L2J,H
08A0B8,9J-MCL,B350,BEECHCRAFT Super King Air 350,L2T,M
0A80B8,C6-FUZ,DH8C,DE HAVILLAND DHC-8-300 Dash 8,L2T,M
0AC7B8,EJC2102,H60,SIKORSKY UH-60 Black Hawk,H2T,M
0AC8B8,FAC3124,E314,EMBRAER EMB-314 Super Tucano,L1T,L
0AC9B8,HK-4860,BE9L,BEECH 90 King Air,L2T,L
0C20B8,HP-1895PST,F100,FOKKER 100,L2J,M
0D01B8,XA-SDU,C650,CESSNA 650 Citation,L2J,M
0D06B8,XA-LAG,PC12,PILATUS PC-12,L1T,L
0D08B8,XA-MYM,G200,AKROTECH G-200,L1P,L
0D09B8,XA-KIM,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D0AB8,XA-NYM,BE20,BEECH 200 Super King Air,L2T,M
0D0BB8,XA-VIS,A20N,AIRBUS A-320neo,L2J,M
0D0CB8,XB-MZE,PAY1,PIPER PA-31T1-500 Cheyenne 1,L2T,L
0D0DB8,XA-MFM,B38M,BOEING 737 MAX 8,L2J,M
0D80B8,YV2937,B732,BOEING 737-200,L2J,M
1130B8,TWR,TWR,,T0-,-
1407B8,RA-01976,A139,AGUSTA AW-139,H2T,L
140AB8,RA-02744,E190,EMBRAER ERJ-190-100,L2J,M
1410B8,RA-04280,R44,ROBINSON R-44 Raven,H1P,L
1501B8,RA-65976,,,,
