0093CA,ZS-HMF,A119,AGUSTA AW-119 Koala,H1T,L
00A2CA,ZS-NDX,C560,CESSNA 560 Citation Ultra,L2J,M
00A4CA,ZS-NXP,P28A,PIPER PA-28-140/150/160/180,L1P,L
00A6CA,ZS-ORH,P28A,PIPER PA-28-140/150/160/180,L1P,L
00ADCA,ZS-RIF,B06,BELL 206 JetRanger,H1T,L
00AECA,ZS-RSB,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
00AFCA,ZS-SBX,C152,CESSNA 152,L1P,L
00B2CA,ZS-TFL,E135,EMBRAER ERJ-135,L2J,M
0101CA,SU-CCG,A139,AGUSTA AW-139,H2T,L
0200CA,CN-RGC,B788,BOEING 787-8 Dreamliner,L2J,H
02A1CA,TS-IOK,B736,BOEING 737-600,L2J,M
04C1CA,5Y-JXD,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
0642CA,5N-BZY,E145,EMBRAER ERJ-145,L2J,M
06A1CA,A7-CGE,GLF6,GULFSTREAM G650,L2J,M
06A2CA,A7-UAB,EFOX,AEROPRO Eurofox,L1P,L
0AC3CA,HK-5282,AT46,ATR-42-600,L2T,M
0C40CA,HI1058,CRJ2,BOMBARDIER Regional Jet CRJ-200,L2J,M
0D02CA,XA-AFX,LJ31,LEARJET 31,L2J,M
0D04CA,XB-PZG,C550,CESSNA 550 Citation S2,L2J,L
0D06CA,XA-STK,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D07CA,XA-RYK,CL60,BOMBARDIER CL-600 Challenger,L2J,M
0D08CA,XA-UMS,C510,CESSNA 510 Citation Mustang,L2J,L
0D09CA,XA-MKA,C25C,CESSNA 525C Citation CJ4,L2J,M
0D0ACA,XA-VAX,A320,AIRBUS A-320,L2J,M
0D0CCA,XC-LPS,R66,ROBINSON R-66,H1T,L
112CCA,GND,GND,,V0-,-
1407CA,RA-01994,A139,AGUSTA AW-139,H2T,L
140ACA,RA-02762,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
141CCA,RA-07370,R66,ROBINSON R-66,H1T,L
14A5CA,RA-42442,YK42,YAKOVLEV Yak-142,L3J,M
14BACA,RA-47818,AN24,ANTONOV An-24,L2T,M
1501CA,RA-65994,T134,TUPOLEV Tu-134,L2J,M
1505CA,RA-67018,L410,LET L-410 Turbolet,L2T,L
151DCA,RA-73162,A321,AIRBUS A-321,L2J,M
151ECA,RA-73418,A321,AIRBUS A-321,L2J,M
151FCA,RA-73674,A319,AIRBUS A-319,L2J,M
1533CA,RA-78794,IL76,ILYUSHIN Il-76/82,L4J,H
155BCA,RA-89034,SU95,SUKHOI Superjet 100-95,L2J,M
1F2BCA,RF-76746,IL76,ILYUSHIN Il-76/82,L4J,H
3001CA,I-SEAE,F2TH,DASSAULT Falcon 2000,L2J,M
3005CA,I-EAAT,P06T,TECNAM P-2006T,L2P,L
3006CA,I-BBAK,C182,CESSNA 182 Skylane,L1P,L
3007CA,I-HIKE,R44,ROBINSON R-44 Raven,H1P,L
3008CA,I-MCLG,R22,ROBINSON R-22 Mariner,H1P,L
31DECA,I-D677,PRIM,BLACKSHAPE Prime,L1P,L
33FECA,MM62264,P66T,PIAGGIO P-166DP1,L2T,L
3420CA,EC-IXD,A321,AIRBUS A-321,L2J,M
3430CA,EC-KLV,A139,AGUSTA AW-139,H2T,L
3434CA,EC-LEV,A346,AIRBUS A-340-600,L4J,H
3444CA,EC-MAI,A320,AIRBUS A-320,L2J,M
3450CA,EC-MHJ,AT75,ATR-72-500,L2T,M
3451CA,EC-MJG,AT76,ATR-72-600,L2T,M
3452CA,EC-MNN,AT76,ATR-72-600,L2T,M
3460CA,EC-IHC,DV20,DIAMOND DA-20,L1P,L
3461CA,EC-NCA,P06T,TECNAM P-2006T,L2P,L
3472CA,EC-NUV,P208,TECNAM P-2008,L1P,L
3532CA,T.23-11,A400,AIRBUS A-400M,L4T,H
3571CA,E.27-10,PC21,PILATUS PC-21,L1T,L
3835CA,F-BNOK,BE55,BEECH 55 Baron,L2P,L
3865CA,F-AZOK,YK11,YAKOVLEV Yak-11,L1P,L
3901CA,F-GAOK,DR40,ROBIN DR-400,L1P,L
390DCA,F-GDOK,C152,CESSNA 152,L1P,L
392CCA,F-GLGK,RALL,SOCATA Rallye,L1P,L
392DCA,F-GLOK,C172,CESSNA 172 Skyhawk,L1P,L
393DCA,F-GPOK,BALL,,B0-,-
3944CA,F-GRGK,E145,EMBRAER ERJ-145,L2J,M
3950CA,F-GUGK,A318,AIRBUS A-318,L2J,M
395DCA,F-GXOK,P28A,PIPER PA-28-140/150/160/180,L1P,L
3964CA,F-GZGK,D140,JODEL D-140 Mousquetaire,L1P,L
3980CA,F-HAGK,EC30,AIRBUS HELICOPTERS EC-130,H1T,L
39ADCA,F-HLOK,R44,ROBINSON R-44 Raven,H1P,L
39C5CA,F-HROK,A333,AIRBUS A-330-300,L2J,H
3AAACA,F-MEAY,NH90,NHI NH-90,H2T,M
3AABCA,5593,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B76CA,F-RAVO,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
3B77CA,072,CN35,CASA CN-235 Persuader,L2T,M
3C07CA,D-ARYR,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
3C0ACA,D-ATCF,A321,AIRBUS A-321,L2J,M
3C17CA,D-AYAF,A21N,AIRBUS A-321neo,L2J,M
3C1CCA,D-AZXL,A21N,AIRBUS A-321neo,L2J,M
3C4DCA,D-ACNJ,CRJ9,BOMBARDIER Regional Jet CRJ-900,L2J,M
3C65CA,D-AINJ,A20N,AIRBUS A-320neo,L2J,M
3C6DCA,D-AKNJ,A319,AIRBUS A-319,L2J,M
3C70CA,D-ALFJ,B77L,BOEING 777-200LR,L2J,H
3CC5CA,D-CCFA,B350,BEECHCRAFT Super King Air 350,L2T,M
3CCDCA,D-CFFU,D228,DORNIER 228,L2T,L
3D05CA,D-EALE,C172,CESSNA 172 Skyhawk,L1P,L
3D07CA,D-EBEW,SR20,CIRRUS SR-20,L1P,L
3D08CA,D-EBOS,B209,MBB BO-209 Monsun,L1P,L
3D09CA,D-EBYO,PA18,PIPER PA-18 Super Cub,L1P,L
3D0ACA,D-ECIK,C172,CESSNA 172 Skyhawk,L1P,L
3D0BCA,D-ECSG,C172,CESSNA 172 Skyhawk,L1P,L
3D0DCA,D-EDLY,C172,CESSNA 172 Skyhawk,L1P,L
3D0ECA,D-EDVU,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D0FCA,D-EEFQ,C172,CESSNA 172 Skyhawk,L1P,L
3D10CA,D-EEPM,P28R,PIPER PA-28R-180/200/201,L1P,L
3D11CA,D-EEZI,C206,CESSNA  206 Stationair,L1P,L
3D12CA,D-EFJE,C150,CESSNA 150,L1P,L
3D13CA,D-EFTA,A210,AQUILA A-210,L1P,L
3D14CA,D-EGCW,C152,CESSNA 152,L1P,L
3D15CA,D-EGMS,DR40,ROBIN DR-400,L1P,L
3D16CA,D-EGWO,BE23,BEECH 23 Sundowner,L1P,L
3D17CA,D-EHGK,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D22CA,D-ELKS,P149,PIAGGIO P-149,L1P,L
3D24CA,D-EMEK,PA18,PIPER PA-18 Super Cub,L1P,L
3D25CA,D-EMOG,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D2ACA,D-EOLM,C172,CESSNA 172 Skyhawk,L1P,L
3D2FCA,D-EQIS,A210,AQUILA A-210,L1P,L
3D32CA,D-ERMG,TOBA,SOCATA Tobago,L1P,L
3D3BCA,D-EUWW,DR40,ROBIN DR-400,L1P,L
3D3CCA,D-EVGS,BE35,BEECH 35 Starfire Bonanza,L1P,L
3D47CA,D-EZLA,Z26,ZLIN Z-26/126/226/326/526/626/726,L1P,L
3D67CA,D-FLOC,C208,CESSNA 208 Caravan,L1T,L
3DD2CA,D-HABQ,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3DD4CA,D-HAVI,G2CA,GUIMBAL G-2 Cabri,H1P,L
3DD6CA,D-HBPA,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3DF7CA,D-HOBY,H500,HUGHES 500,H1T,L
3E07CA,D-HUDM,B105,EUROCOPTER BO-105,H2T,L
3E1ECA,D-ICVY,BE58,BEECH 58 Baron,L2P,L
3E29CA,D-IHAG,C551,CESSNA 551 Citation 2SP,L2J,L
3E5CCA,D-KAIK,GLID,,L0-,-
3E5DCA,D-KASG,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3E65CA,D-KDTA,G109,GROB G-109,L1P,L
3E69CA,D-KFGK,GLID,,L0-,-
3E6BCA,D-KGAC,DIMO,DIAMOND H-36 Dimona,L1P,L
3E76CA,D-KKEK,GLID,,L0-,-
3E7CCA,D-KMLM,AS25,SCHLEICHER ASH-25,L1P,L
3E95CA,14+05,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
3EC1CA,D-KOIS,DIMO,DIAMOND H-36 Dimona,L1P,L
3EC2CA,D-KOSO,DIMO,DIAMOND H-36 Dimona,L1P,L
3EDECA,D-KZIG,ARCP,SCHEMPP-HIRTH Arcus M,L1P,L
3EF3CA,D-4915,GLID,,L0-,-
3EFBCA,D-6963,GLID,,L0-,-
3F03CA,D-9011,GLID,,L0-,-
3F4DCA,78+13,NH90,NHI NH-90,H2T,M
3F85CA,79+09,NH90,NHI NH-90,H2T,M
3FC8CA,D-ONLY,BALL,,B0-,-
3FEACA,D-MROP,FK9,B&F TECHNIK FK-9,L1P,L
3FECCA,D-MTAH,FK14,B&F TECHNIK FK-14 Polaris,L1P,L
3FEECA,D-MIST,MT,ROTORSPORT MTOSport,G1P,L
3FEFCA,D-MWHB,ALSL,AIRLONY Skylane,L1P,L
3FF0CA,D-MACC,C42,IKARUS C-42 Bison,L1P,L
3FF1CA,D-MUGH,C42,IKARUS C-42 Bison,L1P,L
3FF2CA,D-MEDU,CH60,ZENAIR CH-600 Zodiac,L1P,L
3FF3CA,D-MKEJ,FK14,B&F TECHNIK FK-14 Polaris,L1P,L
3FF4CA,D-MHSF,SAVG,ZLIN AVIATION Savage,L1P,L
3FF5CA,D-MPCE,NG5,BRM AERO NG-5/6 Bristell,L1P,L
4004CA,G-DOCB,B734,BOEING 737-400,L2J,M
4009CA,G-FRAH,FA20,DASSAULT Falcon 200,L2J,M
400ACA,G-UILT,C303,CESSNA T303 Crusader,L2P,L
