0082D1,ZS-BBC,E145,EMBRAER ERJ-145,L2J,M
0086D1,ZS-COM,C182,CESSNA 182 Skylane,L1P,L
00A1D1,ZS-MUI,C414,CESSNA 414 Chancellor,L2P,L
0100D1,SU-BPM,AN72,ANTONOV An-74-200,L2J,M
0101D1,SU-BTV,FA7X,DASSAULT Falcon 7X,L3J,M
0200D1,CN-TAX,BE9L,BEECH 90 King Air,L2T,L
02A1D1,TS-IOR,B736,BOEING 737-600,L2J,M
04C0D1,5Y-VVU,DH8D,DE HAVILLAND DHC-8-400 Dash 8,L2T,M
0641D1,5N-BTK,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
06A0D1,A7-HBQ,B412,BELL 412,H2T,L
06A1D1,A7-CGM,GLF6,GULFSTREAM G650,L2J,M
06A2D1,A7-JJJ,DA40,DIAMOND DA-40 Club Star,L1P,L
0700D1,6V-AGR,P28A,PIPER PA-28-140/150/160/180,L1P,L
0AC3D1,HK-5273,A320,AIRBUS A-320,L2J,M
0D05D1,XA-VFI,A320,AIRBUS A-320,L2J,M
0D07D1,XA-MMA,HA4T,RAYTHEON 4000 Hawker Horizon,L2J,M
0D08D1,XA-DHM,B789,BOEING 787-9 Dreamliner,L2J,H
0D0AD1,XA-JVC,E550,EMBRAER EMB-550 Praetor 600,L2J,M
0D0BD1,XA-CLR,GLF6,GULFSTREAM G650,L2J,M
0D0CD1,XC-LPQ,R66,ROBINSON R-66,H1T,L
0D0DD1,XA-DAP,B38M,BOEING 737 MAX 8,L2J,M
1101D1,TWR,TWR,,T0-,-
1130D1,GND,GND,,V0-,-
1506D1,RA-67281,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
151CD1,RA-72913,AN72,ANTONOV An-74-200,L2J,M
151DD1,RA-73169,A20N,AIRBUS A-320neo,L2J,M
151ED1,RA-73425,A20N,AIRBUS A-320neo,L2J,M
151FD1,RA-73681,A319,AIRBUS A-319,L2J,M
155BD1,RA-89041,SU95,SUKHOI Superjet 100-95,L2J,M
156ED1,93913,AN12,ANTONOV An-12,L4T,M
3003D1,I-ISAN,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3004D1,I-ASAP,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3005D1,I-PNTK,A139,AGUSTA AW-139,H2T,L
3007D1,I-SAGE,BE40,BEECH 400 Beechjet,L2J,M
3008D1,I-BCSO,F2TH,DASSAULT Falcon 2000,L2J,M
33FFD1,MM62207,P180,PIAGGIO P-180 Avanti,L2T,L
3423D1,EC-JOB,C172,CESSNA 172 Skyhawk,L1P,L
3424D1,EC-JYX,A320,AIRBUS A-320,L2J,M
3435D1,EC-LHG,C172,CESSNA 172 Skyhawk,L1P,L
3440D1,EC-LLZ,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3443D1,EC-LUN,A320,AIRBUS A-320,L2J,M
3444D1,EC-MBE,A320,AIRBUS A-320,L2J,M
3445D1,EC-MCB,A320,AIRBUS A-320,L2J,M
3450D1,EC-333,A332,AIRBUS A-330-200,L2J,H
3451D1,EC-MJI,W3,PZL-SWIDNIK W-3,H2T,L
3455D1,EC-MTA,TBM8,SOCATA TBM-850,L1T,L
3461D1,EC-XQT,AP32,AEROPRACT A-32,L1P,L
3839D1,F-BOOR,PA18,PIPER PA-18 Super Cub,L1P,L
3849D1,F-BSOR,DR30,CENTRE EST Prince,L1P,L
3855D1,F-BVOR,ST10,SOCATA ST-10 Super Horizon,L1P,L
3900D1,F-GAGR,C172,CESSNA 172 Skyhawk,L1P,L
