0090DA,ZS-GJH,GLID,,L0-,-
0094DA,ZS-HWR,EN28,ENSTROM F-28,H1P,L
009EDA,ZS-LRD,M5,MAULE M-5,L1P,L
00A7DA,ZS-PBT,E120,EMBRAER EMB-120 Brasilia,L2T,M
00B2DA,ZS-TGB,B733,BOEING 737-300,L2J,M
0101DA,SU-KHP,B773,BOEING 777-300,L2J,H
0428DA,3C-MAF,IL76,ILYUSHIN Il-76/82,L4J,H
0429DA,3C-LLY,B738,BOEING 737-800,L2J,M
04C0DA,5Y-FFB,E190,EMBRAER ERJ-190-100,L2J,M
06A0DA,A7-GHK,A139,AGUSTA AW-139,H2T,L
06A2DA,A7-RRR,DA40,DIAMOND DA-40 Club Star,L1P,L
0900DA,D2-EZL,EC25,AIRBUS HELICOPTERS EC-225/725,H2T,M
0AC7DA,FAC4472,B06,BELL 206 JetRanger,H1T,L
0C20DA,AN-262,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
0D00DA,XA-PRA,LJ45,LEARJET 45,L2J,M
0D06DA,ANX-1230,DH8B,DE HAVILLAND DHC-8-200 Dash 8,L2T,M
0D07DA,6610,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0D08DA,XA-MCS,CRJ1,BOMBARDIER Regional Jet CRJ-100,L2J,M
0D0BDA,XB-PAX,C550,CESSNA 550 Citation S2,L2J,L
0D0CDA,XB-RJF,LJ45,LEARJET 45,L2J,M
0D0DDA,XA-CCO,B38M,BOEING 737 MAX 8,L2J,M
0D83DA,YV2672,PA34,PIPER PA-34 Seneca,L2P,L
1059DA,TWR,TWR,,T0-,-
1410DA,RA-04314,R44,ROBINSON R-44 Raven,H1P,L
1427DA,RA-10202,GLF5,GULFSTREAM 5,L2J,M
14A5DA,RA-42458,YK42,YAKOVLEV Yak-142,L3J,M
151DDA,RA-73178,A321,AIRBUS A-321,L2J,M
151EDA,RA-73434,A20N,AIRBUS A-320neo,L2J,M
151FDA,RA-73690,A320,AIRBUS A-320,L2J,M
1526DA,RF-75315,IL18,ILYUSHIN Il-18,L4T,M
152BDA,RA-76762,,,,
1533DA,RF-78810,,,,
155BDA,RA-89050,SU95,SUKHOI Superjet 100-95,L2J,M
3003DA,I-RVNG,RV8,VANS RV-8,L1P,L
3004DA,I-ESML,HUSK,CHRISTEN Husky,L1P,L
3005DA,I-ACAQ,P208,TECNAM P-2008,L1P,L
3006DA,I-AWCV,A119,AGUSTA AW-119 Koala,H1T,L
3007DA,I-SKRW,SKAR,III Sky Arrow,L1P,L
3008DA,I-AACC,R44,ROBINSON R-44 Raven,H1P,L
33FFDA,MM62199,P180,PIAGGIO P-180 Avanti,L2T,L
3421DA,EC-HTS,E120,EMBRAER EMB-120 Brasilia,L2T,M
3423DA,EC-IAT,C182,CESSNA 182 Skylane,L1P,L
3424DA,EC-JXY,AS65,AEROSPATIALE AS-365 Dauphin 2,H2T,L
3431DA,EC-KXE,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3434DA,EC-LDV,BALL,,B0-,-
3444DA,EC-MBS,A320,AIRBUS A-320,L2J,M
3451DA,EC-MJQ,CRJX,BOMBARDIER Regional Jet CRJ-1000,L2J,M
3452DA,EC-339,A332,AIRBUS A-330-200,L2J,H
3455DA,EC-MTF,A319,AIRBUS A-319,L2J,M
3461DA,EC-JKN,TOBA,SOCATA Tobago,L1P,L
3463DA,EC-NHM,A333,AIRBUS A-330-300,L2J,H
3593DA,HE.26-21,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
3800DA,F-WWKA,A332,AIRBUS A-330-200,L2J,H
3801DA,F-WWIC,A20N,AIRBUS A-320neo,L2J,M
3803DA,F-WWKV,A332,AIRBUS A-330-200,L2J,H
3809DA,F-WWAV,A388,AIRBUS A-380-800,L4J,H
380ADA,F-WWCF,A359,AIRBUS A-350-900,L2J,H
380BDA,F-WWCN,A332,AIRBUS A-330-200,L2J,H
380DDA,F-WWBG,A20N,AIRBUS A-320neo,L2J,M
380EDA,F-WWBP,A320,AIRBUS A-320,L2J,M
