008DDB,ZS-FFU,C206,CESSNA  206 Stationair,L1P,L
0091DB,ZS-GTE,GLID,,L0-,-
0097DB,ZS-JAG,B190,BEECH 1900,L2T,M
0098DB,ZS-JKC,BE58,BEECH 58 Baron,L2P,L
00B2DB,ZS-TGC,E135,EMBRAER ERJ-135,L2J,M
0100DB,SU-GCM,B738,BOEING 737-800,L2J,M
0101DB,SU-GER,B789,BOEING 787-9 Dreamliner,L2J,H
04C0DB,5Y-FFC,E190,EMBRAER ERJ-190-100,L2J,M
06A0DB,A7-BBI,B77L,BOEING 777-200LR,L2J,H
06A2DB,A7-OOO,DA40,DIAMOND DA-40 Club Star,L1P,L
0900DB,D2-TEI,B77W,BOEING 777-300ER,L2J,H
0AC7DB,FAC4473,B06,BELL 206 JetRanger,H1T,L
0C20DB,HP-3110DAE,B734,BOEING 737-400,L2J,M
0D03DB,XB-IXT,C501,CESSNA 501 Citation 1SP,L2J,L
0D07DB,6611,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0D0CDB,XA-NZF,C650,CESSNA 650 Citation,L2J,M
0D0DDB,XA-CCN,B38M,BOEING 737 MAX 8,L2J,M
0D80DB,YV2844,C25A,CESSNA 525A Citation CJ2,L2J,L
1059DB,TWR,TWR,,T0-,-
1427DB,RA-10203,GLF5,GULFSTREAM 5,L2J,M
151DDB,RA-73179,A320,AIRBUS A-320,L2J,M
151EDB,RA-73435,A20N,AIRBUS A-320neo,L2J,M
151FDB,RA-73691,A320,AIRBUS A-320,L2J,M
1526DB,RA-75483,IL18,ILYUSHIN Il-18,L4T,M
152BDB,RA-76763,IL76,ILYUSHIN Il-76/82,L4J,H
1533DB,RF-78811,IL76,ILYUSHIN Il-76/82,L4J,H
155BDB,RA-89051,SU95,SUKHOI Superjet 100-95,L2J,M
3002DB,I-PVLJ,DA40,DIAMOND DA-40 Club Star,L1P,L
31DDDB,I-D188,VL3,AVEKO Flamingo,L1P,L
31DEDB,I-D690,KP5,JIHLAVAN KP-5 Skyleader,L1P,L
33FFDB,MM62127,C27J,ALENIA C-27J Spartan,L2T,M
3829DB,F-PEAC,D150,JODEL D-150 Mascaret,L1P,L
3830DB,F-CGGR,DISC,SCHEMPP-HIRTH Discus,L1P,L
3834DB,F-PRBX,D11,JODEL D-11x/12x,L1P,L
3835DB,F-CEYS,SF28,SCHEIBE SF-28 Tandem Falke,L1P,L
3839DB,F-PDPE,MCR4,DYNAERO MCR-2/4,L1P,L
383ADB,F-CHFN,GLID,,L0-,-
383CDB,F-CGQJ,GLID,,L0-,-
383DDB,F-PSDZ,PULS,Pulsar,L1P,L
383EDB,F-AZJS,SPIT,SUPERMARINE Spitfire,L1P,L
383FDB,F-PNUH,D11,JODEL D-11x/12x,L1P,L
3840DB,F-CGST,GLID,,L0-,-
3842DB,F-PHOT,MCR1,COLOMBAN Ban-Bi,L1P,L
3846DB,F-POPN,D140,JODEL D-140 Mousquetaire,L1P,L
3847DB,F-PFCL,QR01,QUERCY CQR-01,L1P,L
3855DB,F-WMXN,ZZZZ,,-0-,-
385BDB,F-WKVF,AT76,ATR-72-600,L2T,M
385CDB,F-WNUC,GYRO,,G0-,-
385EDB,F-WJKP,A359,AIRBUS A-350-900,L2J,H
3868DB,F-POCJ,EUPA,Europa,L1P,L
386FDB,F-PELA,CRUZ,CSA PS-28 Cruiser,L1P,L
3873DB,F-PACP,D11,JODEL D-11x/12x,L1P,L
387DDB,F-PALL,BALL,,B0-,-
3881DB,F-PRRD,COZY,CO-Z Cozy,L1P,L
3886DB,F-WXAG,A21N,AIRBUS A-321neo,L2J,M
3889DB,F-CIJM,VENT,SCHEMPP-HIRTH Ventus,L1P,L
388ADB,F-PRPM,D140,JODEL D-140 Mousquetaire,L1P,L
388DDB,F-WZFH,A359,AIRBUS A-350-900,L2J,H
388EDB,F-WZFO,A359,AIRBUS A-350-900,L2J,H
388FDB,F-WZFW,A359,AIRBUS A-350-900,L2J,H
3892DB,F-WZGC,A359,AIRBUS A-350-900,L2J,H
3894DB,F-WZGS,A359,AIRBUS A-350-900,L2J,H
3896DB,F-WTAS,ZZZZ,,-0-,-
3898DB,F-PVAC,RV6,VANS RV-6,L1P,L
389BDB,F-WZHH,A359,AIRBUS A-350-900,L2J,H
389EDB,F-WZNG,A359,AIRBUS A-350-900,L2J,H
