008ADD,ZS-ECI,DH82,DE HAVILLAND DH-82 Tiger Moth,L1P,L
0094DD,ZS-HWU,B06,BELL 206 JetRanger,H1T,L
00A3DD,ZS-NOM,JS41,BRITISH AEROSPACE Jetstream 41,L2T,M
0100DD,SU-GCO,B738,BOEING 737-800,L2J,M
0101DD,SU-GET,B789,BOEING 787-9 Dreamliner,L2J,H
0200DD,CN-MNZ,FA10,DASSAULT Falcon 100,L2J,M
06A0DD,A7-BFD,B77L,BOEING 777-200LR,L2J,H
06A2DD,A7-NNN,DA40,DIAMOND DA-40 Club Star,L1P,L
0AC7DD,FAC4476,B06,BELL 206 JetRanger,H1T,L
0AC9DD,HK-3730,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
0C20DD,HP-9902CMP,B39M,BOEING 737 MAX 9,L2J,M
0D02DD,XB-FKT,LJ31,LEARJET 31,L2J,M
0D0BDD,XB-PWK,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
0D0CDD,XA-VAI,A320,AIRBUS A-320,L2J,M
0D0DDD,XA-IRM,A139,AGUSTA AW-139,H2T,L
1059DD,TWR,TWR,,T0-,-
1101DD,GND,GND,,V0-,-
1405DD,RA-01501,PC12,PILATUS PC-12,L1T,L
140ADD,RA-02781,E145,EMBRAER ERJ-145,L2J,M
1427DD,RA-10205,GLF6,GULFSTREAM G650,L2J,M
1505DD,RA-67037,L410,LET L-410 Turbolet,L2T,L
151CDD,RA-72925,,,,
151DDD,RA-73181,A320,AIRBUS A-320,L2J,M
151EDD,RA-73437,A321,AIRBUS A-321,L2J,M
151FDD,RA-73693,A321,AIRBUS A-321,L2J,M
152BDD,RF-76765,,,,
1533DD,RF-78813,IL76,ILYUSHIN Il-76/82,L4J,H
155BDD,RA-89053,SU95,SUKHOI Superjet 100-95,L2J,M
3006DD,I-TINI,F8L,AEROMERE F-8L Falco,L1P,L
3008DD,I-LASC,P28B,PIPER PA-28-201T/235/236,L1P,L
31DDDD,I-D189,UHEL,,H0-,-
33FDDD,MM62280,AT76,ATR-72-600,L2T,M
3801DD,F-JZVE,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3805DD,F-JZAH,PNR2,ALPI Pioneer 200,L1P,L
3806DD,F-JXDW,G1,G1 AVIATION G-1,L1P,L
3807DD,F-JGPP,ULAC,,L0-,-
3809DD,F-JGUS,ULAC,,L0-,-
380ADD,F-JYXW,FK9,B&F TECHNIK FK-9,L1P,L
3813DD,F-JTEH,ULAC,,L0-,-
3815DD,F-JRYF,FDCT,FLIGHT DESIGN CT,L1P,L
3817DD,F-JGEC,TTRS,HUMBERT Tetras,L1P,L
3818DD,F-JSHO,ULAC,,L0-,-
3819DD,F-JSYQ,ULAC,,L0-,-
3820DD,F-JGKF,ULAC,,L0-,-
3821DD,F-JVQF,NG5,BRM AERO NG-5/6 Bristell,L1P,L
3827DD,F-JGRR,NG5,BRM AERO NG-5/6 Bristell,L1P,L
3828DD,F-JGSE,ULAC,,L0-,-
382EDD,F-JJMG,SKRA,BEST OFF Sky Ranger,L1P,L
3830DD,F-JUBG,ULAC,,L0-,-
3833DD,F-JAUI,ULAC,,L0-,-
383CDD,F-JAAP,ULAC,,L0-,-
383DDD,F-JAFT,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
383EDD,F-JSMP,NNJA,BEST OFF Nynja,L1P,L
3840DD,83AQP,GLID,,L0-,-
3842DD,F-JJWA,TTRS,HUMBERT Tetras,L1P,L
3846DD,F-JXLN,FDCT,FLIGHT DESIGN CT,L1P,L
3848DD,F-JCGT,ULAC,,L0-,-
384BDD,F-JCUN,ULAC,,L0-,-
384EDD,F-JDER,ULAC,,L0-,-
3854DD,F-JDZQ,AP22,AEROPRACT A-22,L1P,L
3855DD,F-JIPH,ULAC,,L0-,-
3859DD,F-JIQS,NG5,BRM AERO NG-5/6 Bristell,L1P,L
385ADD,F-JGKR,ULAC,,L0-,-
385BDD,F-JGIW,ULAC,,L0-,-
385DDD,F-JHHE,ULAC,,L0-,-
3865DD,F-JAQI,ULAC,,L0-,-
388CDD,F-JSYO,UF13,URBAN UFM-13 Lambada,L1P,L
388FDD,F-JTXJ,FDCT,FLIGHT DESIGN CT,L1P,L
3891DD,F-JTXV,ULAC,,L0-,-
3894DD,F-JUYP,ULAC,,L0-,-
389ADD,64XI,MCR1,COLOMBAN Ban-Bi,L1P,L
389CDD,F-JTZN,ULAC,,L0-,-
389EDD,F-JVMM,ULAC,,L0-,-
38A0DD,F-JVFX,ULAC,,L0-,-
38A4DD,F-JAMM,MM16,MAGNI M-16 Tandem Trainer,G1P,L
38AADD,F-JBKN,PNR3,ALPI Pioneer 330,L1P,L
38ADDD,F-JYBN,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
38AEDD,F-JKWN,SKRA,BEST OFF Sky Ranger,L1P,L
38AFDD,F-JCES,KP2,JIHLAVAN KP-2 Sova,L1P,L
38B4DD,F-JDHH,ULAC,,L0-,-
38B5DD,F-JDLN,ULAC,,L0-,-
3AAADD,F-MCGW,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3B75DD,041,A332,AIRBUS A-330-200,L2J,H
3B76DD,F-RAUT,AS55,AEROSPATIALE AS-355 Ecureuil 2,H2T,L
