0081E2,ZS-GCE,GLID,,L0-,-
0086E2,ZS-CPD,PC12,PILATUS PC-12,L1T,L
008AE2,ZS-ECN,C150,CESSNA 150,L1P,L
008DE2,ZS-FGB,B738,BOEING 737-800,L2J,M
0093E2,ZS-HND,B412,BELL 412,H2T,L
00A3E2,ZS-NOR,C210,CESSNA 201 Centurion,L1P,L
00A6E2,ZS-OSF,B190,BEECH 1900,L2T,M
00B0E2,ZS-SMR,SR22,CIRRUS SR-22,L1P,L
00B1E2,ZS-SWN,E135,EMBRAER ERJ-135,L2J,M
00B7E2,ZS-VDP,B733,BOEING 737-300,L2J,M
0100E2,SU-CBN,DH8C,DE HAVILLAND DHC-8-300 Dash 8,L2T,M
0200E2,CN-BZM,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
04C0E2,5Y-FFF,E190,EMBRAER ERJ-190-100,L2J,M
0640E2,5N-BMT,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0641E2,5N-BUO,B733,BOEING 737-300,L2J,M
0642E2,5N-CBL,CL60,BOMBARDIER CL-600 Challenger,L2J,M
06A0E2,A7-AMC,A359,AIRBUS A-350-900,L2J,H
06A1E2,A7-LAH,A320,AIRBUS A-320,L2J,M
06A2E2,A7-BFU,B77L,BOEING 777-200LR,L2J,H
0AC7E2,FAC4481,B06,BELL 206 JetRanger,H1T,L
0AC9E2,HK-4993G,PA34,PIPER PA-34 Seneca,L2P,L
0B04E2,CU-T1250,IL96,ILYUSHIN Il-96,L4J,H
0D00E2,XA-XLI,E145,EMBRAER ERJ-145,L2J,M
0D03E2,XB-OBS,H25A,HAWKER SIDDELEY HS-125,L2J,M
0D07E2,XA-LCD,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
0D0AE2,XC-LJQ,AC90,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,L2T,L
0D0BE2,XA-COZ,T206,CESSNA T206 Turbo Stationair,L1P,L
0D0CE2,XC-HEX,B06,BELL 206 JetRanger,H1T,L
0D0DE2,XA-JSO,B39M,BOEING 737 MAX 9,L2J,M
0D81E2,YV2932,C550,CESSNA 550 Citation S2,L2J,L
0D82E2,YV630T,B733,BOEING 737-300,L2J,M
1059E2,GND,GND,,V0-,-
10C3E2,GND,GND,,V0-,-
1405E2,RA-01506,PC12,PILATUS PC-12,L1T,L
140AE2,RA-02786,E35L,EMBRAER EMB-135 Legacy,L2J,M
1427E2,RA-10210,GLF5,GULFSTREAM 5,L2J,M
1463E2,RA-25570,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
151DE2,RA-73186,A319,AIRBUS A-319,L2J,M
151EE2,RA-73442,A21N,AIRBUS A-321neo,L2J,M
152BE2,RF-76770,,,,
1533E2,RA-78818,IL76,ILYUSHIN Il-76/82,L4J,H
155BE2,RA-89058,SU95,SUKHOI Superjet 100-95,L2J,M
3002E2,I-TFSB,DA40,DIAMOND DA-40 Club Star,L1P,L
3003E2,I-DARC,P180,PIAGGIO P-180 Avanti,L2T,L
3004E2,I-MYRA,A109,AGUSTA AW-109 Grand,H2T,L
3005E2,I-SLNI,F900,DASSAULT Falcon 900,L3J,M
3007E2,I-RJAH,A139,AGUSTA AW-139,H2T,L
3008E2,I-ESVR,RV6,VANS RV-6,L1P,L
31DBE2,I-B648,ZZZZ,,-0-,-
31DDE2,I-D200,NG5,BRM AERO NG-5/6 Bristell,L1P,L
31DEE2,I-D709,PISI,PIPSTREL Sinus,L1P,L
33FDE2,CSX81848,A149,AGUSTA AW-149,H2T,M
33FFE2,MM62194,C130,LOCKHEED C-130 Hercules,L4T,M
3828E2,F-BKHC,DR10,CENTRE EST Ambassadeur,L1P,L
3846E2,F-BRXC,C172,CESSNA 172 Skyhawk,L1P,L
3916E2,F-GFXC,DR40,ROBIN DR-400,L1P,L
391EE2,F-GHXC,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3926E2,F-GJXC,TOBA,SOCATA Tobago,L1P,L
392AE2,F-GKXC,A320,AIRBUS A-320,L2J,M
3935E2,F-GNPC,BALL,,B0-,-
3948E2,F-GSHC,PA34,PIPER PA-34 Seneca,L2P,L
394CE2,F-GTHC,DV20,DIAMOND DA-20,L1P,L
394DE2,F-GTPC,DR40,ROBIN DR-400,L1P,L
3952E2,F-GUXC,DR40,ROBIN DR-400,L1P,L
3955E2,F-GVPC,PC6T,PILATUS PC-6 Turbo-Porter,L1T,L
3961E2,F-GYPC,D140,JODEL D-140 Mousquetaire,L1P,L
3964E2,F-GZHC,B738,BOEING 737-800,L2J,M
3984E2,F-HBHC,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
3985E2,F-HBPC,R44,ROBINSON R-44 Raven,H1P,L
3986E2,F-HBXC,E170,EMBRAER ERJ-170-100,L2J,M
3990E2,F-HEHC,BALL,,B0-,-
3991E2,F-HEPC,A320,AIRBUS A-320,L2J,M
3999E2,F-HGPC,DR40,ROBIN DR-400,L1P,L
39ACE2,F-HLHC,TWEN,TECNAM Twenty-Ten,L1P,L
39ADE2,F-HLPC,D253,CENTRE EST DR-253 Regent,L1P,L
39B1E2,F-HMPC,BALL,,B0-,-
39B9E2,F-HOPC,P28U,PIPER PA-28RT-201T Turbo,L1P,L
39BCE2,F-HPHC,BALL,,B0-,-
39C5E2,F-HRPC,P28S,PIPER PA-28R-201T,L1P,L
39C8E2,F-HSHC,C25M,CESSNA 525 Citation M2,L2J,L
39CDE2,F-HTPC,G2CA,GUIMBAL G-2 Cabri,H1P,L
39D5E2,F-HVPC,C208,CESSNA 208 Caravan,L1T,L
39D6E2,F-HVXC,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3AAAE2,F-MCGR,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
3AABE2,F-MBHT,TIGR,AIRBUS HELICOPTERS EC-665 Tiger,H2T,L
3B75E2,678,MIR2,DASSAULT Mirage 2000,L1J,M
3C49E2,D-ABOB,B753,BOEING 757-300,L2J,M
3C56E2,D-AEWB,A320,AIRBUS A-320,L2J,M
3C5EE2,D-AGWB,A319,AIRBUS A-319,L2J,M
3C66E2,D-AIWB,A320,AIRBUS A-320,L2J,M
3C78E2,D-ANGB,CL60,BOMBARDIER CL-600 Challenger,L2J,M
3D04E2,D-EACG,DR30,CENTRE EST Prince,L1P,L
3D06E2,D-EAVY,P28R,PIPER PA-28R-180/200/201,L1P,L
3D07E2,D-EBFU,PA18,PIPER PA-18 Super Cub,L1P,L
3D09E2,D-EBZM,T210,CESSNA T210 Turbo Centurion,L1P,L
3D0BE2,D-ECTE,C150,CESSNA 150,L1P,L
3D0CE2,D-EDDA,PA18,PIPER PA-18 Super Cub,L1P,L
3D0DE2,D-EDMW,PA18,PIPER PA-18 Super Cub,L1P,L
3D0EE2,D-EDWS,C182,CESSNA 182 Skylane,L1P,L
3D0FE2,D-EEGO,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D13E2,D-EFTY,KL35,KLEMM Kl-35,L1P,L
3D17E2,D-EHHI,HUSK,CHRISTEN Husky,L1P,L
3D19E2,D-EIBA,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D22E2,D-ELLQ,RALL,SOCATA Rallye,L1P,L
3D23E2,D-ELVM,Y18T,YAKOVLEV Yak-18T,L1P,L
3D25E2,D-EMPE,M20P,MOONEY M-20,L1P,L
3D26E2,D-EMZA,AA1,AMERICAN AA-1,L1P,L
3D2AE2,D-EOMK,DR40,ROBIN DR-400,L1P,L
3D2BE2,D-EOWG,DV20,DIAMOND DA-20,L1P,L
3D2CE2,D-EPGC,C82R,CESSNA R182 Skylane RG,L1P,L
3D31E2,D-ERDI,C170,CESSNA 170,L1P,L
3D34E2,D-ESGW,C172,CESSNA 172 Skyhawk,L1P,L
3D36E2,D-ETAO,PA46,PIPER PA-46-310/350,L1P,L
3D38E2,D-ETUG,PA25,PIPER PA-25 Pawnee,L1P,L
3D41E2,D-EXEW,E300,EXTRA EA-300/330/350,L1P,L
3D42E2,D-EXOS,SR20,CIRRUS SR-20,L1P,L
3D46E2,D-EZCC,C150,CESSNA 150,L1P,L
3D68E2,D-FLYW,P46T,PIPER PA-46-500TP,L1T,L
3D7FE2,D-FURI,T6,NORTH AMERICAN T-6 Texan,L1P,L
3D98E2,D-GEDM,PA44,PIPER PA-44 Seminole,L2P,L
3DDDE2,D-HEGW,AS3B,AEROSPATIALE AS-332 Super Puma Mk2,H2T,M
3DE6E2,D-HHRM,H500,HUGHES 500,H1T,L
3DEFE2,D-HLCC,A109,AGUSTA AW-109 Grand,H2T,L
3E02E2,D-HSHE,EC20,AIRBUS HELICOPTERS EC-120,H1T,L
3E0FE2,D-HXFE,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3E1BE2,D-IBTI,C525,CESSNA 525 CitationJet,L2J,L
3E1CE2,D-ICDE,C303,CESSNA T303 Crusader,L2P,L
3E39E2,D-INCS,C525,CESSNA 525 CitationJet,L2J,L
3E4AE2,D-ITOC,PRM1,RAYTHEON 390 Premier 1,L2J,L
3E52E2,D-IWOW,P180,PIAGGIO P-180 Avanti,L2T,L
3E5EE2,D-KBDA,RF4,FOURNIER RF-4,L1P,L
3E60E2,D-KBWS,AS26,SCHLEICHER ASH-26,L1P,L
3E71E2,D-KIIC,VENT,SCHEMPP-HIRTH Ventus,L1P,L
3EC5E2,D-KPXA,AS31,SCHLEICHER ASH-31,L1P,L
3EC9E2,D-KRKK,GLID,,L0-,-
3ECAE2,D-KRUG,AS26,SCHLEICHER ASH-26,L1P,L
3ED6E2,D-KWIK,TFUN,VALENTIN Taifun,L1P,L
