007FED,ZT-RYB,AS32,AEROSPATIALE AS-332 Super Puma,H2T,M
0090ED,ZS-GKA,GLID,,L0-,-
0098ED,ZS-JKU,C177,CESSNA  177 Cardinal,L1P,L
00AEED,ZS-RTK,R44,ROBINSON R-44 Raven,H1P,L
00B0ED,ZS-SNC,A346,AIRBUS A-340-600,L4J,H
00B9ED,ZS-VXS,ULAC,,L0-,-
0100ED,SU-GCU,E170,EMBRAER ERJ-170-100,L2J,M
0200ED,CN-RGH,B738,BOEING 737-800,L2J,M
06A1ED,A7-BFP,B77L,BOEING 777-200LR,L2J,H
06A2ED,A7-BHJ,B789,BOEING 787-9 Dreamliner,L2J,H
0900ED,T-902,IL76,ILYUSHIN Il-76/82,L4J,H
0AC3ED,FAC5068,C208,CESSNA 208 Caravan,L1T,L
0AC9ED,FAC2352,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0C20ED,HP-3017HF,EC30,AIRBUS HELICOPTERS EC-130,H1T,L
0D02ED,XB-INI,BE40,BEECH 400 Beechjet,L2J,M
0D08ED,2014,TEX2,BEECHCRAFT T-6 Texan 2,L1T,L
0D09ED,XA-VEK,B412,BELL 412,H2T,L
0D0AED,XB-PZY,C650,CESSNA 650 Citation,L2J,M
0D0BED,XB-IJZ,C207,CESSNA 207 Turbo Stationair,L1P,L
0D0DED,XA-VBW,A321,AIRBUS A-321,L2J,M
1059ED,GND,GND,,V0-,-
1130ED,GND,GND,,V0-,-
1405ED,RA-01517,PC12,PILATUS PC-12,L1T,L
1416ED,RA-05869,AN3,ANTONOV An-3,L1T,L
14DBED,RF-56301,AN26,ANTONOV An-26,L2T,M
151CED,RA-72941,,,,
151DED,RA-73197,A320,AIRBUS A-320,L2J,M
151EED,RA-73453,A20N,AIRBUS A-320neo,L2J,M
151FED,RA-73709,A321,AIRBUS A-321,L2J,M
155BED,RA-89069,SU95,SUKHOI Superjet 100-95,L2J,M
1F7AED,RA-97005,SU95,SUKHOI Superjet 100-95,L2J,M
3003ED,I-VANZ,C182,CESSNA 182 Skylane,L1P,L
3004ED,I-JOBE,M20P,MOONEY M-20,L1P,L
3006ED,I-MCSH,A169,AGUSTA AW-169,H2T,L
3008ED,I-LRJR,AS50,AEROSPATIALE AS-350 Ecureuil,H1T,L
31DBED,I-B826,MM22,MAGNI M-22 Voyager,G1P,L
31DDED,I-D203,UHEL,,H0-,-
31DEED,I-D731,PIVI,PIPSTREL Virus,L1P,L
33FDED,MM81780,H47,BOEING-VERTOL CH-47 Chinook,H2T,M
33FFED,MM62183,C130,LOCKHEED C-130 Hercules,L4T,M
3822ED,F-BIXN,D11,JODEL D-11x/12x,L1P,L
3829ED,F-BKPN,DR10,CENTRE EST Ambassadeur,L1P,L
3844ED,F-BRHN,JUNR,BOLKOW BO-208 Junior,L1P,L
3846ED,F-BRXN,C206,CESSNA  206 Stationair,L1P,L
3849ED,F-BSPN,DR30,CENTRE EST Prince,L1P,L
3900ED,F-GAHN,DR40,ROBIN DR-400,L1P,L
3902ED,F-GAXN,R200,ROBIN Alpha,L1P,L
3922ED,F-GIXN,B734,BOEING 737-400,L2J,M
