008FEF,ZS-GAG,DC93,MCDONNELL DOUGLAS DC-9-30,L2J,M
0091EF,ZS-GTY,GLID,,L0-,-
00A3EF,ZS-NPE,C210,CESSNA 201 Centurion,L1P,L
00B0EF,ZS-SNE,A346,AIRBUS A-340-600,L4J,H
00B1EF,ZS-SXA,A343,AIRBUS A-340-300,L4J,H
0101EF,SU-TCK,B734,BOEING 737-400,L2J,M
0200EF,CN-RGE,B738,BOEING 737-800,L2J,M
0360EF,TN-AJE,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
06A2EF,A7-BHL,B789,BOEING 787-9 Dreamliner,L2J,H
0700EF,6V-AHP,C207,CESSNA 207 Turbo Stationair,L1P,L
0AC3EF,FAC5070,C208,CESSNA 208 Caravan,L1T,L
0AC9EF,HK-5366,A20N,AIRBUS A-320neo,L2J,M
0C20EF,HP-2464,PA27,PIPER PA-23-250 Aztec,L2P,L
0D02EF,XA-MDM,LJ60,LEARJET 60,L2J,M
0D08EF,XA-AMV,B738,BOEING 737-800,L2J,M
0D09EF,XA-VIV,A20N,AIRBUS A-320neo,L2J,M
0D0AEF,XA-MAL,B38M,BOEING 737 MAX 8,L2J,M
0D0CEF,XA-MCM,B734,BOEING 737-400,L2J,M
0D0DEF,XB-CDF,BE9L,BEECH 90 King Air,L2T,L
0D81EF,YV2780,BE20,BEECH 200 Super King Air,L2T,M
0D82EF,YV3362,ASTR,GULFSTREAM AEROSPACE Gulfstream G100,L2J,M
1130EF,GND,GND,,V0-,-
1409EF,RA-02543,B105,EUROCOPTER BO-105,H2T,L
140AEF,RA-02799,PRM1,RAYTHEON 390 Premier 1,L2J,L
1456EF,RA-22255,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
1514EF,RA-73295,B738,BOEING 737-800,L2J,M
151CEF,RF-72502,,,,
151DEF,RA-73199,A319,AIRBUS A-319,L2J,M
151EEF,RA-73455,B737,BOEING 737-700,L2J,M
151FEF,RA-73711,A321,AIRBUS A-321,L2J,M
1533EF,RA-78831,IL76,ILYUSHIN Il-76/82,L4J,H
155BEF,RA-89071,SU95,SUKHOI Superjet 100-95,L2J,M
3003EF,I-STLV,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3006EF,I-ELIM,P68,PARTENAVIA P-68 Observer,L2P,L
3007EF,I-JENB,E195,EMBRAER ERJ-190-200,L2J,M
31D8EF,I-B337,TRAL,GROPPO Trail,L1P,L
