008CFA,ZS-EXD,M20P,MOONEY M-20,L1P,L
008FFA,ZS-GAR,A320,AIRBUS A-320,L2J,M
0091FA,ZS-GUJ,DG50,DG FLUGZEUGBAU DG-500M,L1P,L
009AFA,ZS-KEZ,C172,CESSNA 172 Skyhawk,L1P,L
009FFA,ZS-MCF,HUSK,CHRISTEN Husky,L1P,L
00A3FA,ZS-SMF,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
00A6FA,ZS-OTD,E120,EMBRAER EMB-120 Brasilia,L2T,M
00ACFA,ZS-RAF,BE20,BEECH 200 Super King Air,L2T,M
0101FA,SU-AAF,A320,AIRBUS A-320,L2J,M
0200FA,CN-SSH,E35L,EMBRAER EMB-135 Legacy,L2J,M
06A0FA,A7-ALF,A359,AIRBUS A-350-900,L2J,H
0703FA,6V-SEN,A20N,AIRBUS A-320neo,L2J,M
0741FA,SY-011,D228,DORNIER 228,L2T,L
0900FA,H-901,A139,AGUSTA AW-139,H2T,L
0AC3FA,HK-5279,BE9L,BEECH 90 King Air,L2T,L
0B05FA,CU-T1530,AN2,ANTONOV An-2,L1P,L
0D03FA,XB-KMS,SR22,CIRRUS SR-22,L1P,L
0D04FA,XB-LWR,BE9L,BEECH 90 King Air,L2T,L
0D07FA,XA-BZN,BE40,BEECH 400 Beechjet,L2J,M
1059FA,GND,GND,,V0-,-
140FFA,RA-04090,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
142AFA,RA-11002,GLF4,GULFSTREAM 4,L2J,M
14FBFA,RA-64506,T204,TUPOLEV Tu-204/214/224/234,L2J,M
151CFA,RA-72954,,,,
151DFA,RA-73210,A319,AIRBUS A-319,L2J,M
151EFA,RA-73466,A21N,AIRBUS A-321neo,L2J,M
151FFA,RA-73722,A321,AIRBUS A-321,L2J,M
152AFA,RA-76538,,,,
1533FA,RA-78842,IL76,ILYUSHIN Il-76/82,L4J,H
155BFA,RA-89082,SU95,SUKHOI Superjet 100-95,L2J,M
3005FA,I-PEBX,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3006FA,I-RVAG,RV7,VANS RV-7,L1P,L
3007FA,I-MISS,C172,CESSNA 172 Skyhawk,L1P,L
3008FA,I-KKVB,PA34,PIPER PA-34 Seneca,L2P,L
31DBFA,I-B464,HN70,NICOLLIER Menestrel 2,L1P,L
31DDFA,I-D253,UHEL,,H0-,-
31FEFA,I-RAIN,A139,AGUSTA AW-139,H2T,L
3801FA,F-WWID,A20N,AIRBUS A-320neo,L2J,M
3802FA,F-WWKO,A332,AIRBUS A-330-200,L2J,H
3806FA,F-WWJV,F2TH,DASSAULT Falcon 2000,L2J,M
380AFA,F-WWCG,A332,AIRBUS A-330-200,L2J,H
380CFA,F-WWCX,A332,AIRBUS A-330-200,L2J,H
380DFA,F-WWBH,A20N,AIRBUS A-320neo,L2J,M
380EFA,F-WWBQ,A20N,AIRBUS A-320neo,L2J,M
380FFA,F-WWBZ,A21N,AIRBUS A-321neo,L2J,M
3810FA,F-WWDI,A20N,AIRBUS A-320neo,L2J,M
3811FA,F-WWDQ,A20N,AIRBUS A-320neo,L2J,M
3812FA,F-WWDZ,A20N,AIRBUS A-320neo,L2J,M
3816FA,F-WWEI,AT76,ATR-72-600,L2T,M
3817FA,F-WWEQ,AT76,ATR-72-600,L2T,M
3818FA,F-WWEY,AT76,ATR-72-600,L2T,M
3819FA,F-WWLH,AT46,ATR-42-600,L2T,M
381CFA,F-WWHF,FA7X,DASSAULT Falcon 7X,L3J,M
3820FA,F-WWFM,F900,DASSAULT Falcon 900,L3J,M
3823FA,F-WWFV,F900,DASSAULT Falcon 900,L3J,M
3824FA,F-WWVD,FA7X,DASSAULT Falcon 7X,L3J,M
3825FA,F-WWVL,FA8X,DASSAULT Falcon 8X,L3J,M
3826FA,F-WWVT,FA8X,DASSAULT Falcon 8X,L3J,M
3827FA,F-WWYB,A359,AIRBUS A-350-900,L2J,H
3829FA,F-WWYQ,A332,AIRBUS A-330-200,L2J,H
382AFA,F-WWYZ,A332,AIRBUS A-330-200,L2J,H
382DFA,F-WWOS,H160,AIRBUS HELICOPTERS H-160,H2T,L
3835FA,F-WWTM,A20N,AIRBUS A-320neo,L2J,M
3836FA,F-WWTU,A20N,AIRBUS A-320neo,L2J,M
3837FA,F-WWGG,F2TH,DASSAULT Falcon 2000,L2J,M
3838FA,F-WWGE,F2TH,DASSAULT Falcon 2000,L2J,M
3839FA,F-WWGR,F2TH,DASSAULT Falcon 2000,L2J,M
383CFA,F-WWRP,TBM9,SOCATA TBM-900/910/930/940,L1T,L
3847FA,F-WWMT,A400,AIRBUS A-400M,L4T,H
3849FA,F-WWQJ,FA8X,DASSAULT Falcon 8X,L3J,M
384DFA,F-WWDW,A359,AIRBUS A-350-900,L2J,H
3AABFA,156,TBM7,SOCATA TBM-700A/B/C,L1T,L
3B75FA,709FG,PC21,PILATUS PC-21,L1T,L
3B77FA,95,TBM7,SOCATA TBM-700A/B/C,L1T,L
3B9BFA,2,E2,NORTHROP GRUMMAN E-2 Hawkeye,L2T,M
3C5EFA,D-AGWZ,A319,AIRBUS A-319,L2J,M
3C64FA,D-AIGZ,A343,AIRBUS A-340-300,L4J,H
3D04FA,D-EADE,M7,MAULE M-7,L1P,L
3D05FA,D-EANA,A210,AQUILA A-210,L1P,L
3D06FA,D-EAWW,P28R,PIPER PA-28R-180/200/201,L1P,L
3D07FA,D-EBGS,DR40,ROBIN DR-400,L1P,L
3D09FA,D-ECAK,EVSS,EVEKTOR SportStar,L1P,L
3D0AFA,D-ECKG,C182,CESSNA 182 Skylane,L1P,L
3D0BFA,D-ECUC,CH7A,BELLANCA 7 Champion,L1P,L
3D0CFA,D-EDDY,DO27,DORNIER Do-27,L1P,L
3D0DFA,D-EDNU,DO27,DORNIER Do-27,L1P,L
3D0EFA,D-EDXQ,P28U,PIPER PA-28RT-201T Turbo,L1P,L
3D0FFA,D-EEHM,AA5,AMERICAN AA-5 Tiger,L1P,L
3D10FA,D-EERI,P28S,PIPER PA-28R-201T,L1P,L
3D11FA,D-EFBE,PA18,PIPER PA-18 Super Cub,L1P,L
3D12FA,D-EFLA,TOBA,SOCATA Tobago,L1P,L
3D16FA,D-EGYK,RALL,SOCATA Rallye,L1P,L
3D17FA,D-EHIG,P28U,PIPER PA-28RT-201T Turbo,L1P,L
3D19FA,D-EIBY,HR10,ROBIN HR-100,L1P,L
3D1AFA,D-EILU,PA38,PIPER PA-38 Tomahawk,L1P,L
3D20FA,D-EKSW,DR40,ROBIN DR-400,L1P,L
3D21FA,D-ELCS,C182,CESSNA 182 Skylane,L1P,L
3D22FA,D-ELMO,DR10,CENTRE EST Ambassadeur,L1P,L
3D23FA,D-ELWK,M20T,MOONEY M-20T,L1P,L
3D26FA,D-EMZY,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D27FA,D-ENJU,RALL,SOCATA Rallye,L1P,L
3D29FA,D-EODM,DR30,CENTRE EST Prince,L1P,L
3D2CFA,D-EPHA,P28U,PIPER PA-28RT-201T Turbo,L1P,L
3D2EFA,D-EQAS,BE35,BEECH 35 Starfire Bonanza,L1P,L
3D31FA,D-EREG,FDCT,FLIGHT DESIGN CT,L1P,L
3D32FA,D-EROC,DV20,DIAMOND DA-20,L1P,L
3D37FA,D-ETLI,FOX,KITFOX,L1P,L
3D3DFA,D-EVSK,DA40,DIAMOND DA-40 Club Star,L1P,L
3D3FFA,D-EWMC,P32R,PIPER PA-32R-300/301/301T,L1P,L
3D46FA,D-EZDA,C150,CESSNA 150,L1P,L
3D64FA,D-FKMK,P46T,PIPER PA-46-500TP,L1T,L
3D98FA,D-GEEK,P68,PARTENAVIA P-68 Observer,L2P,L
3DD2FA,D-HADM,EC45,AIRBUS HELICOPTERS EC-145,H2T,L
3DD3FA,D-HANI,B407,BELL 407,H1T,L
3DE0FA,D-HFLI,H269,HUGHES Sky Knight,H1P,L
3E22FA,D-IELE,BE20,BEECH 200 Super King Air,L2T,M
3E5CFA,D-KAKG,GLID,,L0-,-
3E5DFA,D-KAUC,DIMO,DIAMOND H-36 Dimona,L1P,L
3E61FA,D-KCHM,AS22,SCHLEICHER ASW-22,L1P,L
3E64FA,D-KDLA,G109,GROB G-109,L1P,L
3E66FA,D-KEES,AS29,SCHLEICHER ASG-29,L1P,L
3E67FA,D-KEOO,GLID,,L0-,-
3E6AFA,D-KFSC,AS31,SCHLEICHER ASH-31,L1P,L
3E6EFA,D-KHFM,AS25,SCHLEICHER ASH-25,L1P,L
3E76FA,D-KKGG,TFUN,VALENTIN Taifun,L1P,L
3EC0FA,D-KOAS,G109,GROB G-109,L1P,L
3EC1FA,D-KOKO,RF5,FOURNIER RF-5,L1P,L
3EC8FA,D-KRBM,DIMO,DIAMOND H-36 Dimona,L1P,L
3ECEFA,D-KTIO,SF25,SCHEIBE SF-25 Falke,L1P,L
3EE1FA,D-0355,GLID,,L0-,-
3EE3FA,D-0867,GLID,,L0-,-
3EE4FA,D-1123,GLID,,L0-,-
3EEBFA,D-2915,GLID,,L0-,-
3EF1FA,D-4451,,,,
3EFAFA,D-6755,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
3EFBFA,D-7011,GLID,,L0-,-
3F28FA,D-OBKS,BALL,,B0-,-
