008FFB,ZS-GAS,A320,AIRBUS A-320,L2J,M
00AFFB,ZS-SDU,H25A,HAWKER SIDDELEY HS-125,L2J,M
00B1FB,ZS-SXM,A333,AIRBUS A-330-300,L2J,H
0101FB,SU-GFF,BCS3,AIRBUS A220-300,L2J,M
0200FB,CN-RGK,B738,BOEING 737-800,L2J,M
04C0FB,5Y-FFH,E190,EMBRAER ERJ-190-100,L2J,M
04C1FB,5Y-TMP,C295,CASA C-295 Persuader,L2T,M
06A0FB,A7-ALG,A359,AIRBUS A-350-900,L2J,H
0703FB,6V-HAK,A139,AGUSTA AW-139,H2T,L
0D04FB,XC-DGO,LJ35,LEARJET 35,L2J,M
0D07FB,XA-OVR,GLEX,BOMBARDIER BD-700 Global 6000/6500,L2J,M
0D09FB,XA-ALR,E190,EMBRAER ERJ-190-100,L2J,M
0D0AFB,XA-UUM,SW4,SWEARINGEN Metro,L2T,M
0D0BFB,XB-JCA,PA31,PIPER PA-31-300/310/325/350/425,L2P,L
0D82FB,YV3373,WW24,IAI 1124 Westwind,L2J,M
1059FB,GND,GND,,V0-,-
140AFB,RA-02811,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
140FFB,RA-04091,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
1416FB,RA-05883,AN3,ANTONOV An-3,L1T,L
14B8FB,RA-47355,AN24,ANTONOV An-24,L2T,M
1505FB,RA-67067,L410,LET L-410 Turbolet,L2T,L
151DFB,RA-73211,B738,BOEING 737-800,L2J,M
151EFB,RA-73467,B738,BOEING 737-800,L2J,M
151FFB,RA-73723,A321,AIRBUS A-321,L2J,M
1F7AFB,97019,SU95,SUKHOI Superjet 100-95,L2J,M
3002FB,I-ALOS,RV7,VANS RV-7,L1P,L
3005FB,I-SPAP,C172,CESSNA 172 Skyhawk,L1P,L
3006FB,I-DUDE,RV7,VANS RV-7,L1P,L
3007FB,I-AWTZ,A109,AGUSTA AW-109 Grand,H2T,L
3008FB,I-AVNF,CL60,BOMBARDIER CL-600 Challenger,L2J,M
31DDFB,I-9524,ECHO,TECNAM P-92 Echo,L1P,L
31FEFB,I-RAIO,A139,AGUSTA AW-139,H2T,L
33FFFB,MM62029,FA50,DASSAULT Falcon 50,L3J,M
381FFB,F-WXEY,F2TH,DASSAULT Falcon 2000,L2J,M
3827FB,F-PHAC,MCR4,DYNAERO MCR-2/4,L1P,L
3829FB,F-WFBW,FA7X,DASSAULT Falcon 7X,L3J,M
382FFB,F-CGUV,GLID,,L0-,-
3830FB,F-PBST,MCR4,DYNAERO MCR-2/4,L1P,L
3831FB,F-PACR,MCR4,DYNAERO MCR-2/4,L1P,L
3834FB,F-CHYA,DG80,DG FLUGZEUGBAU DG-800,L1P,L
3835FB,F-PALI,EUPA,Europa,L1P,L
3836FB,F-CGUD,GLID,,L0-,-
3837FB,F-CHMM,LK17,SPORTINE AVIACIJA LAK-17AT,L1P,L
3839FB,F-PAJM,RV8,VANS RV-8,L1P,L
383AFB,F-CHEA,GLID,,L0-,-
383BFB,F-CJAD,NIMB,SCHEMPP-HIRTH Nimbus,L1P,L
383DFB,F-CJAN,GLID,,L0-,-
383EFB,F-PKRL,EUPA,Europa,L1P,L
383FFB,F-PCPI,MCR4,DYNAERO MCR-2/4,L1P,L
3843FB,F-CFUS,NIMB,SCHEMPP-HIRTH Nimbus,L1P,L
3844FB,F-CIJF,GLID,,L0-,-
3846FB,F-PFKL,MCR1,COLOMBAN Ban-Bi,L1P,L
3849FB,F-PKRU,MCR4,DYNAERO MCR-2/4,L1P,L
384EFB,F-PAVO,MCR1,COLOMBAN Ban-Bi,L1P,L
3851FB,F-AZZD,FOUG,AEROSPATIALE CM-170 Magister,L2J,L
3855FB,F-WMXO,ZZZZ,,-0-,-
3859FB,F-WMXB,ZZZZ,,-0-,-
385AFB,F-WKVC,AT76,ATR-72-600,L2T,M
385DFB,F-WJKI,A359,AIRBUS A-350-900,L2J,H
385EFB,F-AZUL,BU31,BUCKER Bu-131 Jungmann,L1P,L
3868FB,F-PSOL,MCR4,DYNAERO MCR-2/4,L1P,L
386AFB,F-CJCP,DUOD,SCHEMPP-HIRTH Duo Discus,L1P,L
386BFB,F-PAJD,ZZZZ,,-0-,-
3870FB,F-PLHM,ZZZZ,,-0-,-
3874FB,F-PCSG,MCR1,COLOMBAN Ban-Bi,L1P,L
3876FB,F-WHUG,A21N,AIRBUS A-321neo,L2J,M
387AFB,F-WOAH,LEG2,LANCAIR Legacy,L1P,L
387DFB,F-CJAF,GLID,,L0-,-
3880FB,F-PJLN,ZZZZ,,-0-,-
3882FB,F-POIC,D11,JODEL D-11x/12x,L1P,L
3886FB,F-WXAH,A343,AIRBUS A-340-300,L4J,H
3889FB,F-PAEC,RV7,VANS RV-7,L1P,L
388AFB,F-PRTE,MCR4,DYNAERO MCR-2/4,L1P,L
388BFB,F-WTAE,ZZZZ,,-0-,-
388DFB,F-WZFI,A359,AIRBUS A-350-900,L2J,H
388EFB,F-WZFP,A359,AIRBUS A-350-900,L2J,H
388FFB,F-WZFX,A359,AIRBUS A-350-900,L2J,H
3892FB,F-WZGD,A359,AIRBUS A-350-900,L2J,H
3894FB,F-WZGT,A359,AIRBUS A-350-900,L2J,H
3895FB,F-PCAZ,ZZZZ,,-0-,-
3896FB,F-WTAT,ZZZZ,,-0-,-
3897FB,F-PBNS,CP80,PIEL Zephir,L1P,L
389FFB,F-WZNQ,A359,AIRBUS A-350-900,L2J,H
38A0FB,F-WZNX,A359,AIRBUS A-350-900,L2J,H
38A6FB,F-WXWB,A359,AIRBUS A-350-900,L2J,H
38AEFB,F-CKBS,GLID,,L0-,-
38B0FB,F-PGMR,MCR4,DYNAERO MCR-2/4,L1P,L
38B1FB,F-PJFM,MCR1,COLOMBAN Ban-Bi,L1P,L
38B6FB,F-PIDR,RV8,VANS RV-8,L1P,L
