0081FD,ZS-ASY,RJ85,AVRO RJ-85 Avroliner,L4J,M
008AFD,ZS-EDO,SR22,CIRRUS SR-22,L1P,L
008CFD,ZS-EXG,H25B,HAWKER BEECHCRAFT Hawker 750/850,L2J,M
008FFD,ZS-GAU,DC93,MCDONNELL DOUGLAS DC-9-30,L2J,M
0091FD,ZS-GUM,GLID,,L0-,-
0097FD,ZS-JBO,C172,CESSNA 172 Skyhawk,L1P,L
00A1FD,ZS-MWA,SR22,CIRRUS SR-22,L1P,L
00A6FD,ZS-OTG,B734,BOEING 737-400,L2J,M
00A7FD,ZS-PDC,C206,CESSNA  206 Stationair,L1P,L
00ACFD,ZS-RAI,UH1,BELL UH-1 Huey,H1T,L
00AFFD,ZS-SDW,DA42,DIAMOND DA-42 Guardian,L2P,L
00B1FD,ZS-SXO,P28A,PIPER PA-28-140/150/160/180,L1P,L
00EAFD,652,BE20,BEECH 200 Super King Air,L2T,M
0100FD,SU-MAE,DA42,DIAMOND DA-42 Guardian,L2P,L
0101FD,SU-GFH,BCS3,AIRBUS A220-300,L2J,M
04C0FD,5Y-CBL,C172,CESSNA 172 Skyhawk,L1P,L
04C1FD,5Y-ZBF,C208,CESSNA 208 Caravan,L1T,L
0641FD,5N-DMB,B733,BOEING 737-300,L2J,M
06A0FD,A7-ALI,A359,AIRBUS A-350-900,L2J,H
0D04FD,XA-SUS,SW4,SWEARINGEN Metro,L2T,M
0D05FD,XA-BUX,LJ35,LEARJET 35,L2J,M
0D06FD,XA-ACS,E190,EMBRAER ERJ-190-100,L2J,M
0D07FD,XC-PFM,GLF4,GULFSTREAM 4,L2J,M
0D08FD,XA-VLK,A320,AIRBUS A-320,L2J,M
0D0AFD,XA-MLU,C68A,CESSNA 680 Citation Latitude,L2J,M
0D0CFD,XA-VRT,A20N,AIRBUS A-320neo,L2J,M
0D0DFD,XA-SCR,E50P,EMBRAER EMB-500 Phenom 100,L2J,L
0D81FD,YV1753,C441,CESSNA 441 Conquest,L2T,L
0D83FD,YV2090,AC90,NORTH AMERICAN ROCKWELL Turbo Commander 690/840,L2T,L
1059FD,GND,GND,,V0-,-
140FFD,RA-04093,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
142AFD,RA-11005,GLF6,GULFSTREAM G650,L2J,M
1451FD,RA-20989,MI2,MIL Mi-2,H2T,L
151DFD,RA-73213,A320,AIRBUS A-320,L2J,M
151EFD,RA-73469,B77W,BOEING 777-300ER,L2J,H
151FFD,RA-73725,A321,AIRBUS A-321,L2J,M
1533FD,RA-78845,IL76,ILYUSHIN Il-76/82,L4J,H
154EFD,RA-85757,T154,TUPOLEV Tu-154,L3J,M
155BFD,RA-89085,SU95,SUKHOI Superjet 100-95,L2J,M
3008FD,I-PRPB,A109,AGUSTA AW-109 Grand,H2T,L
31D8FD,I-B400,TL20,TL ULTRALIGHT TL-2000 Sting,L1P,L
31DBFD,I-6478,ULAC,,L0-,-
31DDFD,I-D260,TARR,PELEGRIN Tarragon,L1P,L
31FEFD,I-RAIQ,A149,AGUSTA AW-149,H2T,M
33FCFD,MM81576,NH90,NHI NH-90,H2T,M
33FDFD,MM7059,TOR,PANAVIA Tornado,L2J,M
3803FD,13SN,FDCT,FLIGHT DESIGN CT,L1P,L
3805FD,13UY,ECHO,TECNAM P-92 Echo,L1P,L
3807FD,F-JGQC,ULAC,,L0-,-
3808FD,F-JGSP,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
380CFD,F-JEBY,ULAC,,L0-,-
380EFD,F-JSJL,ULAC,,L0-,-
380FFD,F-JGAS,FDCT,FLIGHT DESIGN CT,L1P,L
3818FD,F-JGEY,ULAC,,L0-,-
381DFD,F-JSXT,PNR3,ALPI Pioneer 330,L1P,L
3826FD,F-JHHZ,FDCT,FLIGHT DESIGN CT,L1P,L
3828FD,F-JGSH,EL10,ELA AVIACION ELA-10,G1P,L
382BFD,F-JUSY,ULAC,,L0-,-
382CFD,F-JUYT,ULAC,,L0-,-
382EFD,F-JHEI,TTRS,HUMBERT Tetras,L1P,L
382FFD,F-JYJM,ULAC,,L0-,-
3830FD,F-JVOH,ULAC,,L0-,-
3831FD,F-JKEK,ULAC,,L0-,-
3832FD,F-JCUZ,STRM,SG AVIATION Storm,L1P,L
3835FD,F-JSKB,ULAC,,L0-,-
3836FD,F-JHWP,ULAC,,L0-,-
3837FD,F-JWKM,ULAC,,L0-,-
3839FD,F-JUWJ,ULAC,,L0-,-
383BFD,F-JVBU,ULAC,,L0-,-
383CFD,F-JAMG,NNJA,BEST OFF Nynja,L1P,L
383FFD,F-JAML,SHRK,SHARK AERO Shark,L1P,L
3843FD,F-JBFY,SVNH,AEROTEC Savannah,L1P,L
3846FD,47TJ,CH60,ZENAIR CH-600 Zodiac,L1P,L
3847FD,F-JCDO,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
3849FD,F-JCKC,ULAC,,L0-,-
384CFD,F-JCZF,MM24,MAGNI M-24 Orion,G1P,L
384DFD,F-JDDO,ULAC,,L0-,-
384EFD,F-JDIG,ULAC,,L0-,-
3857FD,F-JFMJ,ULAC,,L0-,-
3858FD,F-JFWA,PNR3,ALPI Pioneer 330,L1P,L
3859FD,F-JIQV,SHRK,SHARK AERO Shark,L1P,L
385AFD,F-JGKX,SHRK,SHARK AERO Shark,L1P,L
385DFD,F-JHHO,SHRK,SHARK AERO Shark,L1P,L
3867FD,F-JCBR,ULAC,,L0-,-
388BFD,33TN,TTRS,HUMBERT Tetras,L1P,L
388FFD,F-JTZD,NNJA,BEST OFF Nynja,L1P,L
3893FD,F-JUSR,SAVG,ZLIN AVIATION Savage,L1P,L
3894FD,F-JUZT,ULAC,,L0-,-
3897FD,F-JVNR,GP1,JIHLAVAN Skyleader GP One,L1P,L
38A4FD,F-JAOR,KP2,JIHLAVAN KP-2 Sova,L1P,L
38ABFD,F-JBRB,WT9,AEROSPOOL WT-9 Dynamic,L1P,L
38ADFD,F-JBKJ,ULAC,,L0-,-
38AEFD,F-JCFR,EV97,EVEKTRO EV-97 EuroStar,L1P,L
38B0FD,F-JCQX,SHRK,SHARK AERO Shark,L1P,L
38B2FD,F-JCYQ,ULAC,,L0-,-
38B7FD,F-JDSO,ULAC,,L0-,-
38B8FD,F-JDVN,ULAC,,L0-,-
38B9FD,F-JDXY,AP32,AEROPRACT A-32,L1P,L
38BAFD,F-JCTJ,GYRO,,G0-,-
3AABFD,115,TBM7,SOCATA TBM-700A/B/C,L1T,L
3B75FD,709FD,PC21,PILATUS PC-21,L1T,L
3B77FD,103,TBM7,SOCATA TBM-700A/B/C,L1T,L
3B9BFD,7,FA50,DASSAULT Falcon 50,L3J,M
3C11FD,D-AVVC,A320,AIRBUS A-320,L2J,M
3C2EFD,D-BURO,CL30,BOMBARDIER BD-100 Challenger 300,L2J,M
3CDBFD,D-CKPP,SW4,SWEARINGEN Metro,L2T,M
3D05FD,D-EAND,SC01,FFT Speed Canard,L1P,L
3D06FD,D-EAWZ,C172,CESSNA 172 Skyhawk,L1P,L
3D0CFD,D-EDEB,C172,CESSNA 172 Skyhawk,L1P,L
