0086FF,ZS-ALP,E135,EMBRAER ERJ-135,L2J,M
0087FF,ZS-DAC,C172,CESSNA 172 Skyhawk,L1P,L
008CFF,ZS-EXI,P28A,PIPER PA-28-140/150/160/180,L1P,L
008EFF,ZS-FRA,B190,BEECH 1900,L2T,M
008FFF,ZS-GAW,A320,AIRBUS A-320,L2J,M
0093FF,ZS-HOG,BALL,,B0-,-
00A1FF,ZS-MWC,C150,CESSNA 150,L1P,L
00AEFF,ZS-YDC,E195,EMBRAER ERJ-190-200,L2J,M
00AFFF,ZS-SDY,M20P,MOONEY M-20,L1P,L
00B0FF,ZS-SNU,P32R,PIPER PA-32R-300/301/301T,L1P,L
0100FF,SU-SME,C680,CESSNA 680 Citation Sovereign,L2J,M
038FFF,TU-VMA,AN26,ANTONOV An-26,L2T,M
0640FF,5N-PZE,GLF4,GULFSTREAM 4,L2J,M
06A0FF,A7-ALK,A359,AIRBUS A-350-900,L2J,H
0AC3FF,HK-4845,C172,CESSNA 172 Skyhawk,L1P,L
0B4FFF,TG-RIF,C525,CESSNA 525 CitationJet,L2J,L
0BC3FF,J8-GAW,DHC6,DE HAVILLAND DHC-6 Twin Otter,L2T,L
0CA1FF,V2-LIM,AT46,ATR-42-600,L2T,M
0D02FF,XA-OSB,SVNH,AEROTEC Savannah,L1P,L
0D07FF,XA-MFH,E145,EMBRAER ERJ-145,L2J,M
0D0AFF,XB-AFL,P210,CESSNA P210 Centurion,L1P,L
0D0BFF,XA-CCC,B38M,BOEING 737 MAX 8,L2J,M
0D0CFF,XA-FSB,BE20,BEECH 200 Super King Air,L2T,M
0D0DFF,XB-GDJ,C500,CESSNA 500 Citation 1,L2J,L
0D80FF,YV2565,LJ45,LEARJET 45,L2J,M
0D82FF,XC-LPO,BE20,BEECH 200 Super King Air,L2T,M
0D83FF,YV3489,C550,CESSNA 550 Citation S2,L2J,L
140FFF,RA-04095,EC35,AIRBUS HELICOPTERS EC-135/635,H2T,L
141DFF,RA-07679,AN2,ANTONOV An-2,L1P,L
14B8FF,RA-47359,AN24,ANTONOV An-24,L2T,M
151DFF,RA-73215,A319,AIRBUS A-319,L2J,M
151FFF,RA-73727,A321,AIRBUS A-321,L2J,M
1533FF,RA-78847,IL76,ILYUSHIN Il-76/82,L4J,H
155BFF,RA-89087,SU95,SUKHOI Superjet 100-95,L2J,M
1AFFFF,97493,MI8,MIL Mi-8/9/17/19/171/172,H2T,M
3006FF,I-SEFA,P28A,PIPER PA-28-140/150/160/180,L1P,L
3007FF,I-CBSQ,M20P,MOONEY M-20,L1P,L
31DDFF,I-D271,NG5,BRM AERO NG-5/6 Bristell,L1P,L
31FEFF,I-RAIS,A189,AGUSTA AW-189,H2T,M
33FDFF,MM7068,TOR,PANAVIA Tornado,L2J,M
3A17FF,SECUL,SERV,,V0-,-
3A2FFF,SECUR,SERV,,V0-,-
3AABFF,100,TBM7,SOCATA TBM-700A/B/C,L1T,L
3AC1FF,SERV,SERV,,V0-,-
3AC5FF,SERV,SERV,,V0-,-
3AD5FF,GND,GND,,V0-,-
3B17FF,SERV,SERV,,V0-,-
3B1FFF,SERV,SERV,,V0-,-
3B35FF,SERV,SERV,,V0-,-
3B77FF,105,TBM7,SOCATA TBM-700A/B/C,L1T,L
3B9BFF,36,FA50,DASSAULT Falcon 50,L3J,M
3BA9FF,SERV,SERV,,V0-,-
3C11FF,D-AVVE,A320,AIRBUS A-320,L2J,M
3C13FF,D-AWOW,E170,EMBRAER ERJ-170-100,L2J,M
3CC5FF,D-CCHB,LJ35,LEARJET 35,L2J,M
3D04FF,D-EADJ,C150,CESSNA 150,L1P,L
3D05FF,D-EANF,C172,CESSNA 172 Skyhawk,L1P,L
3D06FF,D-EAXB,AA5,AMERICAN AA-5 Tiger,L1P,L
3D09FF,D-ECAP,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D0AFF,D-ECKL,DR40,ROBIN DR-400,L1P,L
3D0CFF,D-EDED,M20P,MOONEY M-20,L1P,L
3D0FFF,D-EEHR,C182,CESSNA 182 Skylane,L1P,L
3D10FF,D-EERN,TB20,SOCATA TB-20 Trinidad,L1P,L
3D12FF,D-EFLF,C172,CESSNA 172 Skyhawk,L1P,L
3D13FF,D-EFVB,C172,CESSNA 172 Skyhawk,L1P,L
3D15FF,D-EGOT,AA5,AMERICAN AA-5 Tiger,L1P,L
3D17FF,D-EHIL,PTS2,PITTS S-2 Special,L1P,L
3D19FF,D-EICD,C172,CESSNA 172 Skyhawk,L1P,L
3D1BFF,D-EIVV,RALL,SOCATA Rallye,L1P,L
3D1CFF,D-EJFR,DR10,CENTRE EST Ambassadeur,L1P,L
3D1FFF,D-EKJF,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D20FF,D-EKTB,TOBA,SOCATA Tobago,L1P,L
3D21FF,D-ELCX,P28A,PIPER PA-28-140/150/160/180,L1P,L
3D22FF,D-ELMT,T210,CESSNA T210 Turbo Centurion,L1P,L
3D27FF,D-ENJZ,RALL,SOCATA Rallye,L1P,L
3D29FF,D-EODR,DR30,CENTRE EST Prince,L1P,L
3D2DFF,D-EPRB,S22T,CIRRUS SR-22T Turbo,L1P,L
